Messstelle:                ;Wien 22, Br 22-180
HZB-Nummer:                ;350199
HD-Nummer:                 ;22-180
DBMS-Nummer:               ;9002266
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Wien (MA 45)
Messstellenbetreiber:      ;Forstamt u. Landwirtschaftsbetriebe der Stadt Wien
Höhenangaben [m ü.A.]:     ;gültig seit: ;04.11.2011
 Geländehöhe:              ;154,78
 Messpunkthöhe:            ;155,41
 Sohllage:                 ;148,91
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  23.10.1980               ;16 31 32                 ;48 12 03
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2002 HG06 durch Donauhochwasser beeinflusst
  2003 HG07 durch Dotation Lobau beeinflusst
  2004 HG07 durch Dotation Lobau beeinflusst
  2005 HG07 durch Dotation Lobau beeinflusst
  2006 HG06 durch Donauhochwasser beeinflusst
  2006 HG07 durch Dotation Lobau beeinflusst
  2008 HG07 durch Dotation Lobau beeinflusst
  2009 HG06 durch Donauhochwasser beeinflusst
  2010 HG06 durch Donauhochwasser beeinflusst
  2019 HG06 durch Donauhochwasser beeinflusst
  2021 HG07 durch Dotation Lobau beeinflusst
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1996 00:00:00   ;   150,50 ;     
01.02.1996 00:00:00   ;   150,56 ;     
01.03.1996 00:00:00   ;   150,59 ;     
01.04.1996 00:00:00   ;   150,73 ;     
01.05.1996 00:00:00   ;Lücke     ;     
01.06.1996 00:00:00   ;   150,89 ;     
01.07.1996 00:00:00   ;   150,87 ;     
