Messstelle:                ;Nofels, Bl 01.32.71
HZB-Nummer:                ;379289
HD-Nummer:                 ;01.32.71
DBMS-Nummer:               ;8002472
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;18.02.2019
 Geländehöhe:              ;429,78
 Messpunkthöhe:            ;430,57
 Sohllage:                 ;418,87
 T-Messtiefe u.GOK:        ;4,91
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.03.1986               ;09 32 06                 ;47 16 17
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2006 00:00:00   ;   425,95 ;     
01.02.2006 00:00:00   ;   425,98 ;     
01.03.2006 00:00:00   ;   426,14 ;     
01.04.2006 00:00:00   ;   426,36 ;     
01.05.2006 00:00:00   ;Lücke     ;     
01.06.2006 00:00:00   ;Lücke     ;     
01.07.2006 00:00:00   ;Lücke     ;     
01.08.2006 00:00:00   ;Lücke     ;     
01.09.2006 00:00:00   ;Lücke     ;     
01.10.2006 00:00:00   ;   426,37 ;     
01.11.2006 00:00:00   ;   426,12 ;     
01.12.2006 00:00:00   ;   426,10 ;     
01.01.2007 00:00:00   ;   426,11 ;     
01.02.2007 00:00:00   ;   426,17 ;     
01.03.2007 00:00:00   ;   426,17 ;     
01.04.2007 00:00:00   ;   426,32 ;     
01.05.2007 00:00:00   ;   426,53 ;     
01.06.2007 00:00:00   ;   426,90 ;     
01.07.2007 00:00:00   ;   427,02 ;     
01.08.2007 00:00:00   ;   426,79 ;     
01.09.2007 00:00:00   ;   426,79 ;     
01.10.2007 00:00:00   ;   426,56 ;     
01.11.2007 00:00:00   ;   426,36 ;     
01.12.2007 00:00:00   ;   426,40 ;     
01.01.2008 00:00:00   ;   426,19 ;     
01.02.2008 00:00:00   ;   426,21 ;     
01.03.2008 00:00:00   ;   426,24 ;     
01.04.2008 00:00:00   ;   426,49 ;     
01.05.2008 00:00:00   ;   427,06 ;     
01.06.2008 00:00:00   ;   427,34 ;     
01.07.2008 00:00:00   ;   427,17 ;     
01.08.2008 00:00:00   ;   426,88 ;     
01.09.2008 00:00:00   ;   427,07 ;     
01.10.2008 00:00:00   ;   426,52 ;     
01.11.2008 00:00:00   ;   426,52 ;     
01.12.2008 00:00:00   ;   426,45 ;     
01.01.2009 00:00:00   ;   426,35 ;     
01.02.2009 00:00:00   ;   426,33 ;     
01.03.2009 00:00:00   ;   426,49 ;     
01.04.2009 00:00:00   ;   426,82 ;     
01.05.2009 00:00:00   ;   427,22 ;     
01.06.2009 00:00:00   ;   427,20 ;     
01.07.2009 00:00:00   ;   427,21 ;     
01.08.2009 00:00:00   ;   426,88 ;     
01.09.2009 00:00:00   ;   426,41 ;     
01.10.2009 00:00:00   ;   426,27 ;     
01.11.2009 00:00:00   ;   426,22 ;     
01.12.2009 00:00:00   ;   426,32 ;     
01.01.2010 00:00:00   ;   426,27 ;     
01.02.2010 00:00:00   ;   426,25 ;     
01.03.2010 00:00:00   ;   426,27 ;     
01.04.2010 00:00:00   ;   426,41 ;     
01.05.2010 00:00:00   ;   426,87 ;     
01.06.2010 00:00:00   ;   427,38 ;     
01.07.2010 00:00:00   ;   426,97 ;     
01.08.2010 00:00:00   ;   427,23 ;     
01.09.2010 00:00:00   ;   426,93 ;     
01.10.2010 00:00:00   ;   426,70 ;     
01.11.2010 00:00:00   ;   426,59 ;     
01.12.2010 00:00:00   ;   426,56 ;     
01.01.2011 00:00:00   ;   426,44 ;     
01.02.2011 00:00:00   ;   426,37 ;     
01.03.2011 00:00:00   ;   426,35 ;     
01.04.2011 00:00:00   ;   426,42 ;     
01.05.2011 00:00:00   ;   426,57 ;     
01.06.2011 00:00:00   ;   426,81 ;     
01.07.2011 00:00:00   ;   426,96 ;     
01.08.2011 00:00:00   ;   426,89 ;     
01.09.2011 00:00:00   ;   426,77 ;     
01.10.2011 00:00:00   ;   426,77 ;     
01.11.2011 00:00:00   ;   426,45 ;     
01.12.2011 00:00:00   ;   426,33 ;     
01.01.2012 00:00:00   ;   426,64 ;     
01.02.2012 00:00:00   ;   426,51 ;     
01.03.2012 00:00:00   ;   426,50 ;     
01.04.2012 00:00:00   ;   426,61 ;     
01.05.2012 00:00:00   ;   427,15 ;     
01.06.2012 00:00:00   ;   427,60 ;     
01.07.2012 00:00:00   ;   427,18 ;     
01.08.2012 00:00:00   ;   426,97 ;     
01.09.2012 00:00:00   ;Lücke     ;     
01.10.2012 00:00:00   ;Lücke     ;     
01.11.2012 00:00:00   ;Lücke     ;     
01.12.2012 00:00:00   ;Lücke     ;     
01.01.2013 00:00:00   ;Lücke     ;     
01.02.2013 00:00:00   ;   426,62 ;     
01.03.2013 00:00:00   ;   426,52 ;     
01.04.2013 00:00:00   ;   426,71 ;     
01.05.2013 00:00:00   ;   427,20 ;     
01.06.2013 00:00:00   ;   427,56 ;     
01.07.2013 00:00:00   ;   427,14 ;     
01.08.2013 00:00:00   ;   426,82 ;     
01.09.2013 00:00:00   ;   426,75 ;     
01.10.2013 00:00:00   ;   426,87 ;     
01.11.2013 00:00:00   ;   426,94 ;     
01.12.2013 00:00:00   ;   426,72 ;     
01.01.2014 00:00:00   ;   426,62 ;     
01.02.2014 00:00:00   ;   426,60 ;     
01.03.2014 00:00:00   ;   426,66 ;     
01.04.2014 00:00:00   ;   426,79 ;     
01.05.2014 00:00:00   ;   426,99 ;     
