Messstelle:                ;Bürs, Bl 07.28.12 A
HZB-Nummer:                ;352286
HD-Nummer:                 ;07.28.12 A
DBMS-Nummer:               ;8002343
PorenGW-Gebiet:            ;003 Walgau
Grundwasserkörper:         ;Walgau [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;21.11.2019
 Geländehöhe:              ;564,05
 Messpunkthöhe:            ;565,04
 Sohllage:                 ;554,54
 T-Messtiefe u.GOK:        ;9,01
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.09.2004               ;09 49 17                 ;47 08 43
  18.04.2001               ;09 49 17                 ;47 08 43
  08.01.1970               ;09 49 17                 ;47 08 43
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2002 mit Transfer-Function-Modell interpoliert
  2003 mit Transfer-Function-Modell interpoliert
  2004 bis 31.3. mit Transfer-Function-Modell interpoliert
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.07.1970 00:00:00   ;   559,70 ;     
01.08.1970 00:00:00   ;Lücke     ;     
01.09.1970 00:00:00   ;Lücke     ;     
01.10.1970 00:00:00   ;Lücke     ;     
01.11.1970 00:00:00   ;Lücke     ;     
01.12.1970 00:00:00   ;Lücke     ;     
01.01.1971 00:00:00   ;Lücke     ;     
01.02.1971 00:00:00   ;   558,77 ;     
01.03.1971 00:00:00   ;Lücke     ;     
01.04.1971 00:00:00   ;   558,83 ;     
01.05.1971 00:00:00   ;Lücke     ;     
01.06.1971 00:00:00   ;Lücke     ;     
01.07.1971 00:00:00   ;Lücke     ;     
01.08.1971 00:00:00   ;   558,92 ;     
01.09.1971 00:00:00   ;   558,57 ;     
01.10.1971 00:00:00   ;   558,13 ;     
01.11.1971 00:00:00   ;   557,80 ;     
01.12.1971 00:00:00   ;Lücke     ;     
01.01.1972 00:00:00   ;   557,57 ;     
01.02.1972 00:00:00   ;   557,21 ;     
01.03.1972 00:00:00   ;   556,94 ;     
01.04.1972 00:00:00   ;Lücke     ;     
01.05.1972 00:00:00   ;   557,88 ;     
01.06.1972 00:00:00   ;   558,75 ;     
01.07.1972 00:00:00   ;   558,85 ;     
01.08.1972 00:00:00   ;   558,58 ;     
01.09.1972 00:00:00   ;   558,06 ;     
01.10.1972 00:00:00   ;   557,48 ;     
01.11.1972 00:00:00   ;   557,47 ;     
01.12.1972 00:00:00   ;   557,45 ;     
01.01.1973 00:00:00   ;   557,38 ;     
01.02.1973 00:00:00   ;   557,04 ;     
01.03.1973 00:00:00   ;   556,82 ;     
01.04.1973 00:00:00   ;   556,74 ;     
01.05.1973 00:00:00   ;   558,82 ;     
01.06.1973 00:00:00   ;   559,48 ;     
01.07.1973 00:00:00   ;   559,49 ;     
01.08.1973 00:00:00   ;   559,34 ;     
01.09.1973 00:00:00   ;   558,85 ;     
01.10.1973 00:00:00   ;   558,72 ;     
01.11.1973 00:00:00   ;   558,45 ;     
01.12.1973 00:00:00   ;   558,51 ;     
01.01.1974 00:00:00   ;   558,40 ;     
01.02.1974 00:00:00   ;Lücke     ;     
01.03.1974 00:00:00   ;   558,57 ;     
01.04.1974 00:00:00   ;   558,91 ;     
01.05.1974 00:00:00   ;   559,02 ;     
01.06.1974 00:00:00   ;   559,47 ;     
01.07.1974 00:00:00   ;   559,72 ;     
01.08.1974 00:00:00   ;   559,52 ;     
01.09.1974 00:00:00   ;   559,25 ;     
01.10.1974 00:00:00   ;   559,00 ;     
01.11.1974 00:00:00   ;   558,93 ;     
01.12.1974 00:00:00   ;   559,00 ;     
01.01.1975 00:00:00   ;   558,96 ;     
01.02.1975 00:00:00   ;   558,66 ;     
01.03.1975 00:00:00   ;   558,45 ;     
01.04.1975 00:00:00   ;   558,64 ;     
01.05.1975 00:00:00   ;   559,38 ;     
01.06.1975 00:00:00   ;   559,51 ;     
01.07.1975 00:00:00   ;   559,71 ;     
01.08.1975 00:00:00   ;   559,66 ;     
01.09.1975 00:00:00   ;   559,34 ;     
01.10.1975 00:00:00   ;   558,81 ;     
01.11.1975 00:00:00   ;   558,39 ;     
01.12.1975 00:00:00   ;   558,19 ;     
01.01.1976 00:00:00   ;   558,00 ;     
01.02.1976 00:00:00   ;   558,07 ;     
01.03.1976 00:00:00   ;   557,95 ;     
01.04.1976 00:00:00   ;   557,99 ;     
01.05.1976 00:00:00   ;   558,57 ;     
01.06.1976 00:00:00   ;   559,22 ;     
01.07.1976 00:00:00   ;   558,87 ;     
01.08.1976 00:00:00   ;   558,73 ;     
01.09.1976 00:00:00   ;   558,69 ;     
01.10.1976 00:00:00   ;   558,52 ;     
01.11.1976 00:00:00   ;   557,83 ;     
01.12.1976 00:00:00   ;   557,60 ;     
01.01.1977 00:00:00   ;   557,57 ;     
01.02.1977 00:00:00   ;   558,29 ;     
01.03.1977 00:00:00   ;   558,53 ;     
01.04.1977 00:00:00   ;   558,86 ;     
01.05.1977 00:00:00   ;Lücke     ;     
01.06.1977 00:00:00   ;   559,67 ;     
01.07.1977 00:00:00   ;   559,50 ;     
01.08.1977 00:00:00   ;   559,60 ;     
01.09.1977 00:00:00   ;   559,18 ;     
01.10.1977 00:00:00   ;   558,79 ;     
01.11.1977 00:00:00   ;   558,61 ;     
01.12.1977 00:00:00   ;   558,26 ;     
01.01.1978 00:00:00   ;   558,18 ;     
01.02.1978 00:00:00   ;   558,11 ;     
01.03.1978 00:00:00   ;   558,79 ;     
01.04.1978 00:00:00   ;   558,90 ;     
01.05.1978 00:00:00   ;Lücke     ;     
01.06.1978 00:00:00   ;   559,70 ;     
01.07.1978 00:00:00   ;   559,72 ;     
01.08.1978 00:00:00   ;   559,61 ;     
01.09.1978 00:00:00   ;   559,26 ;     
01.10.1978 00:00:00   ;   559,10 ;     
01.11.1978 00:00:00   ;   558,72 ;     
01.12.1978 00:00:00   ;   558,38 ;     
01.01.1979 00:00:00   ;   558,35 ;     
01.02.1979 00:00:00   ;   558,02 ;     
01.03.1979 00:00:00   ;   557,87 ;     
01.04.1979 00:00:00   ;   558,14 ;     
01.05.1979 00:00:00   ;   558,88 ;     
01.06.1979 00:00:00   ;   559,61 ;     
01.07.1979 00:00:00   ;   559,38 ;     
01.08.1979 00:00:00   ;   559,17 ;     
01.09.1979 00:00:00   ;   558,80 ;     
01.10.1979 00:00:00   ;   558,56 ;     
01.11.1979 00:00:00   ;   558,23 ;     
01.12.1979 00:00:00   ;   558,12 ;     
01.01.1980 00:00:00   ;   557,98 ;     
01.02.1980 00:00:00   ;   558,29 ;     
01.03.1980 00:00:00   ;   558,11 ;     
01.04.1980 00:00:00   ;   558,02 ;     
01.05.1980 00:00:00   ;   558,85 ;     
01.06.1980 00:00:00   ;   559,46 ;     
01.07.1980 00:00:00   ;   559,75 ;     
01.08.1980 00:00:00   ;   559,57 ;     
01.09.1980 00:00:00   ;   559,13 ;     
01.10.1980 00:00:00   ;   558,92 ;     
01.11.1980 00:00:00   ;   558,88 ;     
01.12.1980 00:00:00   ;   558,35 ;     
01.01.1981 00:00:00   ;   558,21 ;     
01.02.1981 00:00:00   ;   558,26 ;     
01.03.1981 00:00:00   ;   558,67 ;     
01.04.1981 00:00:00   ;   559,31 ;     
01.05.1981 00:00:00   ;   559,24 ;     
01.06.1981 00:00:00   ;   559,34 ;     
01.07.1981 00:00:00   ;   559,53 ;     
01.08.1981 00:00:00   ;   559,32 ;     
01.09.1981 00:00:00   ;   558,97 ;     
01.10.1981 00:00:00   ;   559,37 ;     
01.11.1981 00:00:00   ;   558,96 ;     
01.12.1981 00:00:00   ;   558,96 ;     
01.01.1982 00:00:00   ;   558,99 ;     
01.02.1982 00:00:00   ;   558,86 ;     
01.03.1982 00:00:00   ;   558,66 ;     
01.04.1982 00:00:00   ;   558,69 ;     
01.05.1982 00:00:00   ;   559,09 ;     
01.06.1982 00:00:00   ;   559,57 ;     
01.07.1982 00:00:00   ;   559,47 ;     
01.08.1982 00:00:00   ;   559,35 ;     
01.09.1982 00:00:00   ;   559,20 ;     
01.10.1982 00:00:00   ;   558,83 ;     
01.11.1982 00:00:00   ;   558,33 ;     
01.12.1982 00:00:00   ;   558,10 ;     
01.01.1983 00:00:00   ;   558,25 ;     
01.02.1983 00:00:00   ;   558,28 ;     
01.03.1983 00:00:00   ;   558,25 ;     
01.04.1983 00:00:00   ;   558,38 ;     
01.05.1983 00:00:00   ;   559,05 ;     
01.06.1983 00:00:00   ;   559,24 ;     
01.07.1983 00:00:00   ;   559,11 ;     
01.08.1983 00:00:00   ;   558,71 ;     
01.09.1983 00:00:00   ;   558,66 ;     
01.10.1983 00:00:00   ;   558,27 ;     
01.11.1983 00:00:00   ;   557,87 ;     
01.12.1983 00:00:00   ;   557,82 ;     
01.01.1984 00:00:00   ;   557,66 ;     
01.02.1984 00:00:00   ;   557,54 ;     
01.03.1984 00:00:00   ;   557,38 ;     
01.04.1984 00:00:00   ;   557,69 ;     
01.05.1984 00:00:00   ;   558,30 ;     
01.06.1984 00:00:00   ;   558,78 ;     
01.07.1984 00:00:00   ;   558,98 ;     
01.08.1984 00:00:00   ;   558,86 ;     
01.09.1984 00:00:00   ;   559,05 ;     
01.10.1984 00:00:00   ;   558,77 ;     
01.11.1984 00:00:00   ;   558,20 ;     
01.12.1984 00:00:00   ;Lücke     ;     
01.01.1985 00:00:00   ;   558,02 ;     
01.02.1985 00:00:00   ;   557,97 ;     
01.03.1985 00:00:00   ;   557,67 ;     
01.04.1985 00:00:00   ;   557,57 ;     
01.05.1985 00:00:00   ;   557,93 ;     
01.06.1985 00:00:00   ;   558,22 ;     
01.07.1985 00:00:00   ;   558,36 ;     
01.08.1985 00:00:00   ;   558,83 ;     
01.09.1985 00:00:00   ;   558,66 ;     
01.10.1985 00:00:00   ;   558,27 ;     
01.11.1985 00:00:00   ;   558,00 ;     
01.12.1985 00:00:00   ;   557,75 ;     
01.01.1986 00:00:00   ;   557,62 ;     
01.02.1986 00:00:00   ;   557,58 ;     
01.03.1986 00:00:00   ;   557,51 ;     
01.04.1986 00:00:00   ;   558,17 ;     
01.05.1986 00:00:00   ;   558,70 ;     
01.06.1986 00:00:00   ;   558,90 ;     
01.07.1986 00:00:00   ;   558,58 ;     
01.08.1986 00:00:00   ;   558,44 ;     
01.09.1986 00:00:00   ;   558,13 ;     
01.10.1986 00:00:00   ;   557,73 ;     
01.11.1986 00:00:00   ;   557,53 ;     
01.12.1986 00:00:00   ;   557,27 ;     
01.01.1987 00:00:00   ;   557,24 ;     
01.02.1987 00:00:00   ;   557,13 ;     
01.03.1987 00:00:00   ;   557,64 ;     
01.04.1987 00:00:00   ;   558,01 ;     
01.05.1987 00:00:00   ;   558,26 ;     
01.06.1987 00:00:00   ;   558,89 ;     
01.07.1987 00:00:00   ;   559,48 ;     
01.08.1987 00:00:00   ;   559,08 ;     
01.09.1987 00:00:00   ;   558,71 ;     
01.10.1987 00:00:00   ;   558,48 ;     
01.11.1987 00:00:00   ;   558,24 ;     
01.12.1987 00:00:00   ;   558,15 ;     
01.01.1988 00:00:00   ;   558,09 ;     
01.02.1988 00:00:00   ;   558,08 ;     
01.03.1988 00:00:00   ;   558,33 ;     
01.04.1988 00:00:00   ;   558,90 ;     
01.05.1988 00:00:00   ;   559,07 ;     
01.06.1988 00:00:00   ;   559,06 ;     
01.07.1988 00:00:00   ;   558,80 ;     
01.08.1988 00:00:00   ;   558,59 ;     
01.09.1988 00:00:00   ;   558,58 ;     
01.10.1988 00:00:00   ;   558,34 ;     
01.11.1988 00:00:00   ;   558,19 ;     
01.12.1988 00:00:00   ;   558,37 ;     
01.01.1989 00:00:00   ;   558,30 ;     
01.02.1989 00:00:00   ;   558,10 ;     
01.03.1989 00:00:00   ;   558,18 ;     
01.04.1989 00:00:00   ;   558,26 ;     
01.05.1989 00:00:00   ;   558,29 ;     
01.06.1989 00:00:00   ;   558,38 ;     
01.07.1989 00:00:00   ;   558,69 ;     
01.08.1989 00:00:00   ;   558,74 ;     
01.09.1989 00:00:00   ;   558,52 ;     
01.10.1989 00:00:00   ;   558,34 ;     
01.11.1989 00:00:00   ;   558,50 ;     
01.12.1989 00:00:00   ;   557,85 ;     
01.01.1990 00:00:00   ;   557,60 ;     
01.02.1990 00:00:00   ;   557,58 ;     
01.03.1990 00:00:00   ;   557,93 ;     
01.04.1990 00:00:00   ;   558,09 ;     
01.05.1990 00:00:00   ;Lücke     ;     
01.06.1990 00:00:00   ;   558,68 ;     
01.07.1990 00:00:00   ;   558,85 ;     
01.08.1990 00:00:00   ;   558,41 ;     
01.09.1990 00:00:00   ;   558,13 ;     
01.10.1990 00:00:00   ;   557,90 ;     
01.11.1990 00:00:00   ;   557,68 ;     
01.12.1990 00:00:00   ;   557,50 ;     
01.01.1991 00:00:00   ;   557,48 ;     
01.02.1991 00:00:00   ;   557,18 ;     
01.03.1991 00:00:00   ;   556,98 ;     
01.04.1991 00:00:00   ;   557,04 ;     
01.05.1991 00:00:00   ;   557,31 ;     
01.06.1991 00:00:00   ;   558,13 ;     
01.07.1991 00:00:00   ;   558,55 ;     
01.08.1991 00:00:00   ;   558,30 ;     
01.09.1991 00:00:00   ;   557,83 ;     
01.10.1991 00:00:00   ;   557,46 ;     
01.11.1991 00:00:00   ;   557,11 ;     
01.12.1991 00:00:00   ;   557,21 ;     
01.01.1992 00:00:00   ;Lücke     ;     
01.02.1992 00:00:00   ;   557,77 ;     
01.03.1992 00:00:00   ;   558,01 ;     
01.04.1992 00:00:00   ;   558,28 ;     
01.05.1992 00:00:00   ;   558,54 ;     
01.06.1992 00:00:00   ;   558,56 ;     
01.07.1992 00:00:00   ;   558,40 ;     
01.08.1992 00:00:00   ;   558,00 ;     
01.09.1992 00:00:00   ;Lücke     ;     
01.10.1992 00:00:00   ;Lücke     ;     
01.11.1992 00:00:00   ;   557,20 ;     
01.12.1992 00:00:00   ;   558,03 ;     
01.01.1993 00:00:00   ;   557,91 ;     
01.02.1993 00:00:00   ;   557,83 ;     
01.03.1993 00:00:00   ;   557,74 ;     
01.04.1993 00:00:00   ;   557,89 ;     
01.05.1993 00:00:00   ;   558,09 ;     
01.06.1993 00:00:00   ;   558,08 ;     
01.07.1993 00:00:00   ;   558,25 ;     
01.08.1993 00:00:00   ;   558,37 ;     
01.09.1993 00:00:00   ;   558,50 ;     
01.10.1993 00:00:00   ;   558,40 ;     
01.11.1993 00:00:00   ;   558,21 ;     
01.12.1993 00:00:00   ;   557,96 ;     
01.01.1994 00:00:00   ;   557,96 ;     
01.02.1994 00:00:00   ;   557,94 ;     
01.03.1994 00:00:00   ;   557,93 ;     
01.04.1994 00:00:00   ;   558,00 ;     
01.05.1994 00:00:00   ;   558,15 ;     
01.06.1994 00:00:00   ;Lücke     ;     
01.07.1994 00:00:00   ;   558,36 ;     
01.08.1994 00:00:00   ;   558,00 ;     
01.09.1994 00:00:00   ;   557,85 ;     
01.10.1994 00:00:00   ;Lücke     ;     
01.11.1994 00:00:00   ;   557,66 ;     
01.12.1994 00:00:00   ;   557,44 ;     
01.01.1995 00:00:00   ;Lücke     ;     
01.02.1995 00:00:00   ;Lücke     ;     
01.03.1995 00:00:00   ;   557,72 ;     
01.04.1995 00:00:00   ;Lücke     ;     
01.05.1995 00:00:00   ;   558,28 ;     
01.06.1995 00:00:00   ;   558,60 ;     
01.07.1995 00:00:00   ;Lücke     ;     
01.08.1995 00:00:00   ;   558,33 ;     
01.09.1995 00:00:00   ;Lücke     ;     
01.10.1995 00:00:00   ;Lücke     ;     
01.11.1995 00:00:00   ;   557,89 ;     
01.12.1995 00:00:00   ;Lücke     ;     
