Messstelle:                ;Mauthausen, Bl 2113.001
HZB-Nummer:                ;307959
HD-Nummer:                 ;Bl2113.001
DBMS-Nummer:               ;4002138
PorenGW-Gebiet:            ;143 Nördliches Linzer Feld
Grundwasserkörper:         ;Gruppe Böhmische Masse [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;23.07.1965
 Geländehöhe:              ;245,55
 Messpunkthöhe:            ;245,85
 Sohllage:                 ;237,15
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 30 29                 ;48 14 44
  01.01.2003               ;14 30 32                 ;48 14 46
  23.07.1965               ;14 30 32                 ;48 14 46
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1969 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1969 00:00:00   ;   240,73 ;     
01.02.1969 00:00:00   ;   240,84 ;     
01.03.1969 00:00:00   ;   240,96 ;     
01.04.1969 00:00:00   ;   241,06 ;     
01.05.1969 00:00:00   ;   241,20 ;     
01.06.1969 00:00:00   ;   241,21 ;     
01.07.1969 00:00:00   ;   241,21 ;     
01.08.1969 00:00:00   ;   241,17 ;     
01.09.1969 00:00:00   ;   241,05 ;     
01.10.1969 00:00:00   ;   240,77 ;     
01.11.1969 00:00:00   ;   240,77 ;     
01.12.1969 00:00:00   ;   240,68 ;     
01.01.1970 00:00:00   ;   240,66 ;     
01.02.1970 00:00:00   ;   241,54 ;     
01.03.1970 00:00:00   ;   241,58 ;     
01.04.1970 00:00:00   ;   241,76 ;     
01.05.1970 00:00:00   ;   242,13 ;     
01.06.1970 00:00:00   ;   242,35 ;     
01.07.1970 00:00:00   ;   241,66 ;     
01.08.1970 00:00:00   ;   242,24 ;     
01.09.1970 00:00:00   ;   241,51 ;     
01.10.1970 00:00:00   ;   241,26 ;     
01.11.1970 00:00:00   ;   241,24 ;     
01.12.1970 00:00:00   ;   241,23 ;     
01.01.1971 00:00:00   ;   240,94 ;     
01.02.1971 00:00:00   ;   240,91 ;     
01.03.1971 00:00:00   ;   241,01 ;     
01.04.1971 00:00:00   ;   241,09 ;     
01.05.1971 00:00:00   ;   241,12 ;     
01.06.1971 00:00:00   ;   241,41 ;     
01.07.1971 00:00:00   ;   241,14 ;     
01.08.1971 00:00:00   ;   240,94 ;     
01.09.1971 00:00:00   ;   241,00 ;     
01.10.1971 00:00:00   ;   240,86 ;     
01.11.1971 00:00:00   ;   240,83 ;     
01.12.1971 00:00:00   ;   240,86 ;     
01.01.1972 00:00:00   ;   240,81 ;     
01.02.1972 00:00:00   ;   240,79 ;     
01.03.1972 00:00:00   ;   240,80 ;     
01.04.1972 00:00:00   ;   241,08 ;     
01.05.1972 00:00:00   ;   241,13 ;     
01.06.1972 00:00:00   ;   241,26 ;     
01.07.1972 00:00:00   ;   241,46 ;     
01.08.1972 00:00:00   ;   241,28 ;     
01.09.1972 00:00:00   ;   240,96 ;     
01.10.1972 00:00:00   ;   240,85 ;     
01.11.1972 00:00:00   ;   241,16 ;     
01.12.1972 00:00:00   ;   241,01 ;     
01.01.1973 00:00:00   ;   240,83 ;     
01.02.1973 00:00:00   ;   240,91 ;     
01.03.1973 00:00:00   ;   241,10 ;     
01.04.1973 00:00:00   ;   241,30 ;     
01.05.1973 00:00:00   ;   241,75 ;     
01.06.1973 00:00:00   ;   241,45 ;     
01.07.1973 00:00:00   ;   241,32 ;     
01.08.1973 00:00:00   ;   241,05 ;     
01.09.1973 00:00:00   ;   240,88 ;     
01.10.1973 00:00:00   ;   240,97 ;     
01.11.1973 00:00:00   ;   241,08 ;     
01.12.1973 00:00:00   ;   241,18 ;     
01.01.1974 00:00:00   ;   241,30 ;     
01.02.1974 00:00:00   ;   241,29 ;     
01.03.1974 00:00:00   ;   241,23 ;     
01.04.1974 00:00:00   ;   241,18 ;     
01.05.1974 00:00:00   ;   241,26 ;     
01.06.1974 00:00:00   ;   241,73 ;     
01.07.1974 00:00:00   ;   242,00 ;     
01.08.1974 00:00:00   ;   241,47 ;     
01.09.1974 00:00:00   ;   241,18 ;     
01.10.1974 00:00:00   ;   241,20 ;     
01.11.1974 00:00:00   ;   241,28 ;     
01.12.1974 00:00:00   ;   242,19 ;     
01.01.1975 00:00:00   ;   241,78 ;     
01.02.1975 00:00:00   ;   241,41 ;     
01.03.1975 00:00:00   ;   241,14 ;     
01.04.1975 00:00:00   ;   241,38 ;     
01.05.1975 00:00:00   ;   241,79 ;     
01.06.1975 00:00:00   ;   242,23 ;     
01.07.1975 00:00:00   ;   243,15 ;     
01.08.1975 00:00:00   ;   242,00 ;     
01.09.1975 00:00:00   ;   241,65 ;     
01.10.1975 00:00:00   ;   241,08 ;     
01.11.1975 00:00:00   ;   240,94 ;     
01.12.1975 00:00:00   ;   240,96 ;     
01.01.1976 00:00:00   ;   241,37 ;     
01.02.1976 00:00:00   ;   241,20 ;     
01.03.1976 00:00:00   ;   241,03 ;     
01.04.1976 00:00:00   ;   241,02 ;     
01.05.1976 00:00:00   ;   241,14 ;     
01.06.1976 00:00:00   ;   241,41 ;     
01.07.1976 00:00:00   ;   241,03 ;     
01.08.1976 00:00:00   ;   241,11 ;     
01.09.1976 00:00:00   ;   241,13 ;     
01.10.1976 00:00:00   ;   240,98 ;     
01.11.1976 00:00:00   ;   241,01 ;     
01.12.1976 00:00:00   ;   241,05 ;     
01.01.1977 00:00:00   ;   240,92 ;     
01.02.1977 00:00:00   ;   241,75 ;     
01.03.1977 00:00:00   ;   241,57 ;     
01.04.1977 00:00:00   ;   241,52 ;     
01.05.1977 00:00:00   ;   241,68 ;     
01.06.1977 00:00:00   ;   241,44 ;     
01.07.1977 00:00:00   ;   241,32 ;     
01.08.1977 00:00:00   ;   241,94 ;     
01.09.1977 00:00:00   ;   241,27 ;     
01.10.1977 00:00:00   ;   240,95 ;     
01.11.1977 00:00:00   ;   240,99 ;     
01.12.1977 00:00:00   ;   241,03 ;     
01.01.1978 00:00:00   ;   241,08 ;     
01.02.1978 00:00:00   ;   241,02 ;     
01.03.1978 00:00:00   ;   241,51 ;     
01.04.1978 00:00:00   ;   241,36 ;     
01.05.1978 00:00:00   ;   241,45 ;     
01.06.1978 00:00:00   ;   241,54 ;     
01.07.1978 00:00:00   ;   241,64 ;     
01.08.1978 00:00:00   ;   241,30 ;     
01.09.1978 00:00:00   ;   241,21 ;     
01.10.1978 00:00:00   ;   241,12 ;     
01.11.1978 00:00:00   ;   240,92 ;     
01.12.1978 00:00:00   ;   240,95 ;     
01.01.1979 00:00:00   ;   240,95 ;     
01.02.1979 00:00:00   ;   241,23 ;     
01.03.1979 00:00:00   ;   241,61 ;     
01.04.1979 00:00:00   ;   241,82 ;     
01.05.1979 00:00:00   ;   241,77 ;     
01.06.1979 00:00:00   ;   242,16 ;     
01.07.1979 00:00:00   ;   241,75 ;     
01.08.1979 00:00:00   ;   241,50 ;     
01.09.1979 00:00:00   ;   241,23 ;     
01.10.1979 00:00:00   ;   241,14 ;     
01.11.1979 00:00:00   ;   241,31 ;     
01.12.1979 00:00:00   ;   241,52 ;     
01.01.1980 00:00:00   ;   241,13 ;     
01.02.1980 00:00:00   ;   241,54 ;     
01.03.1980 00:00:00   ;   241,21 ;     
01.04.1980 00:00:00   ;   241,61 ;     
01.05.1980 00:00:00   ;   241,78 ;     
01.06.1980 00:00:00   ;   241,83 ;     
01.07.1980 00:00:00   ;   242,03 ;     
01.08.1980 00:00:00   ;   241,51 ;     
01.09.1980 00:00:00   ;   241,23 ;     
01.10.1980 00:00:00   ;   241,21 ;     
01.11.1980 00:00:00   ;   241,10 ;     
01.12.1980 00:00:00   ;   241,13 ;     
01.01.1981 00:00:00   ;   241,28 ;     
01.02.1981 00:00:00   ;   241,43 ;     
01.03.1981 00:00:00   ;   241,74 ;     
01.04.1981 00:00:00   ;   241,65 ;     
01.05.1981 00:00:00   ;   241,39 ;     
01.06.1981 00:00:00   ;   241,36 ;     
01.07.1981 00:00:00   ;   241,72 ;     
01.08.1981 00:00:00   ;   241,53 ;     
01.09.1981 00:00:00   ;   241,23 ;     
01.10.1981 00:00:00   ;   241,65 ;     
01.11.1981 00:00:00   ;   241,62 ;     
01.12.1981 00:00:00   ;   241,79 ;     
01.01.1982 00:00:00   ;   241,83 ;     
01.02.1982 00:00:00   ;   241,71 ;     
01.03.1982 00:00:00   ;   241,45 ;     
01.04.1982 00:00:00   ;   241,49 ;     
01.05.1982 00:00:00   ;   241,54 ;     
01.06.1982 00:00:00   ;   241,81 ;     
01.07.1982 00:00:00   ;   241,47 ;     
01.08.1982 00:00:00   ;   241,34 ;     
01.09.1982 00:00:00   ;   241,10 ;     
01.10.1982 00:00:00   ;   241,04 ;     
01.11.1982 00:00:00   ;   240,94 ;     
01.12.1982 00:00:00   ;   241,09 ;     
01.01.1983 00:00:00   ;   241,42 ;     
01.02.1983 00:00:00   ;   241,35 ;     
01.03.1983 00:00:00   ;   241,25 ;     
01.04.1983 00:00:00   ;   241,49 ;     
01.05.1983 00:00:00   ;   241,43 ;     
01.06.1983 00:00:00   ;   241,46 ;     
01.07.1983 00:00:00   ;   241,28 ;     
01.08.1983 00:00:00   ;   241,25 ;     
01.09.1983 00:00:00   ;   240,99 ;     
01.10.1983 00:00:00   ;   240,91 ;     
01.11.1983 00:00:00   ;   240,70 ;     
01.12.1983 00:00:00   ;   240,86 ;     
01.01.1984 00:00:00   ;   241,06 ;     
01.02.1984 00:00:00   ;   241,06 ;     
01.03.1984 00:00:00   ;   240,90 ;     
01.04.1984 00:00:00   ;   241,12 ;     
01.05.1984 00:00:00   ;   241,23 ;     
01.06.1984 00:00:00   ;   241,32 ;     
01.07.1984 00:00:00   ;   241,26 ;     
01.08.1984 00:00:00   ;   241,19 ;     
01.09.1984 00:00:00   ;   241,35 ;     
01.10.1984 00:00:00   ;   241,20 ;     
01.11.1984 00:00:00   ;   240,85 ;     
01.12.1984 00:00:00   ;   240,83 ;     
01.01.1985 00:00:00   ;   240,85 ;     
01.02.1985 00:00:00   ;   241,36 ;     
01.03.1985 00:00:00   ;   241,11 ;     
01.04.1985 00:00:00   ;   241,20 ;     
01.05.1985 00:00:00   ;   241,35 ;     
01.06.1985 00:00:00   ;   241,58 ;     
01.07.1985 00:00:00   ;   241,54 ;     
01.08.1985 00:00:00   ;   241,97 ;     
01.09.1985 00:00:00   ;   241,59 ;     
01.10.1985 00:00:00   ;   241,01 ;     
01.11.1985 00:00:00   ;   241,16 ;     
01.12.1985 00:00:00   ;   241,35 ;     
01.01.1986 00:00:00   ;   242,13 ;     
01.02.1986 00:00:00   ;   241,39 ;     
01.03.1986 00:00:00   ;   241,51 ;     
01.04.1986 00:00:00   ;   241,41 ;     
01.05.1986 00:00:00   ;   241,47 ;     
01.06.1986 00:00:00   ;   241,51 ;     
01.07.1986 00:00:00   ;   241,25 ;     
01.08.1986 00:00:00   ;   241,24 ;     
01.09.1986 00:00:00   ;   241,24 ;     
01.10.1986 00:00:00   ;   241,04 ;     
01.11.1986 00:00:00   ;   241,24 ;     
01.12.1986 00:00:00   ;   241,25 ;     
01.01.1987 00:00:00   ;   241,60 ;     
01.02.1987 00:00:00   ;   241,95 ;     
01.03.1987 00:00:00   ;   242,11 ;     
01.04.1987 00:00:00   ;   241,87 ;     
01.05.1987 00:00:00   ;   241,85 ;     
01.06.1987 00:00:00   ;   241,90 ;     
01.07.1987 00:00:00   ;   242,11 ;     
01.08.1987 00:00:00   ;   241,92 ;     
01.09.1987 00:00:00   ;   241,59 ;     
01.10.1987 00:00:00   ;   241,28 ;     
01.11.1987 00:00:00   ;   241,14 ;     
01.12.1987 00:00:00   ;   241,39 ;     
01.01.1988 00:00:00   ;   241,37 ;     
01.02.1988 00:00:00   ;   241,25 ;     
01.03.1988 00:00:00   ;   242,07 ;     
01.04.1988 00:00:00   ;   242,00 ;     
01.05.1988 00:00:00   ;   240,79 ;     
01.06.1988 00:00:00   ;   240,66 ;     
01.07.1988 00:00:00   ;Lücke     ;     
01.08.1988 00:00:00   ;   240,91 ;     
01.09.1988 00:00:00   ;   241,23 ;     
01.10.1988 00:00:00   ;   240,87 ;     
01.11.1988 00:00:00   ;   241,03 ;     
01.12.1988 00:00:00   ;   241,70 ;     
01.01.1989 00:00:00   ;   241,40 ;     
01.02.1989 00:00:00   ;   241,11 ;     
01.03.1989 00:00:00   ;   241,26 ;     
01.04.1989 00:00:00   ;   241,28 ;     
01.05.1989 00:00:00   ;   241,25 ;     
01.06.1989 00:00:00   ;   241,18 ;     
01.07.1989 00:00:00   ;   241,31 ;     
01.08.1989 00:00:00   ;   241,24 ;     
01.09.1989 00:00:00   ;   241,17 ;     
01.10.1989 00:00:00   ;   241,02 ;     
01.11.1989 00:00:00   ;   241,01 ;     
01.12.1989 00:00:00   ;   241,07 ;     
01.01.1990 00:00:00   ;   241,05 ;     
01.02.1990 00:00:00   ;   241,31 ;     
01.03.1990 00:00:00   ;   241,50 ;     
01.04.1990 00:00:00   ;   241,29 ;     
01.05.1990 00:00:00   ;   241,33 ;     
01.06.1990 00:00:00   ;   241,41 ;     
01.07.1990 00:00:00   ;   241,59 ;     
01.08.1990 00:00:00   ;   241,12 ;     
01.09.1990 00:00:00   ;   241,05 ;     
01.10.1990 00:00:00   ;   241,04 ;     
01.11.1990 00:00:00   ;   241,10 ;     
01.12.1990 00:00:00   ;   241,08 ;     
01.01.1991 00:00:00   ;   241,23 ;     
01.02.1991 00:00:00   ;   240,94 ;     
01.03.1991 00:00:00   ;   240,97 ;     
01.04.1991 00:00:00   ;   240,87 ;     
01.05.1991 00:00:00   ;   241,10 ;     
01.06.1991 00:00:00   ;   241,33 ;     
01.07.1991 00:00:00   ;   241,47 ;     
01.08.1991 00:00:00   ;   242,21 ;     
01.09.1991 00:00:00   ;   240,84 ;     
01.10.1991 00:00:00   ;   240,73 ;     
01.11.1991 00:00:00   ;   240,74 ;     
01.12.1991 00:00:00   ;   240,89 ;     
01.01.1992 00:00:00   ;   240,96 ;     
01.02.1992 00:00:00   ;   240,98 ;     
01.03.1992 00:00:00   ;   241,23 ;     
01.04.1992 00:00:00   ;   241,24 ;     
01.05.1992 00:00:00   ;   241,11 ;     
01.06.1992 00:00:00   ;   241,20 ;     
01.07.1992 00:00:00   ;   241,08 ;     
01.08.1992 00:00:00   ;   240,82 ;     
01.09.1992 00:00:00   ;   240,79 ;     
01.10.1992 00:00:00   ;   240,62 ;     
01.11.1992 00:00:00   ;   240,96 ;     
01.12.1992 00:00:00   ;   241,38 ;     
01.01.1993 00:00:00   ;   241,08 ;     
01.02.1993 00:00:00   ;   241,03 ;     
01.03.1993 00:00:00   ;   241,13 ;     
01.04.1993 00:00:00   ;   241,14 ;     
01.05.1993 00:00:00   ;   241,03 ;     
01.06.1993 00:00:00   ;   240,95 ;     
01.07.1993 00:00:00   ;   241,35 ;     
01.08.1993 00:00:00   ;   241,20 ;     
01.09.1993 00:00:00   ;   241,04 ;     
01.10.1993 00:00:00   ;   240,95 ;     
01.11.1993 00:00:00   ;   240,76 ;     
01.12.1993 00:00:00   ;   241,12 ;     
01.01.1994 00:00:00   ;   241,23 ;     
01.02.1994 00:00:00   ;   241,05 ;     
01.03.1994 00:00:00   ;   241,20 ;     
01.04.1994 00:00:00   ;   241,49 ;     
01.05.1994 00:00:00   ;   241,46 ;     
