Messstelle:                ;Marchtrenk, Br 25.5
HZB-Nummer:                ;375923
HD-Nummer:                 ;W25.5
DBMS-Nummer:               ;4002967
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;05.01.1978
 Geländehöhe:              ;306,75
 Messpunkthöhe:            ;307,25
 Sohllage:                 ;295,03
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 05 02                 ;48 11 07
  01.01.2003               ;14 05 04                 ;48 11 10
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1978 00:00:00   ;   297,30 ;     
01.02.1978 00:00:00   ;   297,38 ;     
01.03.1978 00:00:00   ;   297,43 ;     
01.04.1978 00:00:00   ;   297,64 ;     
01.05.1978 00:00:00   ;   297,66 ;     
01.06.1978 00:00:00   ;   297,54 ;     
01.07.1978 00:00:00   ;   297,46 ;     
01.08.1978 00:00:00   ;   297,15 ;     
01.09.1978 00:00:00   ;   297,13 ;     
01.10.1978 00:00:00   ;   297,08 ;     
01.11.1978 00:00:00   ;   297,01 ;     
01.12.1978 00:00:00   ;   296,95 ;     
01.01.1979 00:00:00   ;   296,84 ;     
01.02.1979 00:00:00   ;   296,93 ;     
01.03.1979 00:00:00   ;   297,12 ;     
01.04.1979 00:00:00   ;   297,73 ;     
