Messstelle:                ;Kleinwarasdorf, Bl 1
HZB-Nummer:                ;335661
HD-Nummer:                 ;
DBMS-Nummer:               ;1002274
PorenGW-Gebiet:            ;322 Nikitschbachtal
Grundwasserkörper:         ;Gruppe Ikvatal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1993
 Geländehöhe:              ;264,99
 Messpunkthöhe:            ;265,84
 Sohllage:                 ;256,34
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1993               ;16 35 48                 ;47 32 21
  31.12.1992               ;16 35 44                 ;47 32 20
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1993 00:00:00   ;   260,25 ;     
01.02.1993 00:00:00   ;   260,21 ;     
01.03.1993 00:00:00   ;   260,20 ;     
01.04.1993 00:00:00   ;   260,28 ;     
01.05.1993 00:00:00   ;   260,21 ;     
01.06.1993 00:00:00   ;   260,10 ;     
01.07.1993 00:00:00   ;   260,02 ;     
01.08.1993 00:00:00   ;   259,92 ;     
01.09.1993 00:00:00   ;   259,85 ;     
01.10.1993 00:00:00   ;   259,94 ;     
01.11.1993 00:00:00   ;   260,13 ;     
01.12.1993 00:00:00   ;   260,21 ;     
01.01.1994 00:00:00   ;   260,68 ;     
01.02.1994 00:00:00   ;   260,71 ;     
01.03.1994 00:00:00   ;   260,59 ;     
01.04.1994 00:00:00   ;   260,57 ;     
01.05.1994 00:00:00   ;   260,54 ;     
01.06.1994 00:00:00   ;   260,48 ;     
01.07.1994 00:00:00   ;   260,32 ;     
01.08.1994 00:00:00   ;   260,17 ;     
01.09.1994 00:00:00   ;   260,12 ;     
01.10.1994 00:00:00   ;   260,02 ;     
01.11.1994 00:00:00   ;   260,13 ;     
01.12.1994 00:00:00   ;   260,14 ;     
01.01.1995 00:00:00   ;   260,19 ;     
01.02.1995 00:00:00   ;   260,25 ;     
01.03.1995 00:00:00   ;   260,50 ;     
01.04.1995 00:00:00   ;   260,67 ;     
01.05.1995 00:00:00   ;   260,67 ;     
01.06.1995 00:00:00   ;   260,78 ;     
01.07.1995 00:00:00   ;   260,60 ;     
01.08.1995 00:00:00   ;   260,33 ;     
01.09.1995 00:00:00   ;   260,28 ;     
01.10.1995 00:00:00   ;   260,20 ;     
01.11.1995 00:00:00   ;   260,12 ;     
01.12.1995 00:00:00   ;   260,14 ;     
01.01.1996 00:00:00   ;   260,64 ;     
01.02.1996 00:00:00   ;   260,82 ;     
01.03.1996 00:00:00   ;   260,90 ;     
01.04.1996 00:00:00   ;   261,32 ;     
01.05.1996 00:00:00   ;   261,49 ;     
01.06.1996 00:00:00   ;   261,35 ;     
01.07.1996 00:00:00   ;   261,09 ;     
01.08.1996 00:00:00   ;   260,90 ;     
01.09.1996 00:00:00   ;   261,14 ;     
01.10.1996 00:00:00   ;   261,50 ;     
01.11.1996 00:00:00   ;   261,35 ;     
01.12.1996 00:00:00   ;   261,11 ;     
01.01.1997 00:00:00   ;   260,88 ;     
01.02.1997 00:00:00   ;   260,76 ;     
01.03.1997 00:00:00   ;   260,68 ;     
01.04.1997 00:00:00   ;   260,74 ;     
01.05.1997 00:00:00   ;   260,65 ;     
01.06.1997 00:00:00   ;   260,59 ;     
01.07.1997 00:00:00   ;   260,60 ;     
01.08.1997 00:00:00   ;   260,43 ;     
01.09.1997 00:00:00   ;   260,24 ;     
01.10.1997 00:00:00   ;   260,10 ;     
01.11.1997 00:00:00   ;   259,99 ;     
01.12.1997 00:00:00   ;   260,02 ;     
01.01.1998 00:00:00   ;   259,97 ;     
01.02.1998 00:00:00   ;   259,91 ;     
01.03.1998 00:00:00   ;   259,94 ;     
01.04.1998 00:00:00   ;   260,00 ;     
01.05.1998 00:00:00   ;   259,97 ;     
01.06.1998 00:00:00   ;   260,00 ;     
01.07.1998 00:00:00   ;   260,07 ;     
01.08.1998 00:00:00   ;   259,96 ;     
01.09.1998 00:00:00   ;   260,29 ;     
01.10.1998 00:00:00   ;   260,74 ;     
01.11.1998 00:00:00   ;   260,90 ;     
01.12.1998 00:00:00   ;   260,79 ;     
01.01.1999 00:00:00   ;   260,71 ;     
01.02.1999 00:00:00   ;   260,67 ;     
01.03.1999 00:00:00   ;   260,62 ;     
01.04.1999 00:00:00   ;   260,60 ;     
01.05.1999 00:00:00   ;   260,76 ;     
01.06.1999 00:00:00   ;   260,75 ;     
01.07.1999 00:00:00   ;   260,77 ;     
01.08.1999 00:00:00   ;   260,79 ;     
01.09.1999 00:00:00   ;   261,01 ;     
01.10.1999 00:00:00   ;   260,85 ;     
01.11.1999 00:00:00   ;   260,74 ;     
01.12.1999 00:00:00   ;   260,78 ;     
01.01.2000 00:00:00   ;   260,72 ;     
01.02.2000 00:00:00   ;   261,01 ;     
01.03.2000 00:00:00   ;   260,89 ;     
01.04.2000 00:00:00   ;   260,96 ;     
01.05.2000 00:00:00   ;   260,77 ;     
01.06.2000 00:00:00   ;   260,50 ;     
01.07.2000 00:00:00   ;   260,35 ;     
01.08.2000 00:00:00   ;   260,24 ;     
01.09.2000 00:00:00   ;   260,11 ;     
01.10.2000 00:00:00   ;   260,13 ;     
01.11.2000 00:00:00   ;   260,12 ;     
01.12.2000 00:00:00   ;   260,11 ;     
01.01.2001 00:00:00   ;   260,17 ;     
01.02.2001 00:00:00   ;   260,10 ;     
01.03.2001 00:00:00   ;   260,07 ;     
01.04.2001 00:00:00   ;   260,11 ;     
01.05.2001 00:00:00   ;   259,98 ;     
01.06.2001 00:00:00   ;   259,82 ;     
