Messstelle:                ;Neumarkt a. d. R., Br 6
HZB-Nummer:                ;335521
HD-Nummer:                 ;
DBMS-Nummer:               ;1002260
PorenGW-Gebiet:            ;331 Raabtal
Grundwasserkörper:         ;Raabtal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1993
 Geländehöhe:              ;243,88
 Messpunkthöhe:            ;243,98
 Sohllage:                 ;234,53
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1993               ;16 09 43                 ;46 55 40
  31.12.1992               ;16 09 39                 ;46 55 38
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1993 00:00:00   ;   236,35 ;     
01.02.1993 00:00:00   ;   236,10 ;     
01.03.1993 00:00:00   ;   235,94 ;     
01.04.1993 00:00:00   ;   235,88 ;     
01.05.1993 00:00:00   ;   235,84 ;     
01.06.1993 00:00:00   ;   235,80 ;     
01.07.1993 00:00:00   ;   235,75 ;     
01.08.1993 00:00:00   ;   235,71 ;     
01.09.1993 00:00:00   ;   235,68 ;     
01.10.1993 00:00:00   ;   235,66 ;     
01.11.1993 00:00:00   ;   235,66 ;     
01.12.1993 00:00:00   ;   235,70 ;     
01.01.1994 00:00:00   ;   235,86 ;     
01.02.1994 00:00:00   ;   235,88 ;     
01.03.1994 00:00:00   ;   235,89 ;     
01.04.1994 00:00:00   ;   235,95 ;     
01.05.1994 00:00:00   ;   235,96 ;     
01.06.1994 00:00:00   ;   235,98 ;     
01.07.1994 00:00:00   ;   235,99 ;     
01.08.1994 00:00:00   ;   235,92 ;     
01.09.1994 00:00:00   ;   235,89 ;     
01.10.1994 00:00:00   ;   235,88 ;     
01.11.1994 00:00:00   ;   236,00 ;     
01.12.1994 00:00:00   ;   236,00 ;     
01.01.1995 00:00:00   ;   236,02 ;     
01.02.1995 00:00:00   ;   236,10 ;     
01.03.1995 00:00:00   ;   236,32 ;     
01.04.1995 00:00:00   ;   236,24 ;     
01.05.1995 00:00:00   ;   236,15 ;     
01.06.1995 00:00:00   ;   236,12 ;     
01.07.1995 00:00:00   ;   236,10 ;     
01.08.1995 00:00:00   ;   236,06 ;     
01.09.1995 00:00:00   ;   236,10 ;     
01.10.1995 00:00:00   ;   236,07 ;     
01.11.1995 00:00:00   ;   235,98 ;     
01.12.1995 00:00:00   ;   235,94 ;     
01.01.1996 00:00:00   ;   236,12 ;     
01.02.1996 00:00:00   ;   236,13 ;     
01.03.1996 00:00:00   ;   236,15 ;     
01.04.1996 00:00:00   ;   236,45 ;     
01.05.1996 00:00:00   ;   236,33 ;     
01.06.1996 00:00:00   ;   236,29 ;     
01.07.1996 00:00:00   ;   236,26 ;     
01.08.1996 00:00:00   ;   236,14 ;     
01.09.1996 00:00:00   ;   236,12 ;     
01.10.1996 00:00:00   ;   236,19 ;     
01.11.1996 00:00:00   ;   236,14 ;     
01.12.1996 00:00:00   ;   236,13 ;     
01.01.1997 00:00:00   ;   236,11 ;     
01.02.1997 00:00:00   ;   236,10 ;     
01.03.1997 00:00:00   ;   236,10 ;     
01.04.1997 00:00:00   ;   236,04 ;     
01.05.1997 00:00:00   ;   235,97 ;     
01.06.1997 00:00:00   ;   235,94 ;     
01.07.1997 00:00:00   ;   236,00 ;     
01.08.1997 00:00:00   ;   236,07 ;     
01.09.1997 00:00:00   ;   236,04 ;     
01.10.1997 00:00:00   ;   235,97 ;     
01.11.1997 00:00:00   ;   235,91 ;     
01.12.1997 00:00:00   ;   235,99 ;     
01.01.1998 00:00:00   ;   236,03 ;     
01.02.1998 00:00:00   ;   235,98 ;     
01.03.1998 00:00:00   ;   235,93 ;     
01.04.1998 00:00:00   ;   235,89 ;     
01.05.1998 00:00:00   ;   235,85 ;     
01.06.1998 00:00:00   ;   235,82 ;     
01.07.1998 00:00:00   ;   235,94 ;     
01.08.1998 00:00:00   ;   235,98 ;     
01.09.1998 00:00:00   ;   236,10 ;     
01.10.1998 00:00:00   ;   236,29 ;     
01.11.1998 00:00:00   ;   236,45 ;     
01.12.1998 00:00:00   ;   236,41 ;     
01.01.1999 00:00:00   ;   236,29 ;     
01.02.1999 00:00:00   ;   236,21 ;     
01.03.1999 00:00:00   ;   236,19 ;     
01.04.1999 00:00:00   ;   236,20 ;     
01.05.1999 00:00:00   ;   236,26 ;     
01.06.1999 00:00:00   ;   236,33 ;     
01.07.1999 00:00:00   ;   236,24 ;     
01.08.1999 00:00:00   ;   236,14 ;     
01.09.1999 00:00:00   ;   236,08 ;     
01.10.1999 00:00:00   ;   236,00 ;     
01.11.1999 00:00:00   ;   235,93 ;     
01.12.1999 00:00:00   ;   235,94 ;     
01.01.2000 00:00:00   ;   235,91 ;     
01.02.2000 00:00:00   ;   235,93 ;     
01.03.2000 00:00:00   ;   235,95 ;     
01.04.2000 00:00:00   ;   235,93 ;     
01.05.2000 00:00:00   ;   235,88 ;     
01.06.2000 00:00:00   ;   235,84 ;     
01.07.2000 00:00:00   ;   235,80 ;     
01.08.2000 00:00:00   ;   235,75 ;     
01.09.2000 00:00:00   ;   235,72 ;     
01.10.2000 00:00:00   ;   235,75 ;     
01.11.2000 00:00:00   ;   235,83 ;     
01.12.2000 00:00:00   ;   235,90 ;     
01.01.2001 00:00:00   ;   235,99 ;     
01.02.2001 00:00:00   ;   235,99 ;     
01.03.2001 00:00:00   ;   235,96 ;     
01.04.2001 00:00:00   ;   235,98 ;     
01.05.2001 00:00:00   ;   235,95 ;     
01.06.2001 00:00:00   ;   235,88 ;     
01.07.2001 00:00:00   ;   235,82 ;     
01.08.2001 00:00:00   ;   235,75 ;     
01.09.2001 00:00:00   ;   235,71 ;     
01.10.2001 00:00:00   ;   235,71 ;     
01.11.2001 00:00:00   ;   235,69 ;     
01.12.2001 00:00:00   ;   235,67 ;     
01.01.2002 00:00:00   ;   235,63 ;     
01.02.2002 00:00:00   ;   235,62 ;     
01.03.2002 00:00:00   ;   235,60 ;     
01.04.2002 00:00:00   ;   235,58 ;     
01.05.2002 00:00:00   ;   235,57 ;     
01.06.2002 00:00:00   ;   235,55 ;     
01.07.2002 00:00:00   ;   235,51 ;     
01.08.2002 00:00:00   ;   235,48 ;     
01.09.2002 00:00:00   ;   235,46 ;     
01.10.2002 00:00:00   ;   235,46 ;     
01.11.2002 00:00:00   ;   235,47 ;     
