Messstelle:                ;Thurnberg, Bl 64
HZB-Nummer:                ;320754
HD-Nummer:                 ;
DBMS-Nummer:               ;5002044
PorenGW-Gebiet:            ;040 Unteres Salzachtal
Grundwasserkörper:         ;Unteres Salzachtal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
Höhenangaben [m ü.A.]:     ;gültig seit: ;09.03.2022
 Geländehöhe:              ;433,15
 Messpunkthöhe:            ;434,24
 Sohllage:                 ;426,56
 T-Messtiefe u.GOK:        ;6,41
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  07.01.2003               ;13 05 17                 ;47 43 47
  21.09.1993               ;13 05 17                 ;47 43 47
  15.03.1968               ;13 05 16                 ;47 43 45
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1976 bis -> FG06 durch Kraftwerk beeinflusst
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
19.11.1969 07:01:00   ;   426,10 ;     
08.11.1976 07:01:00   ;   428,96 ;     
15.06.1977 07:01:00   ;   429,10 ;     
19.06.1978 07:01:00   ;   429,14 ;     
29.10.1979 07:01:00   ;   429,00 ;     
16.01.1980 07:01:00   ;   429,31 ;     
16.06.1981 07:01:00   ;   428,82 ;     
15.11.1982 07:01:00   ;   428,62 ;     
15.11.1983 07:01:00   ;   429,01 ;     
10.12.1984 07:01:00   ;   428,97 ;     
13.12.1985 07:01:00   ;   427,47 ;     
22.12.1986 07:01:00   ;   429,23 ;     
26.10.1987 07:01:00   ;   429,17 ;     
30.05.1988 07:01:00   ;   429,24 ;     
19.12.1989 07:01:00   ;   426,92 ;     
12.02.1990 07:01:00   ;   427,21 ;     
18.02.1991 07:01:00   ;   429,98 ;     
12.10.1992 07:01:00   ;   429,90 ;     
14.06.1993 07:01:00   ;   429,90 ;     
24.10.1994 07:01:00   ;   429,57 ;     
18.12.1995 07:01:00   ;   429,94 ;     
18.03.1996 07:01:00   ;   427,96 ;     
27.01.1997 07:30:00   ;   429,79 ;     
09.02.1998 07:30:00   ;   430,13 ;     
05.07.1999 07:30:00   ;   429,93 ;     
11.12.2000 07:30:00   ;   429,69 ;     
28.05.2001 07:30:00   ;   429,75 ;     
05.08.2002 07:30:00   ;   430,43 ;     
29.08.2003 07:00:00   ;   429,95 ;     
23.12.2004 17:00:00   ;   429,67 ;     
01.01.2005 00:00:05   ;   429,71 ;     
31.07.2006 12:00:00   ;   429,69 ;     
12.07.2007 10:00:00   ;   430,22 ;     
14.11.2008 12:00:00   ;   429,91 ;     
28.04.2009 23:00:00   ;   429,95 ;     
03.02.2010 02:00:00   ;   430,19 ;     
05.12.2011 01:00:00   ;   429,68 ;     
14.02.2012 00:00:00   ;   429,63 ;     
21.06.2013 10:00:00   ;   428,77 ;     
02.03.2014 21:00:00   ;   427,15 ;     
20.02.2015 23:00:00   ;   430,02 ;     
03.01.2016 03:00:00   ;   430,20 ;     
29.06.2017 19:00:00   ;   430,28 ;     
30.10.2018 20:00:00   ;   429,65 ;     
17.06.2019 14:00:00   ;   429,16 ;     
12.12.2020 17:00:00   ;   430,16 ;     
23.07.2021 20:00:00   ;   429,92 ;     
