Messstelle:                ;Stadl-Traun, Bl 45.10
HZB-Nummer:                ;374264
HD-Nummer:                 ;V45.10
DBMS-Nummer:               ;4003005
PorenGW-Gebiet:            ;110 Traun-Agergebiet
Grundwasserkörper:         ;Gruppe Traun und Zubringertäler [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;25.05.1994
 Geländehöhe:              ;342,67
 Messpunkthöhe:            ;343,21
 Sohllage:                 ;327,96
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;13 53 50                 ;48 05 04
  01.01.2003               ;13 53 52                 ;48 05 06
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.10.1995 07:01:00   ;   336,08 ;     
12.03.1996 07:01:00   ;   335,95 ;     
04.02.1997 07:01:00   ;   336,05 ;     
09.02.1998 07:01:00   ;   336,08 ;     
01.11.1999 07:01:00   ;   336,01 ;     
17.01.2000 07:01:00   ;   336,13 ;     
22.01.2001 07:01:00   ;   336,28 ;     
16.12.2002 07:01:00   ;   336,06 ;     
14.07.2003 07:01:00   ;   335,85 ;     
20.12.2004 07:01:00   ;   335,89 ;     
14.11.2005 07:01:00   ;   335,88 ;     
04.12.2006 07:01:00   ;   335,74 ;     
26.02.2007 07:01:00   ;   335,88 ;     
11.11.2008 12:00:00   ;   335,68 ;     
06.01.2009 12:00:00   ;   335,80 ;     
19.10.2010 12:00:00   ;   335,71 ;     
09.11.2011 12:00:00   ;   335,28 ;     
27.11.2012 12:00:00   ;   335,71 ;     
31.12.2013 23:59:55   ;   335,66 ;     
11.03.2014 12:00:00   ;   335,60 ;     
06.10.2015 12:00:00   ;   335,51 ;     
20.12.2016 12:00:00   ;   335,36 ;     
01.01.2017 00:00:05   ;   335,48 ;     
06.12.2018 12:00:00   ;   335,46 ;     
10.12.2019 12:00:00   ;   335,59 ;     
31.12.2020 23:59:55   ;   335,60 ;     
26.10.2021 12:00:00   ;   335,57 ;     
