Messstelle:                ;Hainburg a.d.D., Bl 1884.5
HZB-Nummer:                ;327486
HD-Nummer:                 ;3HD30845
DBMS-Nummer:               ;10001052
Fremdnummer:               ;1884.005
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;23.10.2012
 Geländehöhe:              ;141,73
 Messpunkthöhe:            ;143,29
 Sohllage:                 ;137,38
 T-Messtiefe u.GOK:        ;5,60
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.10.2021               ;16 56 05                 ;48 09 48
  01.01.2010               ;16 56 05                 ;48 09 48
  20.08.2008               ;16 56 05                 ;48 09 48
  01.01.2007               ;16 56 02                 ;48 09 47
  01.01.1982               ;16 55 58                 ;48 09 47
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
13.12.1982 07:01:00   ;   138,26 ;     
01.12.1983 07:01:00   ;   138,02 ;     
27.12.1984 07:01:00   ;   138,14 ;     
28.01.1985 07:01:00   ;   138,01 ;     
18.12.1986 07:01:00   ;   137,96 ;     
01.01.1987 00:00:05   ;   137,99 ;     
17.11.1988 07:01:00   ;   138,20 ;     
21.12.1989 07:01:00   ;   138,23 ;     
29.10.1990 07:01:00   ;   137,97 ;     
07.03.1991 07:01:00   ;   138,02 ;     
24.10.1992 07:01:00   ;   137,77 ;     
12.12.1993 07:01:00   ;   138,29 ;     
11.11.1994 07:01:00   ;   137,93 ;     
01.01.1995 07:01:00   ;   138,18 ;     
14.03.1996 07:01:00   ;   138,44 ;     
01.12.1997 12:00:00   ;   138,19 ;     
01.09.1998 12:00:00   ;   138,06 ;     
01.12.1999 12:00:00   ;   138,21 ;     
27.12.2000 14:48:30   ;   138,21 ;     
03.10.2003 04:00:00   ;   137,77 ;     
08.01.2004 01:00:00   ;   137,85 ;     
28.01.2005 11:00:00   ;   138,05 ;     
17.02.2006 20:00:00   ;   138,10 ;     
03.09.2007 10:48:30   ;   137,98 ;     
21.11.2008 01:00:00   ;   138,01 ;     
09.12.2009 03:00:00   ;   138,21 ;     
18.02.2010 23:00:00   ;   138,18 ;     
15.12.2011 16:00:00   ;   137,97 ;     
01.01.2012 00:00:05   ;   138,03 ;     
14.09.2013 21:00:00   ;   138,26 ;     
23.04.2014 10:00:00   ;   138,10 ;     
09.10.2015 07:00:00   ;   137,82 ;     
13.01.2016 19:00:00   ;   137,93 ;     
05.02.2017 20:00:00   ;   137,99 ;     
26.10.2018 18:00:00   ;   137,72 ;     
08.11.2019 04:00:00   ;   138,00 ;     
02.02.2020 07:00:00   ;   138,08 ;     
03.12.2021 07:00:00   ;   137,96 ;     
