Messstelle:                ;Traun, Br 15.1
HZB-Nummer:                ;316687
HD-Nummer:                 ;W15.1
DBMS-Nummer:               ;4002385
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;18.03.2015
 Geländehöhe:              ;277,40
 Messpunkthöhe:            ;277,98
 Sohllage:                 ;270,90
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  09.01.2013               ;14 12 31                 ;48 12 28
  01.01.2011               ;14 12 19                 ;48 12 33
  01.01.2003               ;14 12 24                 ;48 12 34
  01.01.1981               ;14 12 24                 ;48 12 34
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
11.07.1981 07:01:00   ;   274,62 ;     
23.10.1982 07:01:00   ;   274,47 ;     
24.12.1983 07:01:00   ;   274,73 ;     
31.12.1984 23:59:55   ;   274,73 ;     
05.01.1985 07:01:00   ;   274,69 ;     
19.12.1986 07:01:00   ;   274,68 ;     
01.01.1987 00:00:05   ;   274,78 ;     
26.11.1988 07:01:00   ;   274,87 ;     
16.09.1989 07:01:00   ;   274,85 ;     
10.02.1990 07:01:00   ;   274,45 ;     
16.03.1991 07:01:00   ;   274,36 ;     
21.02.1992 07:01:00   ;   274,70 ;     
18.03.1993 07:01:00   ;   274,59 ;     
21.12.1994 07:01:00   ;   274,81 ;     
26.01.1995 07:01:00   ;   274,83 ;     
27.03.1996 07:01:00   ;   274,75 ;     
07.02.1997 07:01:00   ;   274,79 ;     
12.03.1998 07:01:00   ;   274,83 ;     
18.12.1999 07:01:00   ;   274,92 ;     
26.01.2000 07:01:00   ;   274,81 ;     
01.12.2001 07:01:00   ;   274,87 ;     
26.01.2002 07:01:00   ;   274,88 ;     
31.12.2003 23:59:55   ;   274,74 ;     
10.01.2004 07:01:00   ;   274,69 ;     
17.01.2005 07:01:00   ;   274,66 ;     
31.12.2006 23:59:55   ;   274,86 ;     
10.10.2007 07:01:00   ;   274,72 ;     
17.12.2008 07:01:00   ;   274,86 ;     
04.02.2009 07:01:00   ;   274,75 ;     
25.05.2011 07:01:00   ;   274,92 ;     
19.12.2012 07:01:00   ;   275,04 ;     
01.01.2013 00:00:05   ;   275,07 ;     
30.12.2014 07:01:00   ;   274,95 ;     
31.12.2015 23:59:55   ;   274,92 ;     
20.01.2016 07:01:00   ;   274,80 ;     
08.02.2017 07:01:00   ;   274,81 ;     
28.11.2018 07:01:00   ;   274,88 ;     
19.11.2019 07:01:00   ;   274,40 ;     
26.05.2020 07:01:00   ;   274,55 ;     
12.01.2021 07:01:00   ;   274,95 ;     
