Messstelle:                ;Vandans, Bl 12.03.04 A
HZB-Nummer:                ;347096
HD-Nummer:                 ;12.03.04 A
DBMS-Nummer:               ;8002280
PorenGW-Gebiet:            ;001 Montafon
Grundwasserkörper:         ;Gruppe Kristallin [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;25.03.2020
 Geländehöhe:              ;634,55
 Messpunkthöhe:            ;635,47
 Sohllage:                 ;622,55
 T-Messtiefe u.GOK:        ;8,42
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1997               ;09 52 19                 ;47 05 39
  01.01.1996               ;09 52 19                 ;47 05 39
  10.07.1970               ;09 52 19                 ;47 05 39
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
06.03.1996 07:01:00   ;   630,16 ;     
10.02.1997 07:01:00   ;   630,19 ;     
16.02.1998 07:01:00   ;   630,30 ;     
15.02.1999 07:01:00   ;   630,27 ;     
17.01.2000 07:01:00   ;   630,67 ;     
26.02.2001 07:01:00   ;   630,89 ;     
04.02.2002 07:01:00   ;   630,92 ;     
22.09.2003 07:01:00   ;   630,81 ;     
15.11.2004 07:01:00   ;   630,76 ;     
14.03.2005 07:01:00   ;   630,74 ;     
20.02.2006 13:12:00   ;   630,82 ;     
26.02.2007 07:01:00   ;   630,87 ;     
11.02.2008 07:01:00   ;   630,84 ;     
09.11.2009 07:01:00   ;   630,64 ;     
15.02.2010 07:01:00   ;   630,63 ;     
14.02.2011 07:01:00   ;   630,55 ;     
27.02.2012 07:01:00   ;   630,69 ;     
23.12.2013 11:00:00   ;   630,49 ;     
01.02.2014 20:00:00   ;   630,45 ;     
17.12.2015 07:00:00   ;   630,35 ;     
20.12.2016 14:00:00   ;   630,10 ;     
01.01.2017 14:00:00   ;   630,11 ;     
13.12.2018 13:00:00   ;   629,91 ;     
23.01.2019 13:00:00   ;   630,08 ;     
12.12.2020 14:00:00   ;   630,35 ;     
23.12.2021 01:00:00   ;   629,95 ;     
