Messstelle:                ;Pergkirchen, Bl 2096.021
HZB-Nummer:                ;316620
HD-Nummer:                 ;2096.021
DBMS-Nummer:               ;4002379
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Wasserverband Naarn
Höhenangaben [m ü.A.]:     ;gültig seit: ;15.02.1972
 Geländehöhe:              ;242,10
 Messpunkthöhe:            ;242,75
 Sohllage:                 ;236,45
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 41 02                 ;48 13 36
  01.01.2003               ;14 41 07                 ;48 13 39
  15.02.1972               ;14 41 07                 ;48 13 39
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.02.1972 07:01:00   ;   238,09 ;     
16.10.1973 07:01:00   ;   237,93 ;     
05.06.1974 07:01:00   ;   238,18 ;     
22.12.1975 07:01:00   ;   238,17 ;     
20.07.1976 07:01:00   ;   238,05 ;     
31.10.1977 07:01:00   ;   238,13 ;     
04.12.1978 07:01:00   ;   238,05 ;     
30.01.1979 07:01:00   ;   238,24 ;     
07.10.1980 07:01:00   ;   238,34 ;     
08.09.1981 07:01:00   ;   238,20 ;     
06.12.1982 07:01:00   ;   238,13 ;     
05.12.1983 07:01:00   ;   237,94 ;     
24.12.1984 07:01:00   ;   238,11 ;     
21.01.1985 07:01:00   ;   238,08 ;     
21.10.1986 07:01:00   ;   237,92 ;     
17.11.1987 07:01:00   ;   238,23 ;     
18.10.1988 07:01:00   ;   238,20 ;     
12.09.1989 07:01:00   ;   238,32 ;     
18.09.1990 07:01:00   ;   238,13 ;     
12.11.1991 07:01:00   ;   238,15 ;     
13.10.1992 07:01:00   ;   237,97 ;     
16.06.1993 07:01:00   ;   238,30 ;     
16.11.1994 07:01:00   ;   237,91 ;     
01.01.1995 00:00:05   ;   238,12 ;     
01.10.1996 07:01:00   ;   238,56 ;     
11.11.1997 07:01:00   ;   238,21 ;     
01.09.1998 07:01:00   ;   238,18 ;     
09.11.1999 07:01:00   ;   238,09 ;     
03.10.2000 07:01:00   ;   238,09 ;     
14.08.2001 07:01:00   ;   238,19 ;     
09.07.2002 07:01:00   ;   237,76 ;     
09.09.2003 07:01:00   ;   238,02 ;     
01.01.2004 00:00:05   ;   238,07 ;     
13.12.2005 07:01:00   ;   238,17 ;     
31.12.2006 23:59:55   ;   238,11 ;     
26.08.2007 07:01:00   ;   237,98 ;     
14.11.2008 07:01:00   ;   238,08 ;     
30.01.2009 07:01:00   ;   238,24 ;     
03.12.2010 07:01:00   ;   238,30 ;     
16.09.2011 07:01:00   ;   237,93 ;     
14.12.2012 07:01:00   ;   238,06 ;     
06.12.2013 07:01:00   ;   238,21 ;     
08.05.2014 07:01:00   ;   238,03 ;     
01.10.2015 07:01:00   ;   237,83 ;     
01.01.2016 00:00:05   ;   237,91 ;     
02.11.2017 07:01:00   ;   237,89 ;     
14.11.2018 07:01:00   ;   237,70 ;     
18.12.2019 07:01:00   ;   237,79 ;     
22.01.2020 07:01:00   ;   237,83 ;     
24.11.2021 07:01:00   ;   238,12 ;     
