Messstelle:                ;Eckartsau, Bl 1892.3
HZB-Nummer:                ;356147
HD-Nummer:                 ;3HD39203
DBMS-Nummer:               ;10001124
Fremdnummer:               ;1892.003
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;19.04.2012
 Geländehöhe:              ;145,02
 Messpunkthöhe:            ;145,98
 Sohllage:                 ;137,97
 T-Messtiefe u.GOK:        ;7,70
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.10.2021               ;16 49 46                 ;48 07 40
  01.01.2010               ;16 49 44                 ;48 07 39
  02.07.1982               ;16 49 44                 ;48 07 39
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
05.03.1998 11:30:00   ;   140,99 ;     
03.12.1999 11:30:00   ;   141,12 ;     
31.12.2000 23:59:55   ;   141,09 ;     
03.01.2001 11:30:00   ;   141,07 ;     
24.01.2002 11:30:00   ;   141,44 ;     
30.12.2003 11:30:00   ;   140,56 ;     
29.12.2004 11:30:00   ;   140,71 ;     
01.01.2005 00:00:05   ;   140,72 ;     
31.12.2006 23:59:55   ;   140,82 ;     
04.01.2007 07:01:00   ;   140,81 ;     
17.11.2008 02:00:00   ;   140,82 ;     
07.02.2009 11:00:00   ;   140,72 ;     
19.02.2010 06:00:00   ;   140,82 ;     
05.12.2011 09:00:00   ;   140,57 ;     
16.12.2012 16:00:00   ;   140,77 ;     
31.12.2013 23:00:00   ;   140,91 ;     
17.03.2014 12:00:00   ;   140,64 ;     
21.11.2015 02:00:00   ;   140,41 ;     
05.01.2016 08:00:00   ;   140,40 ;     
31.01.2017 22:00:00   ;   140,47 ;     
03.12.2018 13:00:00   ;   140,18 ;     
17.12.2019 16:00:00   ;   140,48 ;     
29.01.2020 03:00:00   ;   140,47 ;     
01.12.2021 07:00:00   ;   140,49 ;     
