Messstelle:                ;Emmersdorf, Bl 2035.001
HZB-Nummer:                ;322719
HD-Nummer:                 ;
DBMS-Nummer:               ;3002666
PorenGW-Gebiet:            ;188 Pöchlarner Feld
Grundwasserkörper:         ;Gruppe Böhmische Masse [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;22.06.1993
 Geländehöhe:              ;210,46
 Messpunkthöhe:            ;211,21
 Sohllage:                 ;202,66
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;15 20 16                 ;48 14 31
  01.01.2009               ;15 20 15                 ;48 14 31
  25.06.1976               ;15 20 16                 ;48 14 33
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2015 HG15 häufig trockengefallen
  2016 HG13 fehlende Monatsmittel zufolge Beobachterausfall
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
18.02.1978 07:01:00   ;   203,50 ;     
27.01.1979 07:01:00   ;   203,52 ;     
06.12.1980 07:01:00   ;   203,72 ;     
31.01.1981 07:01:00   ;   203,90 ;     
13.11.1982 07:01:00   ;   202,95 ;     
26.11.1983 07:01:00   ;   202,40 ;     
15.12.1984 07:01:00   ;   202,61 ;     
04.11.1985 07:01:00   ;   202,44 ;     
15.12.1986 07:01:00   ;   202,25 ;     
30.11.1987 07:01:00   ;   202,71 ;     
14.11.1988 07:01:00   ;   202,56 ;     
11.12.1989 07:01:00   ;   202,44 ;     
23.10.1990 07:01:00   ;   202,51 ;     
04.11.1991 07:01:00   ;   202,04 ;     
19.10.1992 07:01:00   ;   201,93 ;     
05.12.1993 07:01:00   ;   202,44 ;     
30.10.1994 07:01:00   ;   202,71 ;     
30.10.1995 07:01:00   ;   202,61 ;     
19.02.1996 07:01:00   ;   202,45 ;     
21.01.1997 07:01:00   ;   202,66 ;     
02.02.1998 07:01:00   ;   202,66 ;     
23.11.1999 07:01:00   ;   202,74 ;     
31.12.2000 23:59:55   ;   202,74 ;     
02.01.2001 07:01:00   ;   202,69 ;     
17.01.2002 07:01:00   ;   202,78 ;     
26.08.2003 07:01:00   ;   202,67 ;     
22.09.2004 07:01:00   ;   202,65 ;     
09.02.2005 07:01:00   ;   202,67 ;     
05.12.2006 07:01:00   ;   202,66 ;     
01.01.2007 00:00:05   ;   202,67 ;     
10.04.2008 07:01:00   ;   202,68 ;     
10.01.2009 07:01:00   ;   202,68 ;     
19.02.2010 07:01:00   ;   202,66 ;     
06.10.2011 07:01:00   ;   202,66 ;     
30.11.2012 07:01:00   ;   202,93 ;     
31.12.2013 23:59:55   ;   202,70 ;     
02.01.2014 07:01:00   ;   202,67 ;     
22.12.2016 07:01:00   ;   202,33 ;     
12.01.2017 07:01:00   ;   202,66 ;     
28.07.2018 07:00:00   ;   202,83 ;     
26.09.2019 07:01:00   ;   202,64 ;     
31.01.2020 07:01:00   ;   202,63 ;     
16.01.2021 07:01:00   ;   202,67 ;     
