Messstelle:                ;Seibersdorf, Bl 255
HZB-Nummer:                ;322974
HD-Nummer:                 ;
DBMS-Nummer:               ;3002692
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Studiengesellschaft für Atomenergie Seibersdorf
Höhenangaben [m ü.A.]:     ;gültig seit: ;04.11.1985
 Geländehöhe:              ;185,01
 Messpunkthöhe:            ;185,71
 Sohllage:                 ;179,66
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 29 28                 ;47 59 09
  01.01.2009               ;16 29 28                 ;47 59 09
  01.01.1978               ;16 29 23                 ;47 59 08
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1978 bis -> FG10 kommuniziert stark mit nahegelegenem Oberflächengewässer
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
28.08.1978 07:01:00   ;   183,07 ;     
11.06.1979 07:01:00   ;   183,13 ;     
25.08.1980 07:01:00   ;   182,97 ;     
13.07.1981 07:01:00   ;   182,84 ;     
12.07.1982 07:01:00   ;   183,17 ;     
22.08.1983 07:01:00   ;   182,48 ;     
10.09.1984 07:01:00   ;   183,12 ;     
10.06.1985 07:01:00   ;   183,25 ;     
04.08.1986 07:01:00   ;   183,16 ;     
21.09.1987 07:01:00   ;   183,17 ;     
01.08.1988 07:01:00   ;   183,07 ;     
24.07.1989 07:01:00   ;   183,22 ;     
03.09.1990 07:01:00   ;   182,96 ;     
15.07.1991 07:01:00   ;   183,18 ;     
24.08.1992 07:01:00   ;   182,98 ;     
12.07.1993 07:01:00   ;   183,11 ;     
08.08.1994 07:01:00   ;   182,96 ;     
29.05.1995 07:01:00   ;   183,04 ;     
24.06.1996 07:01:00   ;   183,21 ;     
24.03.1997 07:01:00   ;   183,22 ;     
10.08.1998 07:01:00   ;   183,09 ;     
05.07.1999 07:01:00   ;   183,26 ;     
03.07.2000 07:01:00   ;   183,10 ;     
16.07.2001 07:01:00   ;   183,08 ;     
15.07.2002 07:01:00   ;   183,19 ;     
11.08.2003 07:01:00   ;   183,17 ;     
23.08.2004 07:01:00   ;   183,25 ;     
27.06.2005 07:01:00   ;   183,18 ;     
31.07.2006 07:01:00   ;   183,21 ;     
23.07.2007 07:01:00   ;   183,11 ;     
19.05.2008 07:01:00   ;   183,27 ;     
15.06.2009 07:01:00   ;   183,30 ;     
26.07.2010 07:01:00   ;   183,24 ;     
18.07.2011 07:01:00   ;   183,21 ;     
02.07.2012 07:01:00   ;   183,10 ;     
12.08.2013 07:01:00   ;   183,07 ;     
30.06.2014 07:01:00   ;   183,22 ;     
10.08.2015 07:01:00   ;   183,06 ;     
11.07.2016 07:01:00   ;   183,27 ;     
10.07.2017 07:01:00   ;   183,13 ;     
20.08.2018 07:01:00   ;   183,13 ;     
29.07.2019 07:01:00   ;   183,15 ;     
24.08.2020 07:01:00   ;   183,12 ;     
12.07.2021 07:01:00   ;   183,02 ;     
