Messstelle:                ;Arbing, Bl 2093.013
HZB-Nummer:                ;316638
HD-Nummer:                 ;2093.013
DBMS-Nummer:               ;4002380
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Wasserverband Naarn
Höhenangaben [m ü.A.]:     ;gültig seit: ;15.02.1972
 Geländehöhe:              ;238,36
 Messpunkthöhe:            ;239,21
 Sohllage:                 ;233,36
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 42 24                 ;48 13 14
  01.01.2003               ;14 42 29                 ;48 13 16
  15.02.1972               ;14 42 29                 ;48 13 16
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.02.1972 07:01:00   ;   235,71 ;     
13.11.1973 07:01:00   ;   235,61 ;     
23.10.1974 07:01:00   ;   236,16 ;     
22.12.1975 07:01:00   ;   236,10 ;     
12.10.1976 07:01:00   ;   235,77 ;     
13.12.1977 07:01:00   ;   235,71 ;     
14.11.1978 07:01:00   ;   235,56 ;     
30.01.1979 07:01:00   ;   235,71 ;     
07.10.1980 07:01:00   ;   236,10 ;     
08.09.1981 07:01:00   ;   235,91 ;     
06.12.1982 07:01:00   ;   235,80 ;     
13.12.1983 07:01:00   ;   235,64 ;     
18.12.1984 07:01:00   ;   235,79 ;     
08.09.1998 07:01:00   ;   235,91 ;     
07.12.1999 07:01:00   ;   235,66 ;     
21.11.2000 07:01:00   ;   235,64 ;     
08.01.2001 07:01:00   ;   235,85 ;     
06.08.2002 07:01:00   ;   235,83 ;     
31.12.2003 23:59:55   ;   235,57 ;     
06.01.2004 07:01:00   ;   235,56 ;     
04.01.2005 07:01:00   ;   235,81 ;     
31.12.2006 23:59:55   ;   235,71 ;     
02.09.2007 07:01:00   ;   235,53 ;     
21.11.2008 07:01:00   ;   235,62 ;     
30.01.2009 07:01:00   ;   235,77 ;     
03.12.2010 07:01:00   ;   235,91 ;     
02.12.2011 07:01:00   ;   235,48 ;     
26.10.2012 07:01:00   ;   235,48 ;     
31.12.2013 23:59:55   ;   235,85 ;     
08.05.2014 07:01:00   ;   235,61 ;     
19.11.2015 07:01:00   ;   235,40 ;     
07.01.2016 07:01:00   ;   235,41 ;     
02.11.2017 07:01:00   ;   235,52 ;     
21.11.2018 07:01:00   ;   235,30 ;     
18.12.2019 07:01:00   ;   235,33 ;     
22.01.2020 07:01:00   ;   235,32 ;     
02.12.2021 07:01:00   ;   235,87 ;     
