Messstelle:                ;Pergkirchen, Br 2098.023
HZB-Nummer:                ;308692
HD-Nummer:                 ;2098.023
DBMS-Nummer:               ;4002212
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.09.1977
 Geländehöhe:              ;248,99
 Messpunkthöhe:            ;249,39
 Sohllage:                 ;245,11
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 39 40                 ;48 14 33
  01.01.2003               ;14 39 44                 ;48 14 35
  01.01.1964               ;14 39 44                 ;48 14 35
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1970 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  1970 AKorr 2001: Regimeänderung durch Flussregulierung
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
21.01.1970 07:01:00   ;   245,89 ;     
10.11.1971 07:01:00   ;   245,72 ;     
02.02.1972 07:01:00   ;   245,61 ;     
17.10.1973 07:01:00   ;   245,33 ;     
24.04.1974 07:01:00   ;   245,83 ;     
22.12.1975 07:01:00   ;   246,09 ;     
20.07.1976 07:01:00   ;   245,48 ;     
06.12.1977 07:01:00   ;   245,59 ;     
14.11.1978 07:01:00   ;   245,20 ;     
02.01.1979 07:01:00   ;   245,44 ;     
28.10.1980 07:01:00   ;   246,02 ;     
14.07.1981 07:01:00   ;   246,07 ;     
06.12.1982 07:01:00   ;   245,84 ;     
22.11.1983 07:01:00   ;   245,46 ;     
11.12.1984 07:01:00   ;   245,59 ;     
15.01.1985 07:01:00   ;   245,59 ;     
09.12.1986 07:01:00   ;   245,69 ;     
27.01.1987 07:01:00   ;   245,97 ;     
18.10.1988 07:01:00   ;   246,19 ;     
05.12.1989 07:01:00   ;   246,01 ;     
04.09.1990 07:01:00   ;   245,89 ;     
10.12.1991 07:01:00   ;   245,89 ;     
01.09.1992 07:01:00   ;   245,85 ;     
01.06.1993 07:01:00   ;   246,05 ;     
08.11.1994 07:01:00   ;   245,84 ;     
16.05.1995 07:01:00   ;   245,64 ;     
13.02.1996 07:01:00   ;   246,16 ;     
11.11.1997 07:01:00   ;   246,00 ;     
09.06.1998 07:01:00   ;   245,78 ;     
16.11.1999 07:01:00   ;   245,93 ;     
03.10.2000 07:01:00   ;   245,83 ;     
23.10.2001 07:01:00   ;   246,02 ;     
06.08.2002 07:01:00   ;   246,23 ;     
31.12.2003 23:59:55   ;   245,88 ;     
21.09.2004 07:01:00   ;   245,73 ;     
04.01.2005 07:01:00   ;   245,83 ;     
07.02.2006 07:01:00   ;   246,06 ;     
26.08.2007 07:01:00   ;   245,77 ;     
09.11.2008 07:01:00   ;   245,92 ;     
30.01.2009 07:01:00   ;   245,97 ;     
12.11.2010 07:01:00   ;   246,30 ;     
02.12.2011 07:01:00   ;   245,69 ;     
11.05.2012 07:01:00   ;   245,83 ;     
31.12.2013 23:59:55   ;   246,21 ;     
18.07.2014 07:01:00   ;   245,84 ;     
31.08.2015 09:43:00   ;   245,64 ;     
01.01.2016 00:00:05   ;   245,69 ;     
26.10.2017 07:01:00   ;   245,89 ;     
21.11.2018 07:01:00   ;   245,33 ;     
18.12.2019 07:01:00   ;   245,46 ;     
21.05.2020 07:01:00   ;   245,50 ;     
14.07.2021 07:01:00   ;   245,93 ;     
