Messstelle:                ;Tschinowitsch, Bl 111 B
HZB-Nummer:                ;309823
HD-Nummer:                 ;
DBMS-Nummer:               ;2002027
PorenGW-Gebiet:            ;425 Unteres Gailtal
Grundwasserkörper:         ;Gailtal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Kärntner Elektrizitätswerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;15.01.2020
 Geländehöhe:              ;493,55
 Messpunkthöhe:            ;494,33
 Sohllage:                 ;488,61
 T-Messtiefe u.GOK:        ;4,72
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  22.07.1963               ;13 51 00                 ;46 35 17
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
28.03.1966 07:01:00   ;   489,62 ;     
03.04.1967 07:01:00   ;   489,02 ;     
05.02.1968 07:01:00   ;   489,82 ;     
17.02.1969 07:01:00   ;   489,85 ;     
16.03.1970 07:01:00   ;   489,89 ;     
02.11.1971 07:01:00   ;   489,65 ;     
31.01.1972 07:01:00   ;   489,47 ;     
12.03.1973 07:01:00   ;   489,59 ;     
30.12.1974 07:01:00   ;   489,70 ;     
24.02.1975 07:01:00   ;   489,51 ;     
23.02.1976 07:01:00   ;   489,50 ;     
27.12.1977 07:01:00   ;   489,42 ;     
20.02.1978 07:01:00   ;   489,37 ;     
22.01.1979 07:01:00   ;   489,60 ;     
06.10.1980 07:01:00   ;   489,71 ;     
06.03.1981 07:01:00   ;   489,53 ;     
01.03.1982 07:01:00   ;   489,40 ;     
12.12.1983 07:01:00   ;   489,15 ;     
12.03.1984 07:01:00   ;   489,13 ;     
02.12.1985 07:01:00   ;   489,29 ;     
31.12.1986 23:59:55   ;   489,22 ;     
12.01.1987 07:01:00   ;   489,17 ;     
31.12.1988 23:59:55   ;   489,16 ;     
20.02.1989 07:01:00   ;   488,90 ;     
19.03.1990 07:01:00   ;   488,91 ;     
18.02.1991 07:01:00   ;   489,52 ;     
28.09.1992 07:01:00   ;   489,35 ;     
08.03.1993 07:01:00   ;   489,40 ;     
08.08.1994 07:01:00   ;   489,24 ;     
04.12.1995 07:01:00   ;   489,15 ;     
26.02.1996 07:01:00   ;   489,09 ;     
02.11.1997 07:30:00   ;   489,33 ;     
30.03.1998 07:30:00   ;   489,44 ;     
15.02.1999 07:30:00   ;   489,43 ;     
21.02.2000 07:30:00   ;   489,49 ;     
31.12.2001 07:30:00   ;   489,24 ;     
21.01.2002 07:30:00   ;   489,22 ;     
25.08.2003 07:30:00   ;   489,35 ;     
02.02.2004 07:30:00   ;   489,40 ;     
07.03.2005 07:30:00   ;   489,30 ;     
13.02.2006 07:30:00   ;   489,31 ;     
05.02.2007 07:30:00   ;   489,34 ;     
07.01.2008 07:30:00   ;   489,37 ;     
19.01.2009 07:30:00   ;   489,45 ;     
15.02.2010 07:30:00   ;   489,36 ;     
14.02.2012 19:00:00   ;   489,37 ;     
05.10.2013 08:00:00   ;   489,43 ;     
03.11.2014 10:00:00   ;   489,58 ;     
30.12.2015 19:00:00   ;   489,29 ;     
08.01.2016 10:00:00   ;   489,26 ;     
28.01.2017 12:00:00   ;   489,26 ;     
26.10.2018 03:00:00   ;   489,36 ;     
30.10.2019 14:00:00   ;   489,25 ;     
23.02.2020 07:00:00   ;   489,52 ;     
01.11.2021 06:00:00   ;   489,39 ;     
