Messstelle:                ;Feistritz, Bl  2561
HZB-Nummer:                ;329516
HD-Nummer:                 ;uw2561
DBMS-Nummer:               ;6002604
PorenGW-Gebiet:            ;364 Mittleres Murtal
Grundwasserkörper:         ;Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Wasserwirtschaftliche Rahmenplanung STMK
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1967
 Geländehöhe:              ;598,50
 Messpunkthöhe:            ;599,70
 Sohllage:                 ;596,40
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;14 54 13                 ;47 15 29
  01.01.1967               ;14 54 14                 ;47 15 26
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
27.02.1984 07:01:00   ;   596,56 ;     
25.02.1985 07:01:00   ;   596,66 ;     
03.03.1986 07:01:00   ;   596,67 ;     
09.02.1987 07:01:00   ;   596,59 ;     
14.03.1988 07:01:00   ;   596,71 ;     
06.02.1989 07:01:00   ;   596,66 ;     
15.01.1990 07:01:00   ;   596,75 ;     
18.02.1991 07:01:00   ;   596,71 ;     
10.02.1992 07:01:00   ;   596,85 ;     
15.03.1993 07:01:00   ;   596,78 ;     
21.02.1994 07:01:00   ;   596,87 ;     
31.12.1995 23:59:55   ;   596,70 ;     
11.03.1996 07:01:00   ;   596,58 ;     
24.02.1997 07:01:00   ;   596,83 ;     
09.02.1998 07:01:00   ;   596,67 ;     
19.02.1999 07:01:00   ;   596,71 ;     
17.01.2000 07:01:00   ;   596,76 ;     
31.12.2001 23:59:55   ;   596,65 ;     
21.01.2002 07:01:00   ;   596,58 ;     
24.03.2003 07:01:00   ;   596,72 ;     
12.03.2004 07:01:00   ;   596,68 ;     
14.03.2005 07:01:00   ;   596,60 ;     
13.02.2006 07:01:00   ;   596,70 ;     
15.01.2007 07:01:00   ;   596,75 ;     
25.02.2008 07:01:00   ;   596,66 ;     
23.02.2009 07:01:00   ;   596,69 ;     
22.02.2010 07:01:00   ;   596,70 ;     
31.12.2011 23:59:55   ;   596,64 ;     
13.02.2012 07:01:00   ;   596,51 ;     
25.02.2013 07:01:00   ;   596,81 ;     
27.01.2014 07:01:00   ;   596,93 ;     
31.12.2015 23:59:55   ;   596,65 ;     
25.01.2016 07:01:00   ;   596,55 ;     
30.01.2017 07:01:00   ;   596,59 ;     
05.03.2018 07:01:00   ;   596,67 ;     
28.01.2019 07:01:00   ;   596,69 ;     
03.02.2020 07:01:00   ;   596,82 ;     
27.12.2021 07:01:00   ;   596,60 ;     
