Messstelle:                ;Neusiedl am See, Bl 137
HZB-Nummer:                ;326280
HD-Nummer:                 ;
DBMS-Nummer:               ;1002187
PorenGW-Gebiet:            ;318 Seewinkel
Grundwasserkörper:         ;Seewinkel [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;08.04.1991
 Geländehöhe:              ;116,71
 Messpunkthöhe:            ;117,31
 Sohllage:                 ;101,88
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.07.1987               ;16 51 42                 ;47 54 08
  30.06.1987               ;16 51 38                 ;47 54 07
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.08.1988 07:01:00   ;   115,42 ;     
10.07.1989 07:01:00   ;   115,54 ;     
27.08.1990 07:01:00   ;   115,11 ;     
08.09.1991 07:01:00   ;   115,42 ;     
30.08.1992 07:01:00   ;   115,18 ;     
22.08.1993 07:01:00   ;   115,25 ;     
07.08.1994 07:01:00   ;   115,39 ;     
27.08.1995 07:01:00   ;   115,46 ;     
11.08.1996 07:01:00   ;   115,82 ;     
28.09.1997 08:00:00   ;   115,68 ;     
16.08.1998 08:00:00   ;   115,47 ;     
01.08.1999 09:00:00   ;   115,63 ;     
27.08.2000 09:00:00   ;   115,25 ;     
15.07.2001 09:00:00   ;   115,24 ;     
15.09.2002 09:00:00   ;   115,17 ;     
21.09.2003 09:00:00   ;   114,94 ;     
12.09.2004 09:00:00   ;   115,20 ;     
31.07.2005 09:00:00   ;   115,28 ;     
15.10.2006 09:00:00   ;   115,57 ;     
22.07.2007 09:00:00   ;   114,91 ;     
13.09.2008 09:00:00   ;   115,60 ;     
22.08.2009 09:00:00   ;   115,68 ;     
11.07.2010 05:45:00   ;   115,81 ;     
02.10.2011 07:05:00   ;   115,54 ;     
26.08.2012 06:35:00   ;   115,37 ;     
25.08.2013 06:45:00   ;   115,34 ;     
17.07.2014 10:00:00   ;   115,60 ;     
09.09.2015 10:00:00   ;   115,46 ;     
28.09.2016 12:40:00   ;   115,41 ;     
06.09.2017 08:00:00   ;   115,21 ;     
21.08.2018 07:40:00   ;   115,22 ;     
20.08.2019 08:10:00   ;   115,13 ;     
04.08.2020 08:40:00   ;   115,19 ;     
27.07.2021 09:15:00   ;   115,07 ;     
