Messstelle:                ;Leithaprodersdorf, Bl 5
HZB-Nummer:                ;335596
HD-Nummer:                 ;
DBMS-Nummer:               ;1002267
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Gruppe Südl. Wiener Becken-Ostrand [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.04.1993
 Geländehöhe:              ;201,76
 Messpunkthöhe:            ;202,66
 Sohllage:                 ;191,76
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.04.1993               ;16 28 08                 ;47 56 09
  31.03.1993               ;16 28 04                 ;47 56 07
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
23.08.1993 07:01:00   ;   197,25 ;     
15.08.1994 07:01:00   ;   197,16 ;     
14.08.1995 07:01:00   ;   197,25 ;     
12.08.1996 07:01:00   ;   197,51 ;     
29.09.1997 08:00:00   ;   197,42 ;     
17.08.1998 08:00:00   ;   197,28 ;     
21.06.1999 15:00:00   ;   197,42 ;     
03.09.2000 15:00:00   ;   197,21 ;     
02.09.2001 15:00:00   ;   197,05 ;     
04.08.2002 15:00:00   ;   197,23 ;     
31.08.2003 15:00:00   ;   197,07 ;     
12.09.2004 15:00:00   ;   197,17 ;     
14.08.2005 15:00:00   ;   197,23 ;     
15.10.2006 15:00:00   ;   197,25 ;     
19.08.2007 15:00:00   ;   197,04 ;     
01.06.2008 15:00:00   ;   197,32 ;     
21.06.2009 10:00:00   ;   197,37 ;     
25.07.2010 08:00:00   ;   197,38 ;     
24.07.2011 08:00:00   ;   197,22 ;     
08.07.2012 08:00:00   ;   197,17 ;     
25.08.2013 08:00:00   ;   197,26 ;     
20.07.2014 11:00:00   ;   197,33 ;     
16.08.2015 15:00:00   ;   197,12 ;     
17.01.2016 15:00:00   ;   197,29 ;     
31.08.2017 20:00:00   ;   197,12 ;     
23.08.2018 18:00:00   ;   197,16 ;     
08.08.2019 09:00:00   ;   197,08 ;     
29.07.2020 07:00:00   ;   197,05 ;     
05.10.2021 19:00:00   ;   197,08 ;     
