Messstelle:                ;Mitterndorf a.d.F., Bl 15
HZB-Nummer:                ;300806
HD-Nummer:                 ;
DBMS-Nummer:               ;11002020
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;Magistratsabteilung 31
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.10.2016
 Geländehöhe:              ;180,73
 Messpunkthöhe:            ;181,43
 Sohllage:                 ;176,30
 T-Messtiefe u.GOK:        ;4,30
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.11.1961               ;16 29 36                 ;48 00 30
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2004 bis -> FG05 durch Entnahme zeitweise beeinflusst
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2002 durch Pumpbetrieb vom 28. 10. - 4. 11. beeinflusst
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
20.10.1962 07:01:00   ;   179,52 ;     
23.12.1963 07:01:00   ;   179,49 ;     
13.01.1964 07:01:00   ;   179,47 ;     
29.11.1965 07:01:00   ;   179,62 ;     
07.02.1966 07:01:00   ;   179,49 ;     
31.07.1967 07:01:00   ;   179,47 ;     
15.07.1968 07:01:00   ;   179,35 ;     
04.08.1969 07:01:00   ;   179,44 ;     
29.06.1970 07:01:00   ;   179,39 ;     
19.08.1971 07:01:00   ;   179,21 ;     
06.07.1972 07:01:00   ;   179,43 ;     
30.08.1973 07:01:00   ;   179,26 ;     
24.06.1974 07:01:00   ;   179,31 ;     
09.10.1975 07:01:00   ;   179,32 ;     
19.07.1976 07:01:00   ;   179,22 ;     
20.06.1977 07:01:00   ;   179,38 ;     
11.09.1978 07:01:00   ;   179,38 ;     
11.06.1979 07:01:00   ;   179,37 ;     
04.08.1980 07:01:00   ;   179,38 ;     
09.07.1981 07:01:00   ;   179,32 ;     
11.06.1982 07:01:00   ;   179,47 ;     
01.08.1983 07:01:00   ;   179,39 ;     
12.07.1984 07:01:00   ;   179,43 ;     
14.01.1985 07:01:00   ;   179,47 ;     
04.08.1986 07:01:00   ;   179,45 ;     
23.07.1987 07:01:00   ;   179,43 ;     
25.07.1988 07:01:00   ;   179,40 ;     
14.12.1989 07:01:00   ;   179,50 ;     
27.08.1990 07:01:00   ;   179,38 ;     
11.07.1991 07:01:00   ;   179,45 ;     
27.08.1992 07:01:00   ;   179,35 ;     
23.08.1993 07:01:00   ;   179,40 ;     
11.08.1994 07:01:00   ;   179,34 ;     
07.08.1995 07:01:00   ;   179,37 ;     
15.02.1996 07:01:00   ;   179,49 ;     
12.06.1997 07:01:00   ;   179,48 ;     
13.08.1998 07:01:00   ;   179,37 ;     
05.07.1999 07:01:00   ;   179,46 ;     
22.06.2000 07:01:00   ;   179,38 ;     
28.06.2001 07:01:00   ;   179,37 ;     
11.07.2002 07:01:00   ;   179,43 ;     
11.08.2003 07:01:00   ;   179,40 ;     
19.08.2004 07:01:00   ;   179,45 ;     
27.06.2005 07:01:00   ;   179,43 ;     
27.07.2006 07:01:00   ;   179,47 ;     
27.07.2007 19:00:00   ;   179,31 ;     
01.06.2008 18:00:00   ;   179,44 ;     
19.06.2009 16:00:00   ;   179,46 ;     
15.07.2010 15:00:00   ;   179,42 ;     
13.07.2011 14:00:00   ;   179,41 ;     
03.07.2012 16:00:00   ;   179,32 ;     
09.08.2013 11:00:00   ;   179,27 ;     
16.06.2014 15:00:00   ;   179,38 ;     
14.08.2015 19:00:00   ;   179,30 ;     
11.07.2016 15:00:00   ;   179,47 ;     
08.07.2017 22:00:00   ;   179,35 ;     
20.08.2018 05:00:00   ;   179,34 ;     
24.07.2019 18:00:00   ;   179,35 ;     
26.08.2020 18:00:00   ;   179,38 ;     
08.07.2021 18:00:00   ;   179,29 ;     
