Messstelle:                ;Tosters, Bl 01.32.46
HZB-Nummer:                ;379313
HD-Nummer:                 ;01.32.46
DBMS-Nummer:               ;8002475
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;18.02.2008
 Geländehöhe:              ;448,55
 Messpunkthöhe:            ;449,38
 Sohllage:                 ;433,38
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  18.02.2008               ;09 34 53                 ;47 14 32
  01.12.1980               ;09 34 53                 ;47 14 32
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
05.01.1981 07:01:00   ;   435,59 ;     
31.12.1982 23:59:55   ;   435,61 ;     
31.12.1983 23:59:55   ;   435,49 ;     
30.01.1984 07:01:00   ;   435,38 ;     
31.12.1985 23:59:55   ;   435,39 ;     
29.12.1986 07:01:00   ;   435,00 ;     
01.01.1987 00:00:05   ;   435,06 ;     
28.11.1988 07:01:00   ;   435,22 ;     
31.12.1989 23:59:55   ;   434,98 ;     
05.02.1990 07:01:00   ;   434,82 ;     
18.03.1991 07:01:00   ;   434,70 ;     
26.10.1992 07:01:00   ;   434,81 ;     
29.03.1993 07:01:00   ;   435,36 ;     
29.08.1994 07:01:00   ;   434,84 ;     
01.01.1995 00:00:05   ;   435,07 ;     
06.05.1996 07:01:00   ;   434,25 ;     
29.12.1997 07:01:00   ;   434,33 ;     
01.01.2002 00:00:05   ;   436,18 ;     
29.09.2003 07:01:00   ;   435,36 ;     
31.12.2004 23:59:55   ;   435,31 ;     
31.12.2005 23:59:55   ;   434,89 ;     
02.01.2006 07:01:00   ;   434,89 ;     
07.03.2007 10:45:00   ;   435,49 ;     
11.02.2008 07:01:00   ;   435,59 ;     
30.11.2009 07:01:00   ;   435,48 ;     
26.04.2010 07:01:00   ;   435,30 ;     
26.12.2011 07:01:00   ;   435,26 ;     
01.01.2012 00:00:05   ;   435,47 ;     
31.12.2013 23:59:55   ;   435,52 ;     
24.03.2014 09:35:00   ;   435,25 ;     
31.12.2015 23:59:55   ;   434,76 ;     
04.01.2016 09:35:00   ;   434,74 ;     
30.01.2017 09:40:00   ;   435,28 ;     
24.12.2018 10:00:00   ;   436,18 ;     
07.01.2019 11:05:00   ;   436,30 ;     
31.12.2020 23:59:55   ;   436,76 ;     
29.11.2021 14:45:00   ;   436,54 ;     
