Messstelle:                ;Witzelsdorf, Bl 1891.1
HZB-Nummer:                ;326751
HD-Nummer:                 ;3HD30911
DBMS-Nummer:               ;10001055
Fremdnummer:               ;1891.001
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.04.2013
 Geländehöhe:              ;143,50
 Messpunkthöhe:            ;144,16
 Sohllage:                 ;138,80
 T-Messtiefe u.GOK:        ;5,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.10.2021               ;16 51 08                 ;48 07 52
  01.01.2010               ;16 51 07                 ;48 07 50
  01.01.2007               ;16 51 07                 ;48 07 50
  01.01.1979               ;16 51 05                 ;48 07 51
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2014 HG28 gerätetechnisch bedingte Datenausfälle
  2014 HG15 häufig trockengefallen
  2015 HG15 häufig trockengefallen
  2016 HG15 häufig trockengefallen
  2017 HG15 häufig trockengefallen
  2021 HG31 Messstelle zeitweise nicht zugänglich
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
29.01.1979 07:01:00   ;   140,32 ;     
15.12.1980 07:01:00   ;   140,64 ;     
02.02.1981 07:01:00   ;   140,81 ;     
09.12.1982 07:01:00   ;   140,29 ;     
24.11.1983 07:01:00   ;   139,99 ;     
31.12.1984 23:59:55   ;   140,17 ;     
17.01.1985 07:01:00   ;   139,93 ;     
19.12.1986 07:01:00   ;   140,00 ;     
12.11.1987 07:01:00   ;   140,26 ;     
10.11.1988 07:01:00   ;   140,29 ;     
14.12.1989 07:01:00   ;   140,08 ;     
14.02.1990 07:01:00   ;   140,02 ;     
19.12.1991 07:01:00   ;   139,82 ;     
16.10.1992 07:01:00   ;   139,86 ;     
11.03.1993 07:01:00   ;   140,25 ;     
11.11.1994 07:01:00   ;   139,79 ;     
02.11.1995 07:01:00   ;   140,19 ;     
21.03.1996 07:01:00   ;   140,09 ;     
28.11.1997 07:01:00   ;   139,59 ;     
12.02.1998 07:01:00   ;   139,61 ;     
03.12.1999 07:01:00   ;   139,73 ;     
31.12.2000 23:59:55   ;   139,72 ;     
03.01.2001 07:01:00   ;   139,69 ;     
17.01.2002 07:01:00   ;   139,96 ;     
30.12.2003 07:01:00   ;   139,24 ;     
29.12.2004 07:01:00   ;   139,33 ;     
06.12.2005 07:01:00   ;   139,31 ;     
31.12.2006 23:59:55   ;   139,35 ;     
04.01.2007 07:01:00   ;   139,29 ;     
20.11.2008 09:29:00   ;   139,32 ;     
05.02.2009 10:03:00   ;   139,31 ;     
25.02.2010 09:38:00   ;   139,45 ;     
16.12.2011 16:30:00   ;   139,63 ;     
29.11.2012 01:30:00   ;   139,64 ;     
31.12.2013 22:00:00   ;   139,62 ;     
13.03.2014 23:00:00   ;   139,31 ;     
18.09.2015 16:00:00   ;   139,31 ;     
13.01.2016 07:00:00   ;   139,31 ;     
02.01.2017 20:00:00   ;   139,31 ;     
01.10.2019 13:00:00   ;   139,31 ;     
23.12.2020 00:00:00   ;   139,16 ;     
27.01.2021 16:00:00   ;   139,31 ;     
