Messstelle:                ;Friesach-St.Stefan, Bl 32433
HZB-Nummer:                ;325597
HD-Nummer:                 ;uw32433
DBMS-Nummer:               ;6002464
Fremdnummer:               ;STW 343
PorenGW-Gebiet:            ;378 Murdurchbruchstal
Grundwasserkörper:         ;Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Grazer Stadtwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;10.10.2018
 Geländehöhe:              ;387,48
 Messpunkthöhe:            ;388,08
 Sohllage:                 ;374,58
 T-Messtiefe u.GOK:        ;10,30
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 19 45                 ;47 09 16
  01.07.1978               ;15 19 43                 ;47 09 15
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2014 HG04 Beobachtung vorübergehend eingestellt
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
11.12.1978 07:01:00   ;   376,90 ;     
05.03.1979 07:01:00   ;   376,85 ;     
17.03.1980 07:01:00   ;   377,01 ;     
31.12.1981 23:59:55   ;   376,91 ;     
15.03.1982 07:01:00   ;   376,75 ;     
12.12.1983 07:01:00   ;   376,20 ;     
27.02.1984 07:01:00   ;   375,75 ;     
25.02.1985 07:01:00   ;   376,17 ;     
10.03.1986 07:01:00   ;   376,70 ;     
09.02.1987 07:01:00   ;   376,80 ;     
31.12.1988 23:59:55   ;   378,03 ;     
20.02.1989 07:01:00   ;   377,43 ;     
22.01.1990 07:01:00   ;   377,51 ;     
25.02.1991 07:01:00   ;   377,58 ;     
02.03.1992 07:01:00   ;   378,65 ;     
15.03.1993 07:01:00   ;   378,44 ;     
31.12.1994 23:59:55   ;   378,84 ;     
31.12.1995 23:59:55   ;   378,41 ;     
18.03.1996 07:01:00   ;   378,31 ;     
03.03.1997 12:00:00   ;   378,61 ;     
17.02.1998 12:00:00   ;   378,46 ;     
01.03.1999 12:00:00   ;   378,65 ;     
01.02.2000 07:01:00   ;   378,45 ;     
31.12.2001 23:59:55   ;   378,74 ;     
28.01.2002 07:01:00   ;   378,42 ;     
14.04.2003 07:01:00   ;   378,57 ;     
08.03.2004 07:01:00   ;   378,29 ;     
21.02.2005 07:01:00   ;   378,39 ;     
06.02.2006 07:01:00   ;   378,59 ;     
12.02.2007 07:01:00   ;   378,73 ;     
03.03.2008 07:01:00   ;   378,81 ;     
23.03.2009 07:01:00   ;   379,34 ;     
22.02.2010 07:01:00   ;   379,18 ;     
19.12.2011 07:01:00   ;   378,60 ;     
05.03.2012 07:01:00   ;   378,66 ;     
15.02.2014 02:00:00   ;   379,33 ;     
31.12.2015 10:00:00   ;   378,98 ;     
29.01.2016 10:00:00   ;   378,75 ;     
01.02.2017 18:00:00   ;   378,73 ;     
09.03.2018 07:00:00   ;   379,08 ;     
18.02.2019 11:00:00   ;   378,99 ;     
05.04.2020 20:00:00   ;   378,82 ;     
25.12.2021 22:00:00   ;   378,94 ;     
