Messstelle:                ;Weigelsdorf, Br
HZB-Nummer:                ;301838
HD-Nummer:                 ;
DBMS-Nummer:               ;11002123
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;Magistratsabteilung 31
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1990
 Geländehöhe:              ;203,09
 Messpunkthöhe:            ;203,19
 Sohllage:                 ;198,90
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  18.03.1950               ;16 24 24                 ;47 56 56
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
18.07.1966 07:01:00   ;   200,64 ;     
28.08.1967 07:01:00   ;   200,72 ;     
15.07.1968 07:01:00   ;   200,58 ;     
01.01.1969 00:00:05   ;   200,63 ;     
13.07.1970 07:01:00   ;   200,65 ;     
09.09.1971 07:01:00   ;   200,47 ;     
03.02.1972 07:01:00   ;   200,58 ;     
27.08.1973 07:01:00   ;   200,53 ;     
19.09.1974 07:01:00   ;   200,50 ;     
23.06.1975 07:01:00   ;   200,55 ;     
19.07.1976 07:01:00   ;   200,54 ;     
08.09.1977 07:01:00   ;   200,62 ;     
11.09.1978 07:01:00   ;   200,44 ;     
01.01.1979 00:00:05   ;   200,56 ;     
28.08.1980 07:01:00   ;   200,51 ;     
10.08.1981 07:01:00   ;   200,41 ;     
15.07.1982 07:01:00   ;   200,59 ;     
01.09.1983 07:01:00   ;   200,48 ;     
10.09.1984 07:01:00   ;   200,40 ;     
24.01.1985 07:01:00   ;   200,57 ;     
06.10.1986 07:01:00   ;   200,62 ;     
08.10.1987 07:01:00   ;   200,65 ;     
01.08.1988 07:01:00   ;   200,50 ;     
27.07.1989 07:01:00   ;   200,65 ;     
30.08.1990 07:01:00   ;   200,38 ;     
28.03.1991 07:01:00   ;   200,57 ;     
27.08.1992 07:01:00   ;   200,50 ;     
19.07.1993 07:01:00   ;   200,60 ;     
18.08.1994 07:01:00   ;   200,50 ;     
07.08.1995 07:01:00   ;   200,58 ;     
22.08.1996 07:01:00   ;   200,84 ;     
13.03.1997 07:01:00   ;   200,77 ;     
17.08.1998 07:01:00   ;   200,56 ;     
08.07.1999 07:01:00   ;   200,77 ;     
03.08.2000 07:01:00   ;   200,54 ;     
16.07.2001 07:01:00   ;   200,41 ;     
01.08.2002 07:01:00   ;   200,65 ;     
14.08.2003 07:01:00   ;   200,48 ;     
20.09.2004 07:01:00   ;   200,63 ;     
07.07.2005 07:01:00   ;   200,65 ;     
03.08.2006 07:01:00   ;   200,74 ;     
09.08.2007 07:01:00   ;   200,51 ;     
02.06.2008 07:01:00   ;   200,79 ;     
18.06.2009 07:01:00   ;   200,85 ;     
15.07.2010 07:01:00   ;   200,77 ;     
21.07.2011 07:01:00   ;   200,64 ;     
02.07.2012 07:01:00   ;   200,57 ;     
22.08.2013 07:01:00   ;   200,65 ;     
08.05.2014 07:01:00   ;   200,76 ;     
13.08.2015 07:01:00   ;   200,58 ;     
18.01.2016 07:01:00   ;   200,71 ;     
03.08.2017 07:01:00   ;   200,63 ;     
30.08.2018 07:01:00   ;   200,63 ;     
05.08.2019 07:01:00   ;   200,64 ;     
13.08.2020 07:01:00   ;   200,60 ;     
08.07.2021 07:01:00   ;   200,53 ;     
