Messstelle:                ;Altenstadt, Bl 01.32.68
HZB-Nummer:                ;379842
HD-Nummer:                 ;01.32.68
DBMS-Nummer:               ;8002579
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.04.1983
 Geländehöhe:              ;456,38
 Messpunkthöhe:            ;457,08
 Sohllage:                 ;430,48
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.04.1983               ;09 36 02                 ;47 14 26
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
26.03.1984 07:01:00   ;   437,61 ;     
31.12.1985 23:59:55   ;   436,96 ;     
29.12.1986 07:01:00   ;   436,23 ;     
01.01.1987 00:00:05   ;   436,33 ;     
28.11.1988 07:01:00   ;   437,12 ;     
31.12.1989 23:59:55   ;   436,68 ;     
05.02.1990 07:01:00   ;   436,39 ;     
22.12.1991 07:01:00   ;   437,06 ;     
03.02.1992 07:01:00   ;   437,30 ;     
15.03.1993 07:01:00   ;   439,41 ;     
05.12.1994 07:01:00   ;   438,48 ;     
18.12.1995 07:01:00   ;   438,54 ;     
06.05.1996 07:01:00   ;   437,63 ;     
15.12.1997 07:01:00   ;   436,44 ;     
11.02.2002 07:01:00   ;   438,59 ;     
03.11.2003 07:01:00   ;   439,36 ;     
31.12.2004 23:59:55   ;   438,52 ;     
31.12.2005 23:59:55   ;   438,20 ;     
30.01.2006 07:01:00   ;   438,09 ;     
19.02.2007 07:01:00   ;   439,11 ;     
13.12.2008 07:01:00   ;   438,18 ;     
23.11.2009 07:01:00   ;   437,75 ;     
25.04.2010 07:01:00   ;   437,19 ;     
01.01.2012 00:00:05   ;   437,45 ;     
31.12.2013 23:59:55   ;   437,73 ;     
28.04.2014 07:01:00   ;   436,73 ;     
31.12.2015 23:59:55   ;   436,04 ;     
04.01.2016 11:52:00   ;   435,88 ;     
30.01.2017 10:05:00   ;   436,92 ;     
03.12.2018 10:20:00   ;   435,69 ;     
07.01.2019 11:15:00   ;   435,95 ;     
27.04.2020 10:50:00   ;   437,22 ;     
29.11.2021 14:55:00   ;   437,16 ;     
