Messstelle:                ;Ruprechtshofen, Bl 2102.015
HZB-Nummer:                ;308700
HD-Nummer:                 ;2102.015
DBMS-Nummer:               ;4002213
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;03.02.1994
 Geländehöhe:              ;239,70
 Messpunkthöhe:            ;240,70
 Sohllage:                 ;233,95
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 37 07                 ;48 12 35
  01.01.2003               ;14 37 12                 ;48 12 37
  01.01.1964               ;14 37 12                 ;48 12 37
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
29.01.1964 07:01:00   ;   235,53 ;     
13.12.1965 07:01:00   ;   236,02 ;     
07.11.1966 07:01:00   ;   236,14 ;     
20.12.1967 07:01:00   ;   235,78 ;     
01.01.1968 00:00:05   ;   235,96 ;     
26.11.1969 07:01:00   ;   235,92 ;     
04.02.1970 07:01:00   ;   235,88 ;     
31.12.1971 23:59:55   ;   235,84 ;     
02.02.1972 07:01:00   ;   235,76 ;     
03.01.1973 07:01:00   ;   236,06 ;     
29.05.1974 07:01:00   ;   236,35 ;     
22.12.1975 07:01:00   ;   236,24 ;     
05.07.1976 07:01:00   ;   236,16 ;     
25.10.1977 07:01:00   ;   236,21 ;     
07.03.1978 07:01:00   ;   236,16 ;     
30.01.1979 07:01:00   ;   236,17 ;     
09.12.1980 07:01:00   ;   236,20 ;     
22.09.1981 07:01:00   ;   236,22 ;     
16.11.1982 07:01:00   ;   236,14 ;     
13.12.1983 07:01:00   ;   236,11 ;     
31.12.1984 23:59:55   ;   236,16 ;     
22.01.1985 07:01:00   ;   236,12 ;     
28.10.1986 07:01:00   ;   236,10 ;     
01.01.1987 00:00:05   ;   236,24 ;     
12.07.1988 07:01:00   ;   236,23 ;     
01.08.1989 07:01:00   ;   236,22 ;     
21.08.1990 07:01:00   ;   236,20 ;     
02.07.1991 07:01:00   ;   236,21 ;     
03.09.1992 07:01:00   ;   236,22 ;     
08.07.1993 07:01:00   ;   236,29 ;     
13.10.1994 07:01:00   ;   235,98 ;     
26.01.1995 07:01:00   ;   235,97 ;     
07.03.1996 07:01:00   ;   236,16 ;     
27.11.1997 07:01:00   ;   236,02 ;     
02.09.1998 07:01:00   ;   236,03 ;     
02.12.1999 07:01:00   ;   236,06 ;     
07.12.2000 07:01:00   ;   236,08 ;     
01.01.2001 00:00:05   ;   236,15 ;     
11.07.2002 07:01:00   ;   236,20 ;     
11.09.2003 07:01:00   ;   236,13 ;     
08.01.2004 07:01:00   ;   236,15 ;     
15.12.2005 07:01:00   ;   236,13 ;     
14.12.2006 07:01:00   ;   236,10 ;     
09.08.2007 07:01:00   ;   236,10 ;     
30.10.2008 07:01:00   ;   236,10 ;     
05.02.2009 07:01:00   ;   236,11 ;     
11.11.2010 07:01:00   ;   236,16 ;     
15.09.2011 07:01:00   ;   236,01 ;     
13.12.2012 07:01:00   ;   236,03 ;     
01.01.2013 00:00:05   ;   236,12 ;     
31.12.2014 23:59:55   ;   236,01 ;     
19.11.2015 07:01:00   ;   235,95 ;     
28.01.2016 07:01:00   ;   235,95 ;     
05.10.2017 07:01:00   ;   236,00 ;     
20.09.2018 07:01:00   ;   235,92 ;     
12.12.2019 07:01:00   ;   235,99 ;     
23.01.2020 07:01:00   ;   235,94 ;     
01.07.2021 07:01:00   ;   236,11 ;     
