Messstelle:                ;Graz 12, Br  3311
HZB-Nummer:                ;318923
HD-Nummer:                 ;uw3311
DBMS-Nummer:               ;6002377
Fremdnummer:               ;STW 244
PorenGW-Gebiet:            ;380 Grazer Feld
Grundwasserkörper:         ;Grazer Feld (Graz/Andritz - Wildon) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Grazer Stadtwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;09.11.2021
 Geländehöhe:              ;364,31
 Messpunkthöhe:            ;364,61
 Sohllage:                 ;358,51
 T-Messtiefe u.GOK:        ;5,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 23 20                 ;47 06 34
  01.01.1976               ;15 23 20                 ;47 06 33
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1988 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
14.03.1988 07:01:00   ;   360,61 ;     
20.02.1989 07:01:00   ;   360,93 ;     
05.03.1990 07:01:00   ;   360,97 ;     
18.02.1991 07:01:00   ;   360,85 ;     
24.02.1992 07:01:00   ;   361,09 ;     
15.03.1993 07:01:00   ;   361,09 ;     
28.12.1994 07:01:00   ;   361,13 ;     
23.01.1995 07:01:00   ;   361,08 ;     
29.02.1996 07:01:00   ;   361,04 ;     
20.01.1997 12:00:00   ;   361,22 ;     
23.02.1998 12:00:00   ;   361,04 ;     
31.12.1999 23:59:55   ;   360,98 ;     
31.01.2000 07:01:00   ;   360,77 ;     
31.12.2001 23:59:55   ;   361,01 ;     
21.01.2002 07:01:00   ;   360,99 ;     
31.12.2003 23:59:55   ;   361,06 ;     
30.01.2004 07:01:00   ;   360,98 ;     
06.02.2006 07:01:00   ;   360,96 ;     
16.01.2007 07:01:00   ;   360,99 ;     
21.01.2008 07:01:00   ;   360,89 ;     
26.01.2009 07:01:00   ;   360,97 ;     
16.02.2010 05:00:00   ;   360,99 ;     
30.12.2011 07:00:00   ;   360,94 ;     
13.02.2012 17:00:00   ;   360,84 ;     
20.02.2013 15:00:00   ;   361,12 ;     
02.02.2014 14:00:00   ;   361,15 ;     
27.12.2015 19:00:00   ;   361,17 ;     
28.01.2016 19:00:00   ;   361,09 ;     
04.02.2017 07:00:00   ;   361,13 ;     
08.03.2018 07:00:00   ;   361,24 ;     
27.01.2019 07:00:00   ;   361,23 ;     
29.01.2020 18:00:00   ;   361,25 ;     
25.12.2021 13:00:00   ;   361,24 ;     
