Messstelle:                ;Heiligenkreuz i.L., Bl 17A
HZB-Nummer:                ;335927
HD-Nummer:                 ;
DBMS-Nummer:               ;1002296
PorenGW-Gebiet:            ;335 Lafnitztal
Grundwasserkörper:         ;Lafnitztal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;07.03.1998
 Geländehöhe:              ;225,32
 Messpunkthöhe:            ;226,11
 Sohllage:                 ;219,10
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1994               ;16 14 33                 ;46 59 24
  31.12.1993               ;16 14 29                 ;46 59 23
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1994 07:01:00   ;   221,72 ;     
09.12.1995 07:01:00   ;   221,94 ;     
21.09.1996 07:01:00   ;   222,08 ;     
29.11.1997 12:00:00   ;   221,83 ;     
27.06.1998 12:00:00   ;   221,76 ;     
27.11.1999 12:00:00   ;   221,82 ;     
30.09.2000 12:00:00   ;   221,65 ;     
31.12.2001 23:59:55   ;   221,51 ;     
17.01.2002 12:00:00   ;   221,47 ;     
27.09.2003 12:00:00   ;   221,66 ;     
01.01.2004 00:00:05   ;   221,73 ;     
05.03.2005 12:00:00   ;   221,89 ;     
31.12.2006 23:59:55   ;   221,80 ;     
17.02.2007 12:00:00   ;   221,75 ;     
06.12.2008 12:00:00   ;   221,97 ;     
17.01.2009 12:00:00   ;   222,01 ;     
11.09.2010 11:15:00   ;   222,30 ;     
31.12.2011 23:59:55   ;   222,08 ;     
21.04.2012 11:30:00   ;   221,90 ;     
09.11.2013 12:08:00   ;   222,11 ;     
01.02.2014 11:20:00   ;   222,44 ;     
02.10.2015 14:43:00   ;   221,94 ;     
31.12.2016 23:59:55   ;   222,06 ;     
21.07.2017 16:53:00   ;   221,85 ;     
31.12.2018 23:59:55   ;   222,04 ;     
26.10.2019 11:05:00   ;   221,78 ;     
13.06.2020 11:45:00   ;   221,77 ;     
21.11.2021 16:38:00   ;   221,84 ;     
