Messstelle:                ;Urbersdorf, Bl 13
HZB-Nummer:                ;345033
HD-Nummer:                 ;
DBMS-Nummer:               ;1002307
PorenGW-Gebiet:            ;334 Stremtal
Grundwasserkörper:         ;Stremtal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1995
 Geländehöhe:              ;209,68
 Messpunkthöhe:            ;210,68
 Sohllage:                 ;203,44
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1995               ;16 21 54                 ;47 03 14
  31.12.1994               ;16 21 50                 ;47 03 12
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
03.09.1995 07:01:00   ;   208,16 ;     
18.08.1996 07:01:00   ;   208,53 ;     
22.06.1997 13:00:00   ;   208,58 ;     
16.08.1998 13:00:00   ;   208,68 ;     
14.11.1999 13:00:00   ;   208,58 ;     
01.10.2000 13:00:00   ;   207,86 ;     
21.10.2001 13:00:00   ;   207,87 ;     
20.10.2002 13:00:00   ;   207,51 ;     
19.10.2003 13:00:00   ;   207,30 ;     
01.01.2004 00:00:05   ;   207,37 ;     
21.08.2005 13:00:00   ;   207,98 ;     
12.11.2006 13:00:00   ;   207,77 ;     
09.09.2007 13:00:00   ;   207,82 ;     
14.12.2008 13:00:00   ;   208,10 ;     
22.11.2009 13:00:00   ;   208,04 ;     
01.01.2010 00:00:05   ;   208,49 ;     
31.12.2011 23:59:55   ;   208,69 ;     
28.10.2012 13:00:00   ;   208,24 ;     
03.11.2013 13:00:00   ;   208,26 ;     
01.01.2014 00:00:05   ;   208,57 ;     
31.12.2015 23:59:55   ;   208,25 ;     
03.01.2016 13:00:00   ;   208,24 ;     
19.11.2017 13:00:00   ;   207,71 ;     
23.12.2018 13:00:00   ;   207,71 ;     
27.10.2019 13:00:00   ;   207,43 ;     
05.01.2020 13:00:00   ;   207,62 ;     
05.12.2021 13:00:00   ;   207,63 ;     
