Messstelle:                ;Hofstetten, Bl 2095.001
HZB-Nummer:                ;314575
HD-Nummer:                 ;2095.001
DBMS-Nummer:               ;4002323
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Wasserverband Naarn
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.07.2004
 Geländehöhe:              ;239,02
 Messpunkthöhe:            ;239,90
 Sohllage:                 ;234,00
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 41 14                 ;48 12 56
  01.01.2003               ;14 41 17                 ;48 12 57
  02.07.1968               ;14 41 17                 ;48 12 57
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1970 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  1970 AKorr 2001: Regimeänderung durch Flussregelung
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
03.02.1970 07:01:00   ;   235,90 ;     
09.11.1971 07:01:00   ;   235,87 ;     
15.02.1972 07:01:00   ;   235,93 ;     
06.11.1973 07:01:00   ;   235,88 ;     
16.10.1974 07:01:00   ;   236,15 ;     
22.12.1975 07:01:00   ;   236,07 ;     
20.07.1976 07:01:00   ;   235,97 ;     
20.12.1977 07:01:00   ;   236,01 ;     
04.12.1978 07:01:00   ;   235,97 ;     
30.01.1979 07:01:00   ;   236,06 ;     
07.10.1980 07:01:00   ;   236,18 ;     
08.09.1981 07:01:00   ;   236,08 ;     
06.12.1982 07:01:00   ;   236,00 ;     
22.11.1983 07:01:00   ;   235,87 ;     
31.12.1984 23:59:55   ;   235,97 ;     
08.01.1985 07:01:00   ;   235,96 ;     
16.12.1986 07:01:00   ;   235,94 ;     
17.11.1987 07:01:00   ;   236,14 ;     
25.10.1988 07:01:00   ;   236,07 ;     
12.12.1989 07:01:00   ;   236,14 ;     
25.09.1990 07:01:00   ;   236,02 ;     
23.04.1991 07:01:00   ;   236,12 ;     
29.09.1992 07:01:00   ;   235,98 ;     
07.12.1993 07:01:00   ;   236,21 ;     
06.12.1994 07:01:00   ;   235,92 ;     
01.01.1995 00:00:05   ;   236,00 ;     
05.03.1996 07:01:00   ;   236,37 ;     
18.11.1997 07:01:00   ;   236,13 ;     
08.09.1998 07:01:00   ;   236,11 ;     
14.12.1999 07:01:00   ;   235,99 ;     
05.12.2000 07:01:00   ;   235,99 ;     
14.08.2001 07:01:00   ;   236,11 ;     
06.08.2002 07:01:00   ;   236,13 ;     
23.12.2003 07:01:00   ;   235,92 ;     
06.01.2004 07:01:00   ;   235,92 ;     
13.12.2005 07:01:00   ;   236,15 ;     
31.12.2006 23:59:55   ;   236,12 ;     
02.09.2007 07:01:00   ;   236,03 ;     
14.11.2008 07:01:00   ;   236,08 ;     
30.01.2009 07:01:00   ;   236,18 ;     
03.12.2010 07:01:00   ;   236,21 ;     
07.10.2011 07:01:00   ;   235,98 ;     
01.01.2012 00:00:05   ;   236,09 ;     
06.12.2013 07:01:00   ;   236,20 ;     
15.05.2014 07:01:00   ;   236,10 ;     
08.10.2015 07:01:00   ;   235,95 ;     
07.01.2016 07:01:00   ;   235,98 ;     
26.10.2017 07:01:00   ;   236,02 ;     
21.11.2018 07:01:00   ;   235,89 ;     
18.12.2019 07:01:00   ;   235,96 ;     
29.01.2020 07:01:00   ;   235,95 ;     
02.12.2021 07:01:00   ;   236,23 ;     
