Messstelle:                ;Inzing, Bl 6
HZB-Nummer:                ;334367
HD-Nummer:                 ;
DBMS-Nummer:               ;7002114
Fremdnummer:               ;GW70319016
PorenGW-Gebiet:            ;019 Oberinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;05.01.2018
 Geländehöhe:              ;597,57
 Messpunkthöhe:            ;598,52
 Sohllage:                 ;592,52
 T-Messtiefe u.GOK:        ;5,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1987               ;11 12 49                 ;47 16 35
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.12.1989 23:59:55   ;   594,83 ;     
02.01.1990 07:01:00   ;   594,82 ;     
01.01.1991 00:00:05   ;   594,85 ;     
06.01.1992 07:01:00   ;   594,81 ;     
04.01.1993 07:01:00   ;   594,92 ;     
27.12.1994 07:01:00   ;   594,91 ;     
31.12.1995 23:59:55   ;   594,85 ;     
18.03.1996 07:01:00   ;   594,78 ;     
29.12.1997 07:01:00   ;   594,81 ;     
12.01.1998 07:01:00   ;   594,82 ;     
04.01.1999 07:01:00   ;   594,84 ;     
10.01.2000 09:40:00   ;   594,92 ;     
15.01.2001 07:01:00   ;   594,94 ;     
28.01.2002 10:35:00   ;   594,83 ;     
29.12.2003 15:50:00   ;   594,87 ;     
27.12.2004 16:05:00   ;   594,81 ;     
10.01.2005 16:25:00   ;   594,81 ;     
11.12.2006 09:35:00   ;   594,75 ;     
08.01.2007 09:40:00   ;   594,74 ;     
02.01.2008 10:15:00   ;   594,72 ;     
26.01.2009 16:10:00   ;   594,87 ;     
22.02.2010 15:35:00   ;   594,79 ;     
10.01.2011 16:20:00   ;   594,82 ;     
03.01.2012 09:30:00   ;   594,84 ;     
08.04.2013 08:25:00   ;   594,87 ;     
10.03.2014 10:10:00   ;   594,85 ;     
31.12.2015 09:00:00   ;   594,72 ;     
01.01.2016 14:00:00   ;   594,71 ;     
06.03.2017 01:00:00   ;   594,71 ;     
27.03.2018 09:00:00   ;   594,78 ;     
10.02.2019 19:00:00   ;   594,84 ;     
06.01.2020 14:00:00   ;   594,90 ;     
29.12.2021 11:00:00   ;   594,73 ;     
