Messstelle:                ;Federaun, Bl   3
HZB-Nummer:                ;309765
HD-Nummer:                 ;
DBMS-Nummer:               ;2002021
PorenGW-Gebiet:            ;425 Unteres Gailtal
Grundwasserkörper:         ;Gailtal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Kärntner Elektrizitätswerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.05.2021
 Geländehöhe:              ;504,88
 Messpunkthöhe:            ;505,77
 Sohllage:                 ;497,82
 T-Messtiefe u.GOK:        ;5,61
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  22.07.1963               ;13 48 35                 ;46 34 11
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
24.01.1966 07:01:00   ;   501,27 ;     
31.12.1967 23:59:55   ;   501,40 ;     
19.02.1968 07:01:00   ;   501,28 ;     
10.11.1969 07:01:00   ;   501,60 ;     
19.10.1970 07:01:00   ;   501,63 ;     
13.09.1971 07:01:00   ;   501,38 ;     
31.01.1972 07:01:00   ;   501,47 ;     
05.03.1973 07:01:00   ;   501,49 ;     
30.12.1974 07:01:00   ;   501,57 ;     
03.03.1975 07:01:00   ;   501,43 ;     
23.02.1976 07:01:00   ;   501,41 ;     
27.12.1977 07:01:00   ;   501,34 ;     
09.01.1978 07:01:00   ;   501,32 ;     
22.01.1979 07:01:00   ;   501,46 ;     
06.10.1980 07:01:00   ;   501,55 ;     
21.12.1981 07:01:00   ;   501,46 ;     
01.03.1982 07:01:00   ;   501,39 ;     
29.08.1983 07:01:00   ;   501,35 ;     
05.03.1984 07:01:00   ;   501,38 ;     
28.10.1985 07:01:00   ;   501,34 ;     
10.02.1986 07:01:00   ;   501,34 ;     
02.02.1987 07:01:00   ;   501,25 ;     
31.12.1988 23:59:55   ;   501,37 ;     
20.02.1989 07:01:00   ;   501,24 ;     
12.03.1990 07:01:00   ;   501,35 ;     
18.02.1991 07:01:00   ;   501,45 ;     
24.02.1992 07:01:00   ;   501,41 ;     
05.07.1993 07:01:00   ;   501,34 ;     
26.12.1994 07:01:00   ;   501,39 ;     
27.11.1995 07:01:00   ;   501,27 ;     
11.03.1996 07:01:00   ;   501,20 ;     
02.11.1997 07:30:00   ;   500,98 ;     
30.03.1998 07:30:00   ;   501,06 ;     
01.02.1999 07:30:00   ;   500,89 ;     
28.02.2000 07:30:00   ;   501,10 ;     
31.12.2001 23:59:55   ;   500,90 ;     
21.01.2002 07:30:00   ;   500,85 ;     
18.08.2003 07:30:00   ;   500,94 ;     
23.02.2004 07:30:00   ;   500,99 ;     
07.03.2005 07:30:00   ;   500,86 ;     
13.02.2006 07:30:00   ;   500,78 ;     
15.01.2007 07:30:00   ;   500,91 ;     
19.05.2008 07:30:00   ;   500,89 ;     
31.08.2009 07:30:00   ;   500,97 ;     
26.07.2010 07:30:00   ;   500,96 ;     
26.12.2011 07:30:00   ;   500,88 ;     
13.02.2012 07:30:00   ;   500,76 ;     
19.08.2013 07:30:00   ;   500,81 ;     
03.11.2014 07:30:00   ;   500,96 ;     
31.12.2015 23:59:55   ;   500,81 ;     
04.01.2016 07:30:00   ;   500,80 ;     
30.01.2017 07:30:00   ;   500,81 ;     
22.10.2018 12:00:00   ;   500,77 ;     
28.10.2019 15:15:00   ;   500,77 ;     
24.02.2020 17:52:00   ;   500,88 ;     
01.11.2021 09:00:00   ;   500,73 ;     
