Messstelle:                ;St. Stefan, Bl  2614
HZB-Nummer:                ;329987
HD-Nummer:                 ;uw2614
DBMS-Nummer:               ;6002651
PorenGW-Gebiet:            ;364 Mittleres Murtal
Grundwasserkörper:         ;Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Wasserwirtschaftliche Rahmenplanung STMK
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1971
 Geländehöhe:              ;578,88
 Messpunkthöhe:            ;579,58
 Sohllage:                 ;556,58
 T-Messtiefe u.GOK:        ;6,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;14 58 29                 ;47 19 05
  01.01.1971               ;14 58 29                 ;47 19 05
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.03.1986 07:01:00   ;   574,58 ;     
16.01.1987 07:01:00   ;   574,54 ;     
11.03.1988 07:01:00   ;   574,62 ;     
28.01.1989 07:01:00   ;   574,61 ;     
10.01.1990 07:01:00   ;   574,67 ;     
10.02.1991 07:01:00   ;   574,61 ;     
03.02.1992 07:01:00   ;   574,72 ;     
14.03.1993 07:01:00   ;   574,67 ;     
19.02.1994 07:01:00   ;   574,74 ;     
31.12.1995 23:59:55   ;   574,64 ;     
11.03.1996 07:01:00   ;   574,55 ;     
19.02.1997 12:00:00   ;   574,71 ;     
07.02.1998 12:00:00   ;   574,59 ;     
15.02.1999 12:00:00   ;   574,65 ;     
27.01.2000 12:00:00   ;   574,65 ;     
31.12.2001 23:59:55   ;   574,56 ;     
17.01.2002 20:35:05   ;   574,47 ;     
27.08.2003 09:25:40   ;   574,64 ;     
02.02.2004 16:01:55   ;   574,58 ;     
10.02.2005 23:56:45   ;   574,58 ;     
15.03.2006 23:32:50   ;   574,61 ;     
19.01.2007 10:43:55   ;   574,71 ;     
18.02.2008 12:00:00   ;   574,63 ;     
27.02.2009 14:00:00   ;   574,66 ;     
16.03.2010 02:00:00   ;   574,65 ;     
31.12.2011 14:00:00   ;   574,63 ;     
07.02.2012 18:00:00   ;   574,53 ;     
19.08.2013 12:00:00   ;   574,75 ;     
31.01.2014 06:00:00   ;   574,82 ;     
30.12.2015 16:00:00   ;   574,65 ;     
22.01.2016 22:00:00   ;   574,57 ;     
29.01.2017 00:00:00   ;   574,60 ;     
01.03.2018 06:00:00   ;   574,65 ;     
31.01.2019 16:00:00   ;   574,69 ;     
31.01.2020 14:00:00   ;   574,77 ;     
24.12.2021 10:00:00   ;   574,59 ;     
