Messstelle:                ;Landshaag, Br 2155.003
HZB-Nummer:                ;306605
HD-Nummer:                 ;2155.003
DBMS-Nummer:               ;4002003
Fremdnummer:               ;A 4a
PorenGW-Gebiet:            ;095 Nördliches Eferdinger Becken
Grundwasserkörper:         ;Eferdinger Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.10.1965
 Geländehöhe:              ;270,21
 Messpunkthöhe:            ;270,51
 Sohllage:                 ;259,41
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 03 00                 ;48 21 28
  01.01.2003               ;14 03 02                 ;48 21 29
  06.10.1965               ;14 03 02                 ;48 21 29
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1976 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
20.07.1976 07:01:00   ;   261,92 ;     
21.12.1977 07:01:00   ;   261,76 ;     
28.12.1978 07:01:00   ;   261,59 ;     
30.01.1979 07:01:00   ;   261,58 ;     
10.12.1980 07:01:00   ;   261,75 ;     
01.01.1981 00:00:05   ;   261,83 ;     
31.12.1982 23:59:55   ;   261,71 ;     
31.12.1983 23:59:55   ;   261,55 ;     
03.01.1984 07:01:00   ;   261,55 ;     
22.01.1985 07:01:00   ;   261,54 ;     
30.12.1986 07:01:00   ;   261,44 ;     
01.01.1987 00:00:05   ;   261,51 ;     
01.01.1988 00:00:05   ;   261,68 ;     
12.12.1989 07:01:00   ;   261,66 ;     
31.12.1990 07:01:00   ;   261,63 ;     
17.12.1991 07:01:00   ;   261,47 ;     
10.03.1992 07:01:00   ;   261,51 ;     
14.12.1993 07:01:00   ;   261,67 ;     
27.12.1994 07:01:00   ;   261,49 ;     
10.01.1995 07:01:00   ;   261,48 ;     
02.04.1996 07:01:00   ;   261,51 ;     
10.12.1997 07:01:00   ;   261,52 ;     
17.02.1998 07:01:00   ;   261,55 ;     
26.12.1999 07:01:00   ;   261,30 ;     
29.01.2000 07:01:00   ;   261,24 ;     
05.02.2001 07:01:00   ;   261,43 ;     
01.01.2002 00:00:05   ;   261,64 ;     
31.12.2003 23:59:55   ;   261,51 ;     
12.01.2004 07:01:00   ;   261,48 ;     
31.12.2005 23:59:55   ;   261,40 ;     
07.02.2006 07:01:00   ;   261,35 ;     
05.11.2007 07:01:00   ;   261,49 ;     
31.12.2008 23:59:55   ;   261,42 ;     
09.02.2009 07:01:00   ;   261,30 ;     
01.02.2010 07:01:00   ;   261,30 ;     
23.05.2011 07:01:00   ;   261,39 ;     
17.12.2012 07:01:00   ;   261,34 ;     
01.01.2013 00:00:05   ;   261,39 ;     
17.03.2014 07:01:00   ;   261,68 ;     
31.12.2015 23:59:55   ;   261,63 ;     
04.01.2016 07:01:00   ;   261,62 ;     
30.01.2017 07:01:00   ;   261,61 ;     
26.11.2018 07:01:00   ;   261,51 ;     
16.12.2019 07:01:00   ;   261,44 ;     
27.01.2020 07:01:00   ;   261,41 ;     
25.01.2021 07:01:00   ;   261,39 ;     
01.01.2022 00:00:05   ;   261,51 ;     
