
Messstelle:                ;Pfunds-Birkach, Bl 8 (014)
HZB-Nummer:                ;342477
HD-Nummer:                 ;
DBMS-Nummer:               ;7004295
Fremdnummer:               ;GW70617020
PorenGW-Gebiet:            ;024 Oberes Gericht
Grundwasserkörper:         ;Gruppe Zentralzone [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;09.09.1982
 Geländehöhe:              ;946,82
 Messpunkthöhe:            ;947,82
 Sohllage:                 ;936,82
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  09.09.1982               ;10 33 47                 ;46 58 51
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2021 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.01.1983 14:15:00   ;   941,78 ;     
11.04.1984 09:34:00   ;   941,59 ;     
27.12.1988 18:15:00   ;   940,93 ;     
31.12.1989 23:00:00   ;   940,69 ;     
01.01.1990 13:15:00   ;   940,67 ;     
08.05.1991 03:30:00   ;   940,10 ;     
02.01.1992 19:00:00   ;   940,50 ;     
04.01.1993 05:45:00   ;   940,42 ;     
27.12.1994 07:30:00   ;   940,47 ;     
31.12.1995 18:15:00   ;   940,32 ;     
15.04.1996 07:15:00   ;   940,20 ;     
02.03.1997 16:45:00   ;   940,21 ;     
05.01.1998 08:30:00   ;   940,53 ;     
19.03.2001 00:30:00   ;   940,71 ;     
21.01.2002 10:15:00   ;   940,59 ;     
28.12.2003 19:45:00   ;   940,13 ;     
31.12.2004 18:30:00   ;   940,17 ;     
31.12.2005 17:45:00   ;   940,06 ;     
31.12.2006 21:00:00   ;   939,94 ;     
01.01.2007 07:00:00   ;   939,93 ;     
03.01.2008 10:00:00   ;   940,12 ;     
09.04.2010 19:00:00   ;   940,48 ;     
27.12.2011 10:00:00   ;   940,45 ;     
09.01.2012 07:00:00   ;   940,35 ;     
10.04.2013 05:30:00   ;   940,37 ;     
04.01.2014 06:30:00   ;   940,39 ;     
31.12.2015 01:00:00   ;   940,15 ;     
06.01.2016 19:30:00   ;   940,13 ;     
05.03.2017 19:00:00   ;   940,29 ;     
27.03.2018 21:30:00   ;   940,12 ;     
02.01.2019 11:00:00   ;   940,11 ;     
