Messstelle:                ;Seibersdorf, Bl 11
HZB-Nummer:                ;301572
HD-Nummer:                 ;
DBMS-Nummer:               ;3002119
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Studiengesellschaft für Atomenergie Seibersdorf
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1987
 Geländehöhe:              ;179,31
 Messpunkthöhe:            ;180,11
 Sohllage:                 ;175,54
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 30 52                 ;47 59 52
  01.01.2009               ;16 30 52                 ;47 59 52
  07.06.1960               ;16 30 50                 ;47 59 50
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1960 bis -> FG10 kommuniziert stark mit nahegelegenem Oberflächengewässer
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
02.10.1961 07:01:00   ;   177,77 ;     
03.09.1962 07:01:00   ;   177,70 ;     
26.08.1963 07:01:00   ;   177,74 ;     
05.10.1964 07:01:00   ;   177,75 ;     
11.10.1965 07:01:00   ;   177,77 ;     
27.06.1966 07:01:00   ;   177,75 ;     
31.07.1967 07:01:00   ;   177,76 ;     
15.07.1968 07:01:00   ;   177,77 ;     
18.08.1969 07:01:00   ;   177,77 ;     
29.06.1970 07:01:00   ;   177,75 ;     
09.08.1971 07:01:00   ;   177,70 ;     
07.12.1972 07:01:00   ;   177,64 ;     
20.09.1973 07:01:00   ;   177,54 ;     
09.09.1974 07:01:00   ;   177,54 ;     
16.06.1975 07:01:00   ;   177,67 ;     
28.06.1976 07:01:00   ;   177,65 ;     
10.10.1977 07:01:00   ;   177,53 ;     
11.09.1978 07:01:00   ;   177,72 ;     
02.07.1979 07:01:00   ;   177,79 ;     
14.07.1980 07:01:00   ;   177,75 ;     
06.07.1981 07:01:00   ;   177,69 ;     
12.07.1982 07:01:00   ;   177,72 ;     
13.06.1983 07:01:00   ;   177,72 ;     
16.07.1984 07:01:00   ;   177,73 ;     
11.07.1985 07:01:00   ;   177,80 ;     
24.02.1986 07:01:00   ;   177,78 ;     
23.11.1987 07:01:00   ;   177,75 ;     
01.08.1988 07:01:00   ;   177,68 ;     
26.12.1989 07:01:00   ;   177,79 ;     
03.09.1990 07:01:00   ;   177,69 ;     
01.07.1991 07:01:00   ;   177,79 ;     
29.06.1992 07:01:00   ;   177,73 ;     
01.06.1993 07:01:00   ;   177,73 ;     
08.08.1994 07:01:00   ;   177,70 ;     
03.07.1995 07:01:00   ;   177,74 ;     
06.05.1996 07:01:00   ;   177,88 ;     
20.01.1997 07:01:00   ;   177,92 ;     
22.06.1998 07:01:00   ;   177,83 ;     
02.08.1999 07:01:00   ;   177,76 ;     
29.06.2000 07:01:00   ;   177,66 ;     
16.07.2001 07:01:00   ;   177,69 ;     
11.07.2002 07:01:00   ;   177,65 ;     
28.08.2003 07:01:00   ;   177,70 ;     
19.08.2004 07:01:00   ;   177,76 ;     
07.07.2005 07:01:00   ;   177,75 ;     
31.07.2006 07:01:00   ;   177,80 ;     
06.08.2007 07:01:00   ;   177,70 ;     
02.06.2008 07:01:00   ;   177,83 ;     
15.06.2009 07:01:00   ;   177,75 ;     
27.12.2010 07:01:00   ;   177,82 ;     
14.06.2011 07:01:00   ;   177,73 ;     
23.07.2012 07:01:00   ;   177,70 ;     
21.05.2013 07:01:00   ;   177,81 ;     
05.05.2014 07:01:00   ;   177,84 ;     
13.08.2015 07:01:00   ;   177,75 ;     
26.09.2016 07:01:00   ;   177,89 ;     
10.08.2017 07:01:00   ;   177,79 ;     
30.08.2018 07:01:00   ;   177,71 ;     
25.07.2019 07:01:00   ;   177,80 ;     
22.05.2020 07:01:00   ;   177,78 ;     
08.07.2021 07:01:00   ;   177,75 ;     
