Messstelle:                ;Mitterndorf a.d.F., Bl 28
HZB-Nummer:                ;300822
HD-Nummer:                 ;
DBMS-Nummer:               ;11002022
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;Magistratsabteilung 31
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
Höhenangaben [m ü.A.]:     ;gültig seit: ;04.02.2010
 Geländehöhe:              ;185,60
 Messpunkthöhe:            ;186,75
 Sohllage:                 ;180,76
 T-Messtiefe u.GOK:        ;2,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  31.10.1961               ;16 28 29                 ;47 59 35
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2004 bis -> FG05 durch Entnahme zeitweise beeinflusst
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2002 durch Pumpbetrieb vom 28. 10. - 4. 11. beeinflusst
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
13.08.1962 07:01:00   ;   183,78 ;     
27.10.1963 07:01:00   ;   183,68 ;     
26.01.1964 07:01:00   ;   183,71 ;     
05.12.1965 07:01:00   ;   183,94 ;     
04.07.1966 07:01:00   ;   183,78 ;     
04.09.1967 07:01:00   ;   183,90 ;     
08.07.1968 07:01:00   ;   183,76 ;     
02.06.1969 07:01:00   ;   183,85 ;     
13.07.1970 07:01:00   ;   183,83 ;     
23.08.1971 07:01:00   ;   183,72 ;     
07.02.1972 07:01:00   ;   183,86 ;     
23.08.1973 07:01:00   ;   183,77 ;     
23.06.1974 07:01:00   ;   183,74 ;     
03.03.1975 07:01:00   ;   183,81 ;     
19.07.1976 07:01:00   ;   183,71 ;     
04.07.1977 07:01:00   ;   183,77 ;     
07.09.1978 07:01:00   ;   183,73 ;     
11.06.1979 07:01:00   ;   183,77 ;     
31.08.1980 07:01:00   ;   183,58 ;     
06.07.1981 07:01:00   ;   183,47 ;     
15.07.1982 07:01:00   ;   183,81 ;     
25.08.1983 07:01:00   ;   183,67 ;     
26.07.1984 07:01:00   ;   183,78 ;     
04.02.1985 07:01:00   ;   183,82 ;     
18.08.1986 07:01:00   ;   183,82 ;     
23.07.1987 07:01:00   ;   183,83 ;     
01.08.1988 07:01:00   ;   183,71 ;     
20.07.1989 07:01:00   ;   183,93 ;     
30.08.1990 07:01:00   ;   183,70 ;     
07.02.1991 07:01:00   ;   183,87 ;     
24.08.1992 07:01:00   ;   183,69 ;     
15.07.1993 07:01:00   ;   183,76 ;     
15.08.1994 07:01:00   ;   183,67 ;     
07.08.1995 07:01:00   ;   183,75 ;     
12.08.1996 07:01:00   ;   183,96 ;     
03.07.1997 07:01:00   ;   183,97 ;     
13.08.1998 07:01:00   ;   183,71 ;     
05.07.1999 07:01:00   ;   183,89 ;     
03.07.2000 07:01:00   ;   183,73 ;     
09.07.2001 07:01:00   ;   183,74 ;     
11.07.2002 07:01:00   ;   183,79 ;     
11.08.2003 07:01:00   ;   183,77 ;     
19.08.2004 07:01:00   ;   183,85 ;     
30.06.2005 07:01:00   ;   183,78 ;     
31.07.2006 07:01:00   ;   183,78 ;     
23.07.2007 07:01:00   ;   183,69 ;     
01.06.2008 18:00:00   ;   183,83 ;     
18.06.2009 07:01:00   ;   183,90 ;     
15.07.2010 22:00:00   ;   183,80 ;     
19.07.2011 22:00:00   ;   183,79 ;     
03.07.2012 20:00:00   ;   183,63 ;     
09.08.2013 00:00:00   ;   183,68 ;     
01.07.2014 02:00:00   ;   183,77 ;     
15.08.2015 00:00:00   ;   183,59 ;     
30.09.2016 22:00:00   ;   183,83 ;     
04.08.2017 17:00:00   ;   183,67 ;     
23.08.2018 20:00:00   ;   183,70 ;     
26.07.2019 15:00:00   ;   183,69 ;     
02.08.2020 18:00:00   ;   183,69 ;     
08.07.2021 03:00:00   ;   183,57 ;     
