Messstelle:                ;Moosbrunn-M I, Bl 40
HZB-Nummer:                ;317362
HD-Nummer:                 ;
DBMS-Nummer:               ;11002057
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;Magistratsabteilung 31
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1990
 Geländehöhe:              ;187,38
 Messpunkthöhe:            ;188,38
 Sohllage:                 ;181,95
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  16.04.1962               ;16 27 19                 ;47 59 43
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2004 bis -> FG05 durch Entnahme zeitweise beeinflusst
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2002 durch Pumpbetrieb vom 28. 10. - 4. 11. beeinflusst
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
13.07.1970 07:01:00   ;   185,73 ;     
23.08.1971 07:01:00   ;   185,65 ;     
10.07.1972 07:01:00   ;   185,78 ;     
20.08.1973 07:01:00   ;   185,70 ;     
06.06.1974 07:01:00   ;   185,68 ;     
03.03.1975 07:01:00   ;   185,65 ;     
19.07.1976 07:01:00   ;   185,61 ;     
07.07.1977 07:01:00   ;   185,68 ;     
30.01.1978 07:01:00   ;   185,48 ;     
07.06.1979 07:01:00   ;   185,67 ;     
28.08.1980 07:01:00   ;   185,22 ;     
09.07.1981 07:01:00   ;   184,99 ;     
15.07.1982 07:01:00   ;   185,69 ;     
25.08.1983 07:01:00   ;   185,41 ;     
28.06.1984 07:01:00   ;   185,70 ;     
24.01.1985 07:01:00   ;   185,81 ;     
04.08.1986 07:01:00   ;   185,70 ;     
20.07.1987 07:01:00   ;   185,72 ;     
01.08.1988 07:01:00   ;   185,63 ;     
27.04.1989 07:01:00   ;   185,88 ;     
30.08.1990 07:01:00   ;   185,60 ;     
11.07.1991 07:01:00   ;   185,74 ;     
20.08.1992 07:01:00   ;   185,46 ;     
19.07.1993 07:01:00   ;   185,68 ;     
08.08.1994 07:01:00   ;   185,60 ;     
07.08.1995 07:01:00   ;   185,65 ;     
12.08.1996 07:01:00   ;   185,90 ;     
03.07.1997 07:01:00   ;   185,89 ;     
13.08.1998 07:01:00   ;   185,47 ;     
10.06.1999 07:01:00   ;   185,70 ;     
22.06.2000 07:01:00   ;   185,55 ;     
09.07.2001 07:01:00   ;   185,65 ;     
08.07.2002 07:01:00   ;   185,49 ;     
25.09.2003 07:01:00   ;   185,40 ;     
19.08.2004 07:01:00   ;   185,77 ;     
25.07.2005 07:01:00   ;   185,42 ;     
27.07.2006 07:01:00   ;   185,48 ;     
21.06.2007 07:01:00   ;   185,39 ;     
28.04.2008 07:01:00   ;   185,71 ;     
18.06.2009 07:01:00   ;   185,66 ;     
11.02.2010 07:01:00   ;   185,71 ;     
14.04.2011 07:01:00   ;   185,58 ;     
02.07.2012 07:01:00   ;   185,40 ;     
08.08.2013 07:01:00   ;   185,47 ;     
26.06.2014 07:01:00   ;   185,57 ;     
13.08.2015 07:01:00   ;   185,33 ;     
29.09.2016 07:01:00   ;   185,61 ;     
06.07.2017 07:01:00   ;   185,43 ;     
23.08.2018 07:01:00   ;   185,46 ;     
25.07.2019 07:01:00   ;   185,46 ;     
21.05.2020 07:01:00   ;   185,45 ;     
08.07.2021 07:01:00   ;   185,28 ;     
