Messstelle:                ;Langenstein, Bl 14.3
HZB-Nummer:                ;376160
HD-Nummer:                 ;2114.003
DBMS-Nummer:               ;4002651
PorenGW-Gebiet:            ;143 Nördliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;07.01.1992
 Geländehöhe:              ;242,68
 Messpunkthöhe:            ;244,58
 Sohllage:                 ;235,71
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 29 19                 ;48 14 42
  01.01.2003               ;14 29 19                 ;48 14 47
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
28.09.1992 12:00:00   ;   240,38 ;     
06.03.1993 12:00:00   ;   240,48 ;     
24.10.1994 12:00:00   ;   240,23 ;     
22.10.1995 12:00:00   ;   240,37 ;     
11.03.1996 12:00:00   ;   240,31 ;     
03.11.1997 12:00:00   ;   240,36 ;     
02.02.1998 12:00:00   ;   240,40 ;     
02.11.1999 12:00:00   ;   240,49 ;     
31.12.2000 03:00:00   ;   240,49 ;     
02.01.2001 06:00:00   ;   240,46 ;     
26.12.2003 18:00:00   ;   240,21 ;     
09.01.2004 15:00:00   ;   240,20 ;     
28.11.2005 19:00:00   ;   240,15 ;     
30.01.2006 09:00:00   ;   240,20 ;     
01.01.2007 00:00:05   ;   240,39 ;     
16.11.2008 09:00:00   ;   240,39 ;     
05.10.2009 12:00:00   ;   240,45 ;     
22.02.2010 17:00:00   ;   240,46 ;     
24.11.2011 19:00:00   ;   240,38 ;     
20.08.2012 20:00:00   ;   240,50 ;     
23.12.2013 09:00:00   ;   240,48 ;     
13.03.2014 10:00:00   ;   240,39 ;     
12.11.2015 04:00:00   ;   240,28 ;     
01.01.2016 20:00:00   ;   240,34 ;     
23.01.2017 19:00:00   ;   240,43 ;     
21.10.2018 23:00:00   ;   240,30 ;     
27.10.2019 21:00:00   ;   240,40 ;     
27.01.2020 11:00:00   ;   240,43 ;     
27.11.2021 20:00:00   ;   240,42 ;     
