Messstelle:                ;Seibersdorf, Bl S6
HZB-Nummer:                ;313775
HD-Nummer:                 ;
DBMS-Nummer:               ;3002545
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Studiengesellschaft für Atomenergie Seibersdorf
Höhenangaben [m ü.A.]:     ;gültig seit: ;27.07.1971
 Geländehöhe:              ;177,92
 Messpunkthöhe:            ;178,62
 Sohllage:                 ;173,07
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 32 45                 ;47 58 46
  01.01.2009               ;16 32 46                 ;47 58 47
  26.07.1971               ;16 32 49                 ;47 58 49
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
09.08.1971 07:01:00   ;   176,69 ;     
31.12.1972 23:59:55   ;   176,89 ;     
17.09.1973 07:01:00   ;   176,65 ;     
08.07.1974 07:01:00   ;   176,56 ;     
30.06.1975 07:01:00   ;   176,60 ;     
19.07.1976 07:01:00   ;   176,57 ;     
05.07.1977 07:01:00   ;   176,57 ;     
26.06.1978 07:01:00   ;   176,66 ;     
11.06.1979 07:01:00   ;   176,68 ;     
14.07.1980 07:01:00   ;   176,59 ;     
15.06.1981 07:01:00   ;   176,61 ;     
21.06.1982 07:01:00   ;   176,66 ;     
16.08.1983 07:01:00   ;   176,44 ;     
26.11.1984 07:01:00   ;   176,58 ;     
15.07.1985 07:01:00   ;   176,64 ;     
29.12.1986 07:01:00   ;   176,56 ;     
20.07.1987 07:01:00   ;   176,32 ;     
07.11.1988 07:01:00   ;   176,55 ;     
10.07.1989 07:01:00   ;   176,54 ;     
06.08.1990 07:01:00   ;   176,52 ;     
17.06.1991 07:01:00   ;   176,48 ;     
04.05.1992 07:01:00   ;   176,55 ;     
14.06.1993 07:01:00   ;   176,62 ;     
27.06.1994 07:01:00   ;   176,55 ;     
07.08.1995 07:01:00   ;   176,47 ;     
17.06.1996 07:01:00   ;   176,63 ;     
20.01.1997 07:01:00   ;   176,63 ;     
09.12.1998 07:01:00   ;   176,46 ;     
08.11.1999 07:01:00   ;   176,62 ;     
13.06.2000 07:01:00   ;   176,52 ;     
25.06.2001 07:01:00   ;   176,52 ;     
10.06.2002 07:01:00   ;   176,60 ;     
30.06.2003 07:01:00   ;   176,60 ;     
03.05.2004 07:01:00   ;   176,60 ;     
27.06.2005 07:01:00   ;   176,61 ;     
02.10.2006 07:01:00   ;   176,61 ;     
23.07.2007 07:01:00   ;   176,60 ;     
02.06.2008 07:01:00   ;   176,64 ;     
15.06.2009 07:01:00   ;   176,64 ;     
15.02.2010 07:01:00   ;   176,70 ;     
06.06.2011 07:01:00   ;   176,63 ;     
04.06.2012 07:01:00   ;   176,62 ;     
05.08.2013 07:01:00   ;   176,64 ;     
03.02.2014 07:01:00   ;   176,83 ;     
06.07.2015 07:01:00   ;   176,66 ;     
27.12.2016 07:01:00   ;   176,66 ;     
07.08.2017 07:01:00   ;   176,65 ;     
20.08.2018 07:01:00   ;   176,70 ;     
12.08.2019 07:01:00   ;   176,68 ;     
31.08.2020 07:01:00   ;   176,73 ;     
13.09.2021 07:01:00   ;   176,76 ;     
