Messstelle:                ;Roith, Br 49.8
HZB-Nummer:                ;324988
HD-Nummer:                 ;49.8
DBMS-Nummer:               ;4002602
PorenGW-Gebiet:            ;082 Trattnachgebiet
Grundwasserkörper:         ;Gruppe Schlierhügelland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;25.09.2012
 Geländehöhe:              ;369,79
 Messpunkthöhe:            ;370,17
 Sohllage:                 ;361,16
 T-Messtiefe u.GOK:        ;8,37
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;13 44 45                 ;48 14 25
  01.01.2003               ;13 44 46                 ;48 14 24
  01.01.1996               ;13 44 46                 ;48 14 24
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
02.09.1996 07:01:00   ;   365,75 ;     
10.11.1997 07:01:00   ;   365,69 ;     
10.08.1998 07:01:00   ;   365,64 ;     
15.11.1999 07:01:00   ;   365,66 ;     
24.07.2000 07:01:00   ;   365,70 ;     
03.09.2001 07:01:00   ;   365,74 ;     
29.07.2002 07:01:00   ;   365,69 ;     
08.12.2003 07:01:00   ;   365,24 ;     
01.01.2004 00:00:05   ;   365,29 ;     
05.12.2005 07:01:00   ;   365,78 ;     
18.12.2006 07:01:00   ;   365,64 ;     
20.08.2007 07:01:00   ;   365,64 ;     
10.11.2008 07:01:00   ;   365,64 ;     
02.11.2009 07:01:00   ;   365,69 ;     
29.11.2010 07:01:00   ;   365,64 ;     
19.09.2011 07:01:00   ;   365,64 ;     
04.12.2012 15:00:00   ;   365,68 ;     
25.10.2013 01:00:00   ;   365,70 ;     
11.05.2014 12:00:00   ;   365,73 ;     
31.12.2015 23:59:55   ;   365,52 ;     
08.01.2016 20:00:00   ;   365,48 ;     
03.10.2017 05:00:00   ;   365,69 ;     
25.10.2018 02:00:00   ;   365,58 ;     
21.12.2019 19:00:00   ;   365,58 ;     
18.01.2020 22:00:00   ;   365,62 ;     
24.11.2021 14:00:00   ;   365,69 ;     
