Messstelle:                ;Orth a.d.D., Bl 1902.5
HZB-Nummer:                ;331041
HD-Nummer:                 ;3HD30025
DBMS-Nummer:               ;10001057
Fremdnummer:               ;1902.005
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;28.01.2014
 Geländehöhe:              ;148,28
 Messpunkthöhe:            ;150,07
 Sohllage:                 ;140,88
 T-Messtiefe u.GOK:        ;8,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.10.2021               ;16 42 35                 ;48 07 45
  01.01.2010               ;16 42 34                 ;48 07 45
  01.01.2007               ;16 42 34                 ;48 07 45
  01.01.1983               ;16 42 39                 ;48 07 45
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
28.11.1983 07:01:00   ;   144,58 ;     
31.12.1984 23:59:55   ;   144,65 ;     
24.01.1985 07:01:00   ;   144,51 ;     
18.12.1986 07:01:00   ;   144,58 ;     
07.02.1987 07:01:00   ;   144,87 ;     
14.11.1988 07:01:00   ;   144,88 ;     
14.12.1989 07:01:00   ;   144,81 ;     
14.02.1990 07:01:00   ;   144,74 ;     
19.12.1991 07:01:00   ;   144,51 ;     
19.10.1992 07:01:00   ;   144,45 ;     
06.12.1993 07:01:00   ;   144,76 ;     
11.11.1994 07:01:00   ;   144,46 ;     
24.01.1995 07:01:00   ;   144,79 ;     
17.03.1996 07:01:00   ;   144,71 ;     
29.11.1997 12:00:00   ;   144,74 ;     
12.02.1998 12:00:00   ;   144,74 ;     
02.12.1999 12:00:00   ;   144,78 ;     
31.12.2000 23:59:55   ;   144,86 ;     
08.11.2001 23:07:10   ;   144,68 ;     
22.01.2002 03:37:15   ;   144,96 ;     
30.12.2003 12:00:00   ;   144,32 ;     
08.01.2004 07:00:00   ;   144,28 ;     
03.01.2005 04:00:00   ;   144,46 ;     
16.02.2006 07:00:00   ;   144,40 ;     
02.01.2007 03:00:00   ;   144,47 ;     
18.11.2008 08:00:00   ;   144,54 ;     
10.02.2009 02:00:00   ;   144,52 ;     
18.02.2010 12:00:00   ;   144,62 ;     
05.12.2011 19:00:00   ;   144,41 ;     
16.12.2012 09:00:00   ;   144,62 ;     
27.12.2013 13:00:00   ;   144,70 ;     
16.03.2014 16:00:00   ;   144,48 ;     
21.11.2015 07:00:00   ;   144,20 ;     
06.01.2016 09:00:00   ;   144,20 ;     
01.02.2017 09:00:00   ;   144,25 ;     
03.12.2018 14:00:00   ;   143,96 ;     
18.12.2019 08:00:00   ;   144,28 ;     
31.01.2020 16:00:00   ;   144,26 ;     
23.01.2021 18:00:00   ;   144,24 ;     
