Messstelle:                ;Peigarten
HZB-Nummer:                ;209734
HD-Nummer:                 ;no607
DBMS-Nummer:               ;3001189
Gewässer:                  ;Taxenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;154,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1992              ;00457,97
   01.01.2005              ;00457,59
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1992              ;672584,00 - 417375,00
Exportzeitreihe:           ;(3001189,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1992 00:15,01.01.2022 00:00]
Werte:
28.01.1992 17:15:00;   135
05.02.1992 13:45:00;   133
13.03.1992 18:30:00;   138
30.04.1992 01:30:00;   131
19.05.1992 23:30:00;   123
30.06.1992 08:00:00;   119
29.07.1992 01:30:00;   118
13.08.1992 07:45:00;   118
01.09.1992 00:45:00;   118
03.10.1992 20:00:00;   125
06.11.1992 19:45:00;   125
29.12.1992 19:30:00;   130
02.01.1993 19:15:00;   129
24.02.1993 23:15:00;   126
09.03.1993 10:15:00;   126
30.04.1993 20:45:00;   132
21.05.1993 15:45:00;   124
26.06.1993 01:15:00;   121
09.07.1993 22:45:00;   118
22.08.1993 03:30:00;   116
21.09.1993 01:30:00;   122
19.10.1993 06:00:00;   124
04.11.1993 00:00:00;   125
02.12.1993 22:30:00;   126
18.01.1994 13:15:00;   137
25.02.1994 21:00:00;   133
01.03.1994 19:15:00;   133
08.04.1994 14:45:00;   134
31.05.1994 21:45:00;   124
29.06.1994 00:30:00;   119
04.07.1994 23:00:00;   118
05.08.1994 09:15:00;   116
01.09.1994 12:30:00;   118
01.10.1994 08:30:00;   120
15.11.1994 07:00:00;   120
04.12.1994 00:00:00;   120
05.01.1995 00:30:00;   122
13.02.1995 20:00:00;   134
11.03.1995 13:45:00;   138
24.04.1995 18:15:00;   140
29.05.1995 14:00:00;   130
30.06.1995 22:15:00;   123
31.07.1995 23:59:55;   119
01.08.1995 12:45:00;   118
01.09.1995 00:00:00;   123
24.10.1995 19:30:00;   130
01.11.1995 12:45:00;   131
09.12.1995 17:15:00;   142
31.01.1996 19:45:00;   140
24.02.1996 01:15:00;   129
09.03.1996 03:00:00;   126
04.04.1996 06:15:00;   146
08.05.1996 12:15:00;   151
18.06.1996 07:30:00;   137
30.07.1996 21:15:00;   129
30.08.1996 23:00:00;   123
01.09.1996 06:30:00;   122
01.10.1996 21:30:00;   127
13.11.1996 20:30:00;   131
09.12.1996 18:30:00;   132
30.01.1997 15:49:05;   132
08.02.1997 09:20:10;   129
14.03.1997 14:27:25;   138
25.04.1997 18:34:45;   150
30.05.1997 19:51:10;   133
29.06.1997 12:18:55;   123
04.07.1997 20:50:30;   125
27.08.1997 22:37:05;   127
19.09.1997 19:48:45;   124
31.10.1997 01:58:55;   123
14.11.1997 00:11:50;   123
10.12.1997 15:14:00;   134
31.01.1998 23:59:55;   131
24.02.1998 19:55:25;   130
06.03.1998 19:39:15;   129
30.04.1998 21:28:55;   125
29.05.1998 08:03:50;   121
09.06.1998 21:51:10;   120
22.07.1998 19:51:40;   121
27.08.1998 18:22:25;   120
03.09.1998 05:59:15;   120
05.10.1998 05:27:35;   121
30.11.1998 23:59:55;   138
04.12.1998 13:15:20;   131
30.01.1999 23:28:00;   128
01.02.1999 09:46:55;   130
27.03.1999 15:26:20;   141
27.04.1999 11:41:10;   133
30.05.1999 18:36:30;   122
25.06.1999 22:54:40;   121
31.07.1999 14:55:55;   120
08.08.1999 13:17:30;   118
14.09.1999 14:30:30;   119
02.10.1999 02:51:55;   122
07.11.1999 21:10:35;   121
22.12.1999 06:19:20;   118
12.01.2000 00:51:00;   119
23.02.2000 09:02:10;   145
08.03.2000 13:21:00;   143
24.04.2000 18:59:40;   126
21.05.2000 05:13:10;   123
30.06.2000 12:11:25;   116
22.07.2000 14:09:15;   114
03.08.2000 01:02:15;   119
06.09.2000 18:29:50;   118
28.10.2000 20:45:25;   125
09.11.2000 09:27:25;   118
23.12.2000 08:48:05;   117
05.01.2001 20:13:15;   119
03.02.2001 04:17:15;   123
01.03.2001 00:00:00;   137
07.04.2001 14:45:55;   143
26.05.2001 19:23:35;   124
28.06.2001 02:03:35;   123
16.07.2001 09:48:35;   117
27.08.2001 21:43:35;   123
01.09.2001 00:00:00;   124
22.10.2001 19:27:05;   128
05.11.2001 23:22:05;   123
24.12.2001 04:42:05;   135
20.01.2002 01:18:50;   133
12.02.2002 20:38:00;   147
19.03.2002 13:38:00;   137
30.04.2002 23:59:55;   131
31.05.2002 16:20:15;   123
05.06.2002 17:50:15;   119
13.07.2002 20:10:15;   123
01.08.2002 16:35:15;   140
19.09.2002 15:05:40;   149
04.10.2002 06:42:20;   152
22.11.2002 19:18:15;   166
19.12.2002 15:54:45;   155
23.01.2003 16:23:20;   156
26.02.2003 19:33:20;   144
01.03.2003 03:48:20;   149
30.04.2003 09:31:20;   140
07.05.2003 17:06:20;   138
05.06.2003 20:36:20;   131
17.07.2003 14:44:50;   133
09.08.2003 03:24:50;   132
05.09.2003 05:24:50;   135
01.10.2003 20:41:10;   139
28.11.2003 23:25:25;   140
24.12.2003 03:06:00;   139
06.01.2004 07:55:20;   141
01.02.2004 05:57:10;   143
12.03.2004 11:17:10;   140
16.04.2004 01:30:50;   148
30.05.2004 22:00:15;   131
29.06.2004 18:46:10;   131
31.07.2004 22:44:40;   125
11.08.2004 19:18:10;   119
09.09.2004 08:47:00;   118
30.10.2004 23:08:45;   122
09.11.2004 13:38:45;   126
21.12.2004 14:16:30;   126
01.01.2005 00:00:00;   128
05.02.2005 04:33:10;   129
14.03.2005 05:58:10;   140
30.04.2005 23:59:55;   135
23.05.2005 10:10:05;   127
24.06.2005 18:43:00;   118
05.07.2005 05:43:00;   121
03.08.2005 09:51:15;   122
25.09.2005 03:56:40;   126
18.10.2005 12:11:40;   126
29.11.2005 06:50:35;   123
12.12.2005 07:10:35;   122
09.01.2006 09:30:35;   125
07.02.2006 20:21:40;   129
01.03.2006 02:26:40;   133
26.04.2006 12:50:10;   152
26.05.2006 20:45:10;   131
27.06.2006 07:42:05;   128
31.07.2006 23:59:55;   127
01.08.2006 01:19:40;   127
26.09.2006 08:52:50;   128
17.10.2006 12:03:10;   123
02.11.2006 12:33:10;   124
27.12.2006 10:18:10;   123
01.01.2007 00:00:00;   126
24.02.2007 09:56:20;   138
18.03.2007 09:25:25;   139
30.04.2007 23:59:55;   120
29.05.2007 01:53:40;   117
29.06.2007 17:58:40;   108
17.07.2007 00:01:55;   107
26.08.2007 00:01:55;   108
01.09.2007 09:41:55;   110
16.10.2007 06:06:55;   117
04.11.2007 01:17:35;   121
31.12.2007 23:59:55;   131
16.01.2008 12:59:10;   129
28.02.2008 20:32:30;   130
31.03.2008 23:57:30;   134
19.04.2008 19:00:55;   123
31.05.2008 23:05:15;   115
30.06.2008 08:30:10;   108
03.07.2008 05:27:10;   108
12.08.2008 07:07:00;   108
09.09.2008 07:25:40;   107
30.10.2008 12:15:40;   111
07.11.2008 10:35:00;   111
11.12.2008 16:05:00;   120
14.01.2009 20:52:05;   118
01.02.2009 14:10:00;   118
23.03.2009 03:45:00;   142
29.04.2009 14:10:00;   113
21.05.2009 10:34:00;   104
15.06.2009 02:30:00;    98
31.07.2009 23:54:10;   111
16.08.2009 16:49:10;   103
30.09.2009 00:06:45;   101
03.10.2009 16:26:45;   102
01.11.2009 10:38:20;   105
06.12.2009 10:40:00;   132
27.01.2010 12:00:00;   132
19.02.2010 03:25:00;   132
10.03.2010 10:35:00;   140
30.04.2010 12:45:00;   139
24.05.2010 16:15:00;   133
28.06.2010 15:15:00;   128
15.07.2010 13:10:00;   124
02.08.2010 18:55:00;   133
24.09.2010 09:30:00;   132
30.10.2010 19:05:00;   131
15.11.2010 12:30:00;   131
01.12.2010 17:55:00;   129
10.01.2011 14:05:00;   138
24.02.2011 07:30:00;   131
07.03.2011 08:20:00;   130
30.04.2011 20:20:00;   129
27.05.2011 09:45:00;   126
30.06.2011 13:05:00;   124
01.07.2011 22:30:00;   124
23.08.2011 14:35:00;   123
03.09.2011 23:45:00;   123
05.10.2011 11:45:00;   128
24.11.2011 01:25:00;   126
20.12.2011 17:05:00;   125
01.01.2012 07:15:00;   129
21.02.2012 10:50:00;   133
29.03.2012 20:20:00;   135
30.04.2012 02:15:00;   129
31.05.2012 22:00:00;   123
19.06.2012 11:50:00;   125
25.07.2012 06:02:55;   124
22.08.2012 12:34:35;   123
12.09.2012 00:25:00;   125
07.10.2012 00:20:00;   125
01.11.2012 07:53:40;   126
09.12.2012 02:10:00;   125
25.01.2013 23:10:00;   138
22.02.2013 09:50:00;   142
24.03.2013 09:00:00;   140
30.04.2013 22:04:10;   137
02.05.2013 04:50:15;   137
24.06.2013 04:30:50;   138
27.07.2013 21:35:00;   126
19.08.2013 09:10:00;   125
10.09.2013 20:55:00;   125
29.10.2013 13:35:00;   127
