Messstelle:                ;Plosdorf
HZB-Nummer:                ;215541
HD-Nummer:                 ;no301
DBMS-Nummer:               ;3003186
Gewässer:                  ;Michelbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;98
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   19.10.2016              ;00238,45
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   19.10.2016              ;707385,00 - 338540,00
Exportzeitreihe:           ;(3003186,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[19.10.2016 07:30,01.01.2022 00:00]
Werte:
28.10.2016 21:30:00;   172
02.11.2016 12:00:00;   173
23.12.2016 16:55:00;   170
19.01.2017 03:20:00;   164
01.02.2017 04:10:00;   166
15.03.2017 07:45:00;   170
07.04.2017 10:40:00;   167
30.05.2017 21:35:00;   167
22.06.2017 14:25:00;   159
19.07.2017 14:35:00;   159
31.08.2017 21:15:00;   155
01.09.2017 02:50:00;   156
20.10.2017 10:20:00;   165
20.11.2017 08:50:00;   170
19.12.2017 08:40:00;   171
16.01.2018 11:05:00;   183
26.02.2018 03:05:00;   171
01.03.2018 07:30:00;   174
30.04.2018 23:50:00;   170
31.05.2018 23:10:00;   165
22.06.2018 03:45:00;   159
21.07.2018 07:45:00;   161
21.08.2018 23:30:00;   152
21.09.2018 04:50:00;   159
15.10.2018 02:05:00;   154
05.11.2018 02:25:00;   154
01.12.2018 04:50:00;   168
26.01.2019 05:00:00;   179
01.02.2019 13:35:00;   180
14.03.2019 08:10:00;   179
28.04.2019 03:10:00;   166
03.05.2019 02:55:00;   176
30.06.2019 03:40:00;   166
27.07.2019 06:35:00;   158
29.08.2019 04:15:00;   156
22.09.2019 07:35:00;   153
01.10.2019 05:10:00;   153
29.11.2019 15:00:00;   157
12.12.2019 07:45:00;   156
07.01.2020 10:25:00;   156
29.02.2020 17:10:00;   168
31.03.2020 04:40:00;   164
30.04.2020 06:30:00;   158
22.05.2020 05:15:00;   155
09.06.2020 07:45:00;   169
16.07.2020 06:15:00;   165
02.08.2020 15:40:00;   169
25.09.2020 03:20:00;   176
10.10.2020 02:10:00;   177
30.11.2020 22:50:00;   175
09.12.2020 06:05:00;   172
11.01.2021 10:15:00;   167
15.02.2021 01:05:00;   175
15.03.2021 08:55:00;   179
12.04.2021 13:45:00;   178
31.05.2021 23:59:55;   170
30.06.2021 21:30:00;   157
17.07.2021 03:55:00;   154
16.08.2021 11:50:00;   165
30.09.2021 23:20:00;   162
06.10.2021 07:50:00;   160
19.11.2021 12:05:00;   162
01.12.2021 00:00:00;   170
