Messstelle:                ;Zell am Ziller-Zellbergeben
HZB-Nummer:                ;201756
HD-Nummer:                 ;
DBMS-Nummer:               ;7001068
Gewässer:                  ;Ziller
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;696,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1896              ;00561,60
   06.02.1940              ;00560,76
   19.04.1972              ;00569,80
   01.01.1986              ;00569,81
   21.02.2008              ;00569,82
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   19.04.1972              ;340009,64 - 233894,18
Exportzeitreihe:           ;(7001068,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1959 00:00,01.01.2022 00:00]
Werte:
25.01.1959 00:00:00;   105
17.02.1959 00:00:00;   103
01.03.1959 00:00:00;   108
02.04.1959 00:00:00;   115
04.05.1959 00:00:00;   131
02.06.1959 00:00:00;   148
28.07.1959 12:00:00;   176
31.08.1959 12:00:00;   145
30.09.1959 12:00:00;   127
24.10.1959 12:00:00;   107
10.11.1959 12:00:00;   106
18.12.1959 00:00:00;   106
01.01.1960 00:00:00; Lücke
01.02.1960 00:00:00; Lücke
01.03.1960 00:00:00; Lücke
01.04.1960 00:00:00; Lücke
01.05.1960 00:00:00; Lücke
01.06.1960 00:00:00; Lücke
01.07.1960 00:00:00; Lücke
01.08.1960 00:00:00; Lücke
01.09.1960 00:00:00; Lücke
01.10.1960 00:00:00; Lücke
01.11.1960 00:00:00; Lücke
31.12.1960 23:59:55;   111
23.01.1961 12:00:00;    92
10.02.1961 12:00:00;    91
05.03.1961 12:00:00;   104
01.04.1961 12:00:00;   114
03.05.1961 12:00:00;   142
05.06.1961 12:00:00;   165
31.07.1961 12:00:00;   164
31.08.1961 12:00:00;   156
30.09.1961 12:00:00;   139
17.10.1961 12:00:00;   122
24.11.1961 00:00:00;   108
09.12.1961 12:00:00;   104
21.01.1962 00:00:00;   104
25.02.1962 00:00:00;   100
01.03.1962 00:00:00;   100
13.04.1962 00:00:00;   107
03.05.1962 12:00:00;   141
09.06.1962 12:00:00;   152
06.07.1962 12:00:00;   162
15.08.1962 12:00:00;   164
23.09.1962 12:00:00;   136
29.10.1962 12:00:00;   114
17.11.1962 12:00:00;   116
24.12.1962 12:00:00;    89
23.01.1963 12:00:00;    95
02.02.1963 00:00:00;    94
01.03.1963 00:00:00;    94
02.04.1963 00:00:00;   101
07.05.1963 12:00:00;   130
18.06.1963 12:00:00;   159
30.07.1963 12:00:00;   158
01.08.1963 12:00:00;   161
30.09.1963 12:00:00;   135
29.10.1963 12:00:00;   118
03.11.1963 12:00:00;   116
23.12.1963 00:00:00;   106
31.01.1964 00:00:00;    91
04.02.1964 12:00:00;    89
02.03.1964 00:00:00;    95
01.04.1964 12:00:00;   103
03.05.1964 12:00:00;   135
10.06.1964 12:00:00;   160
07.07.1964 12:00:00;   153
21.08.1964 12:00:00;   149
20.09.1964 12:00:00;   132
08.10.1964 12:00:00;   126
14.11.1964 00:00:00;   136
30.12.1964 12:00:00;   114
24.01.1965 00:00:00;   108
28.02.1965 12:00:00;   101
10.03.1965 12:00:00;   101
21.04.1965 12:00:00;   112
02.05.1965 12:00:00;   118
02.06.1965 12:00:00;   171
11.07.1965 12:00:00;   172
31.08.1965 12:00:00;   158
25.09.1965 00:00:00;   139
24.10.1965 12:00:00;   122
29.11.1965 00:00:00;   114
27.12.1965 00:00:00;   110
22.01.1966 12:00:00;    99
01.02.1966 00:00:00;   103
16.03.1966 12:00:00;   104
03.04.1966 12:00:00;   104
11.05.1966 12:00:00;   140
03.06.1966 12:00:00;   148
02.07.1966 12:00:00;   166
30.08.1966 12:00:00;   163
29.09.1966 12:00:00;   136
29.10.1966 12:00:00;   119
26.11.1966 00:00:00;   118
26.12.1966 12:00:00;   106
01.01.1967 00:00:00; Lücke
01.02.1967 00:00:00; Lücke
01.03.1967 00:00:00; Lücke
01.04.1967 00:00:00; Lücke
