Messstelle:                ;St. Andrä-See
HZB-Nummer:                ;213272
HD-Nummer:                 ;00317
DBMS-Nummer:               ;2001082
Gewässer:                  ;Ossiacher See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;165,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1896              ;00501,43
   08.07.1939              ;00500,57
   01.01.1955              ;00500,29
   01.01.1967              ;00500,24
   25.11.1969              ;00500,33
   01.01.1971              ;00500,26
   01.01.1973              ;00500,29
   28.11.2019              ;00500,25
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1923              ;493655,00 - 168229,00
   01.01.1969              ;493653,00 - 168228,00
Exportzeitreihe:           ;(2001082,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1896 07:00,01.01.2022 00:00]
Werte:
01.01.1896 07:00:00;    -4
01.02.1896 00:00:00;    -4
01.03.1896 00:00:00;    -4
29.04.1896 07:00:00;    -7
01.05.1896 00:00:00;    -7
08.06.1896 07:00:00;    -1
31.07.1896 07:00:00;     2
01.08.1896 00:00:00;     2
20.09.1896 07:00:00;    28
11.10.1896 07:00:00;    24
30.11.1896 23:59:55;    32
19.12.1896 07:00:00;    25
01.01.1897 00:00:00;    28
01.02.1897 00:00:00;    28
26.03.1897 07:00:00;     8
29.04.1897 07:00:00;     3
01.05.1897 00:00:00;     3
30.06.1897 23:59:55;    34
19.07.1897 07:00:00;    12
08.08.1897 07:00:00;    18
13.09.1897 07:00:00;    15
31.10.1897 07:00:00;    12
26.11.1897 07:00:00;     2
01.12.1897 00:00:00;     2
01.01.1898 00:00:00;     5
01.02.1898 00:00:00;     5
01.03.1898 00:00:00;     5
30.04.1898 07:00:00;    33
27.05.1898 07:00:00;    17
05.06.1898 07:00:00;    15
27.07.1898 07:00:00;    25
23.08.1898 07:00:00;    14
27.09.1898 07:00:00;    10
07.10.1898 07:00:00;    13
23.11.1898 07:00:00;    10
27.12.1898 07:00:00;     8
22.01.1899 07:00:00;     8
01.02.1899 00:00:00;    10
13.03.1899 07:00:00;    10
01.04.1899 00:00:00;    13
02.05.1899 07:00:00;    28
16.06.1899 07:00:00;    32
31.07.1899 07:00:00;    10
28.08.1899 07:00:00;   -11
01.09.1899 00:00:00;   -10
31.10.1899 07:00:00;     7
29.11.1899 07:00:00;    -1
08.12.1899 07:00:00;    -9
01.01.1900 00:00:00;    -9
01.02.1900 00:00:00;    -9
01.03.1900 00:00:00;    -9
01.04.1900 00:00:00;    30
13.05.1900 07:00:00;    36
01.06.1900 00:00:00; Lücke
01.07.1900 00:00:00; Lücke
01.08.1900 00:00:00; Lücke
01.09.1900 00:00:00; Lücke
14.10.1900 07:00:00;    -0
