Messstelle:                ;Scheibbs (Kardinal König Brücke)
HZB-Nummer:                ;209882
HD-Nummer:                 ;no104
DBMS-Nummer:               ;3003093
Gewässer:                  ;Große Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;330,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1897              ;00327,14
   01.01.1940              ;00326,14
   08.10.2007              ;00325,12
   18.06.2008              ;00325,25
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1897              ;663024,00 - 318947,00
   08.10.2007              ;662985,00 - 318882,00
Exportzeitreihe:           ;(3003093,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[08.10.2007 08:50,01.01.2022 00:00]
Werte:
10.10.2007 17:00:00;   166
19.11.2007 17:50:00;   180
28.12.2007 00:30:00;   168
04.01.2008 05:55:00;   168
20.02.2008 05:45:00;   168
26.03.2008 05:50:00;   180
18.04.2008 04:50:00;   182
30.05.2008 15:10:00;   162
24.06.2008 05:20:00;   154
13.07.2008 04:15:00;   152
29.08.2008 12:45:00;   153
13.09.2008 07:35:00;   144
29.10.2008 10:35:00;   156
01.11.2008 16:00:00;   150
05.12.2008 05:55:00;   165
30.01.2009 05:40:00;   159
02.02.2009 14:55:00;   159
02.03.2009 16:35:00;   183
01.04.2009 04:45:00;   205
27.05.2009 07:05:00;   171
19.06.2009 05:50:00;   166
31.07.2009 16:40:00;   171
02.08.2009 03:30:00;   173
30.09.2009 04:55:00;   165
14.10.2009 08:00:00;   161
26.11.2009 17:20:00;   160
08.12.2009 09:50:00;   161
24.01.2010 14:15:00;   157
13.02.2010 15:45:00;   157
14.03.2010 06:05:00;   163
30.04.2010 04:35:00;   177
13.05.2010 04:50:00;   169
29.06.2010 18:20:00;   181
22.07.2010 05:55:00;   167
22.08.2010 04:40:00;   172
20.09.2010 05:00:00;   166
22.10.2010 13:55:00;   157
24.11.2010 05:55:00;   163
05.12.2010 09:40:00;   162
11.01.2011 08:35:00;   167
28.02.2011 05:50:00;   165
11.03.2011 16:40:00;   163
30.04.2011 05:05:00;   162
21.05.2011 01:10:00;   150
22.06.2011 19:00:00;   152
18.07.2011 12:30:00;   158
23.08.2011 11:20:00;   159
18.09.2011 17:20:00;   146
05.10.2011 13:05:00;   153
27.11.2011 16:00:00;   139
08.12.2011 11:05:00;   150
01.01.2012 00:00:00;   163
21.02.2012 05:45:00;   162
