Messstelle:                ;Feldkirchen
HZB-Nummer:                ;213876
HD-Nummer:                 ;01852
DBMS-Nummer:               ;2002485
Gewässer:                  ;Tiebel
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;60,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2007              ;00536,85
   09.11.2017              ;00536,26
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2015              ;508185,00 - 176202,00
   09.11.2017              ;508206,00 - 176104,00
Exportzeitreihe:           ;(2002485,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[20.06.2007 14:00,01.01.2022 00:00]
Werte:
20.06.2007 20:15:00;   124
04.07.2007 10:52:30;   123
07.08.2007 15:52:30;   124
03.09.2007 07:52:30;   126
27.10.2007 19:37:30;   122
10.11.2007 16:52:30;   122
07.12.2007 17:07:30;   122
27.01.2008 10:07:30;   122
18.02.2008 18:37:30;   125
06.03.2008 08:07:30;   126
04.04.2008 18:22:30;   122
16.05.2008 18:52:30;   127
27.06.2008 12:22:30;   122
03.07.2008 13:37:30;   131
01.08.2008 14:22:30;   131
27.09.2008 00:07:30;   123
15.10.2008 15:22:30;   129
04.11.2008 16:22:30;   131
09.12.2008 08:07:30;   136
13.01.2009 11:07:30;   134
17.02.2009 14:52:30;   132
28.03.2009 00:52:30;   132
01.04.2009 08:37:30;   141
31.05.2009 03:52:30;   134
21.06.2009 11:52:30;   137
28.07.2009 15:52:30;   136
19.08.2009 16:07:30;   135
12.09.2009 17:37:30;   138
15.10.2009 13:00:00;   137
22.11.2009 18:45:00;   128
18.12.2009 11:30:00;   132
20.01.2010 16:00:00;   139
17.02.2010 14:00:00;   134
08.03.2010 09:30:00;   135
20.04.2010 09:00:00;   134
16.05.2010 10:37:30;   134
30.06.2010 15:07:30;   133
07.07.2010 15:22:30;   132
27.08.2010 17:37:30;   133
16.09.2010 16:37:30;   132
06.10.2010 19:22:30;   131
09.11.2010 07:52:30;   137
20.12.2010 11:52:30;   137
22.01.2011 17:37:30;   133
15.02.2011 15:30:00;   129
08.03.2011 15:15:00;   127
26.04.2011 18:30:00;   126
20.05.2011 19:15:00;   126
01.06.2011 15:45:00;   125
11.07.2011 12:09:25;   132
26.08.2011 14:45:00;   127
17.09.2011 11:00:00;   126
19.10.2011 15:00:00;   124
05.11.2011 09:30:00;   130
03.12.2011 11:30:00;   130
16.01.2012 08:30:00;   131
17.02.2012 18:00:00;   130
12.03.2012 17:15:00;   124
24.04.2012 17:15:00;   123
12.05.2012 10:15:00;   127
03.06.2012 15:30:00;   130
07.07.2012 15:30:00;   122
21.08.2012 16:45:00;   124
04.09.2012 08:00:00;   124
10.10.2012 12:15:00;   128
29.11.2012 11:45:00;   139
20.12.2012 01:15:00;   136
30.01.2013 11:00:00;   132
07.02.2013 12:15:00;   131
03.03.2013 15:45:00;   132
07.04.2013 11:00:00;   138
23.05.2013 22:45:00;   139
21.06.2013 15:15:00;   124
31.07.2013 13:15:00;   127
30.08.2013 07:37:05;   130
03.09.2013 18:22:05;   133
27.10.2013 14:52:05;   130
02.11.2013 02:22:05;   135
14.12.2013 18:37:05;   134
03.01.2014 20:37:05;   137
02.02.2014 16:37:05;   140
03.03.2014 14:30:00;   138
26.04.2014 14:30:00;   144
11.05.2014 17:30:00;   127
23.06.2014 17:00:00;   127
26.07.2014 14:15:00;   123
01.08.2014 21:15:00;   128
26.09.2014 18:00:00;   133
15.10.2014 13:00:00;   120
02.11.2014 17:00:00;   133
29.12.2014 08:00:00;   129
29.01.2015 15:30:00;   127
08.02.2015 22:30:00;   131
31.03.2015 10:30:00;   120
08.04.2015 08:30:00;   119
08.05.2015 22:15:00;   123
08.06.2015 18:45:00;   119
21.07.2015 22:00:00;   119
12.08.2015 09:45:00;   126
29.09.2015 08:15:00;   124
08.10.2015 10:00:00;   130
16.11.2015 12:15:00;   126
14.12.2015 12:30:00;   123
21.01.2016 10:00:00;   124
25.02.2016 19:15:00;   119
01.03.2016 15:00:00;   130
27.04.2016 15:00:00;   123
29.05.2016 03:15:00;   127
22.06.2016 17:45:00;   129
07.07.2016 10:45:00;   126
03.08.2016 09:45:00;   127
27.09.2016 16:30:00;   124
27.10.2016 14:45:00;   128
04.11.2016 18:15:00;   130
22.12.2016 12:00:00;   126
05.01.2017 10:15:00;   121
05.02.2017 13:45:00;   125
31.03.2017 14:45:00;   121
21.04.2017 14:15:00;   123
26.05.2017 22:15:00;   119
28.06.2017 10:45:00;   115
31.07.2017 12:45:00;   116
16.08.2017 14:30:00;   118
01.09.2017 19:45:00;   129
25.10.2017 13:15:00;   123
09.11.2017 11:45:00;   104
04.12.2017 12:30:00;   102
28.01.2018 13:45:00;   111
26.02.2018 11:15:00;   104
02.03.2018 11:00:00;   103
26.04.2018 08:15:00;   112
07.05.2018 05:30:00;   111
11.06.2018 17:00:00;   111
15.07.2018 14:45:00;   104
23.08.2018 10:30:00;   103
14.09.2018 10:15:00;   105
24.10.2018 22:00:00;   102
10.11.2018 16:45:00;   108
10.12.2018 07:30:00;   107
25.01.2019 11:30:00;   102
16.02.2019 14:45:00;   101
11.03.2019 14:45:00;   104
26.04.2019 13:30:00;   103
17.05.2019 15:00:00;   104
27.06.2019 23:15:00;   108
11.07.2019 22:30:00;   103
17.08.2019 05:00:00;   100
17.09.2019 11:45:00;   102
09.10.2019 13:45:00;   102
03.11.2019 14:15:00;   106
12.12.2019 11:15:00;   111
21.01.2020 10:15:00;   112
10.02.2020 16:15:00;   103
20.03.2020 16:45:00;   105
08.04.2020 07:15:00;   102
03.05.2020 18:15:00;   104
03.06.2020 07:45:00;   103
22.07.2020 21:15:00;   108
01.08.2020 00:45:00;   112
09.09.2020 17:00:00;   108
12.10.2020 10:15:00;   116
28.11.2020 10:00:00;   113
01.12.2020 15:00:00;   115
30.01.2021 01:15:00;   117
03.02.2021 06:30:00;   116
21.03.2021 05:15:00;   116
09.04.2021 08:15:00;   116
01.05.2021 19:00:00;   117
22.06.2021 08:45:00;   108
14.07.2021 17:45:00;   108
02.08.2021 11:00:00;   108
28.09.2021 13:45:00;   106
16.10.2021 08:30:00;   107
30.11.2021 19:45:00;   106
29.12.2021 15:45:00;   107
