Messstelle:                ;Pertisau (Seepegel)
HZB-Nummer:                ;201145
HD-Nummer:                 ;
DBMS-Nummer:               ;7001012
Gewässer:                  ;Achensee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;105,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1903              ;00928,85
   01.01.1945              ;00928,78
   01.01.1976              ;00919,78
   01.01.1979              ;00918,78
   08.08.2018              ;00918,78
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1902              ;253383,00 - 256983,00
Exportzeitreihe:           ;(7001012,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[13.01.1902 11:00,01.01.2022 00:00]
Werte:
27.01.1902 11:00:00;    45
01.02.1902 00:00:00; Lücke
01.03.1902 00:00:00; Lücke
01.04.1902 00:00:00; Lücke
01.05.1902 00:00:00; Lücke
01.06.1902 00:00:00; Lücke
01.07.1902 00:00:00; Lücke
01.08.1902 00:00:00; Lücke
01.09.1902 00:00:00; Lücke
01.10.1902 00:00:00; Lücke
24.11.1902 11:00:00;    35
29.12.1902 11:00:00;    28
26.01.1903 11:00:00;    30
09.02.1903 11:00:00;    20
06.03.1903 11:00:00;    25
01.04.1903 00:00:00; Lücke
03.05.1903 11:00:00;    30
07.06.1903 11:00:00;    45
06.07.1903 11:00:00;    45
24.08.1903 11:00:00;    55
14.09.1903 11:00:00;    38
05.10.1903 11:00:00;    40
16.11.1903 11:00:00;    40
28.12.1903 11:00:00;    35
25.01.1904 11:00:00;    25
08.02.1904 11:00:00;    18
14.03.1904 11:00:00;    14
04.04.1904 11:00:00;    22
02.05.1904 11:00:00;    40
06.06.1904 11:00:00;    50
18.07.1904 11:00:00;    35
22.08.1904 11:00:00;    25
05.09.1904 11:00:00;    40
17.10.1904 11:00:00;    45
28.11.1904 11:00:00;    55
26.12.1904 11:00:00;    40
23.01.1905 11:00:00;    25
27.02.1905 11:00:00;    22
13.03.1905 11:00:00;    18
03.04.1905 11:00:00;    30
03.05.1905 11:00:00;    50
26.06.1905 11:00:00;    50
24.07.1905 11:00:00;    40
28.08.1905 11:00:00;    40
11.09.1905 11:00:00;    40
16.10.1905 11:00:00;    35
06.11.1905 11:00:00;    50
25.12.1905 11:00:00;    38
29.01.1906 11:00:00;    25
26.02.1906 11:00:00;    15
05.03.1906 11:00:00;    25
02.04.1906 11:00:00;    25
07.05.1906 11:00:00;    50
11.06.1906 11:00:00;    50
02.07.1906 11:00:00;    50
27.08.1906 11:00:00;    35
03.09.1906 11:00:00;    30
15.10.1906 11:00:00;    45
05.11.1906 11:00:00;    45
31.12.1906 11:00:00;    35
22.01.1907 11:00:00;    30
25.02.1907 11:00:00;    15
04.03.1907 11:00:00;    15
01.04.1907 11:00:00;    20
06.05.1907 11:00:00;    70
17.06.1907 11:00:00;    70
29.07.1907 11:00:00;    50
12.08.1907 11:00:00;    40
23.09.1907 11:00:00;    30
14.10.1907 11:00:00;    25
25.11.1907 11:00:00;    42
02.12.1907 11:00:00;    40
21.01.1908 11:00:00;    28
08.02.1908 11:00:00;    30
31.03.1908 23:59:55;    15
01.04.1908 11:00:00;    15
01.05.1908 00:00:00;    35
30.06.1908 23:59:55;    41
14.07.1908 11:00:00;    38
11.08.1908 11:00:00;    34
04.09.1908 11:00:00;    35
07.10.1908 11:00:00;    35
30.11.1908 23:59:55;    41
31.12.1908 23:59:55;    24
