Messstelle:                ;Wien (Heiligenstädter Brücke)
HZB-Nummer:                ;207225
HD-Nummer:                 ;
DBMS-Nummer:               ;10001032
Gewässer:                  ;Donaukanal
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;0
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1899              ;00158,29
   01.11.1939              ;00154,29
   01.01.1952              ;00154,22
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1899              ;752650,30 - 345167,50
   01.07.2009              ;752599,33 - 345129,33
   01.01.2010              ;752650,30 - 345167,50
   01.12.2013              ;752596,59 - 345131,58
Exportzeitreihe:           ;(10001032,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.07.2009 00:00,01.01.2022 00:00]
Werte:
26.07.2009 16:00:00;   222
22.08.2009 09:15:00;   244
21.09.2009 20:45:00;   241
06.10.2009 06:00:00;   237
30.11.2009 12:45:00;   237
03.12.2009 20:30:00;   247
18.01.2010 12:00:00;   233
09.02.2010 20:00:00;   241
20.03.2010 14:00:00;   241
13.04.2010 12:00:00;   249
01.05.2010 02:45:00;   269
17.06.2010 08:00:00;   248
17.07.2010 15:00:00;   267
13.08.2010 23:45:00;   253
23.09.2010 21:15:00;   246
13.10.2010 09:45:00;   246
04.11.2010 12:15:00;   206
21.12.2010 08:30:05;   186
10.01.2011 18:30:00;   235
01.02.2011 00:00:00;   242
21.03.2011 12:15:00;   212
16.04.2011 00:00:00;   239
23.05.2011 08:45:00;   245
27.06.2011 20:15:00;   245
18.07.2011 18:15:00;   244
30.08.2011 14:30:00;   244
09.09.2011 07:15:00;   244
25.10.2011 16:00:00;   237
07.11.2011 09:15:00;   245
12.12.2011 15:45:00;   247
23.01.2012 07:00:00;   246
15.02.2012 07:00:00;   198
01.03.2012 00:00:00;   199
01.04.2012 00:00:00;   253
19.05.2012 08:30:00;   286
17.06.2012 12:15:00;   294
31.07.2012 23:00:00;   290
16.08.2012 11:00:00;   241
10.09.2012 11:30:00;   251
01.10.2012 08:30:00;   243
28.11.2012 13:30:05;   190
22.12.2012 02:45:00;   241
24.01.2013 11:45:00;   202
07.02.2013 09:45:00;   232
19.03.2013 07:45:00;   202
01.04.2013 13:00:00;   245
26.05.2013 21:30:00;   293
20.06.2013 23:45:00;   202
11.07.2013 23:15:00;   202
03.08.2013 17:45:00;   241
10.09.2013 09:15:00;   242
04.10.2013 19:45:00;   240
04.11.2013 07:30:00;   188
02.12.2013 12:30:00;   191
02.01.2014 08:30:00;   240
04.02.2014 10:00:00;   241
11.03.2014 07:30:00;   189
24.04.2014 02:30:00;   243
18.05.2014 04:15:00;   249
18.06.2014 14:00:00;   246
31.07.2014 01:15:00;   194
27.08.2014 06:15:00;   269
13.09.2014 22:45:00;   248
14.10.2014 19:15:00;   242
27.11.2014 14:45:00;   250
13.12.2014 09:45:00;   197
01.01.2015 00:00:00;   240
02.02.2015 15:15:00;   245
27.03.2015 21:15:00;   232
01.04.2015 00:00:00;   256
24.05.2015 15:45:00;   254
18.06.2015 15:30:00;   289
30.07.2015 16:00:00;   229
26.08.2015 20:30:00;   238
02.09.2015 23:15:00;   241
29.10.2015 16:00:00;   240
15.11.2015 17:15:00;   240
17.12.2015 00:15:00;   236
19.01.2016 08:30:00;   194
08.02.2016 12:30:00;   240
02.03.2016 08:15:00;   194
13.04.2016 12:45:00;   241
13.05.2016 14:30:00;   239
10.06.2016 12:00:00;   292
15.07.2016 06:15:00;   276
29.08.2016 08:45:00;   242
16.09.2016 10:45:00;   237
14.10.2016 15:00:00;   237
07.11.2016 09:45:00;   191
19.12.2016 06:45:00;   191
31.01.2017 12:00:00;   192
02.02.2017 11:15:00;   198
14.03.2017 11:00:00;   192
15.04.2017 13:45:00;   241
23.05.2017 14:15:00;   274
20.06.2017 15:30:00;   239
07.07.2017 14:15:00;   240
21.08.2017 13:45:00;   242
30.09.2017 17:15:00;   239
16.10.2017 19:30:00;   239
06.11.2017 08:30:00;   241
12.12.2017 00:30:00;   238
08.01.2018 22:45:00;   237
01.02.2018 02:30:00;   239
07.03.2018 11:45:00;   237
17.04.2018 07:00:00;   240
03.05.2018 12:00:00;   246
25.06.2018 09:45:00;   240
22.07.2018 10:00:00;   239
21.08.2018 10:00:00;   236
16.09.2018 18:15:00;   237
04.10.2018 18:30:00;   240
11.11.2018 02:45:00;   243
31.12.2018 09:00:00;   244
28.01.2019 17:15:00;   238
18.02.2019 16:45:00;   241
12.03.2019 08:00:00;   193
01.04.2019 00:00:00;   256
16.05.2019 12:00:00;   251
09.06.2019 09:45:00;   285
28.07.2019 20:45:00;   250
19.08.2019 14:00:00;   237
18.09.2019 15:45:00;   233
23.10.2019 06:00:00;   243
01.11.2019 19:45:00;   243
09.12.2019 16:45:00;   242
16.01.2020 21:30:00;   196
10.02.2020 20:30:00;   243
30.03.2020 21:15:00;   239
01.04.2020 18:15:00;   241
23.05.2020 17:30:00;   252
02.06.2020 07:30:00;   244
07.07.2020 07:00:00;   251
16.08.2020 11:00:00;   252
16.09.2020 21:45:00;   253
14.10.2020 13:00:00;   252
19.11.2020 09:15:00;   242
01.12.2020 16:15:00;   242
08.01.2021 14:45:00;   242
20.02.2021 10:30:00;   243
20.03.2021 15:30:00;   242
10.04.2021 03:30:00;   243
01.05.2021 00:00:00;   256
02.06.2021 06:45:00;   297
20.07.2021 07:30:00;   234
18.08.2021 15:30:00;   244
29.09.2021 06:45:00;   238
17.10.2021 14:00:00;   238
03.11.2021 07:00:00;   242
01.12.2021 10:15:00;   233
