Messstelle:                ;Schwarzenbach an der Pielach (Guttenhof)
HZB-Nummer:                ;207845
HD-Nummer:                 ;no150
DBMS-Nummer:               ;3001024
Gewässer:                  ;Pielach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;42,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00477,00
   01.01.1979              ;00471,60
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1928              ;678608,90 - 313615,30
   01.01.1975              ;678512,00 - 313794,00
Exportzeitreihe:           ;(3001024,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
01.01.1976 01:00:00;   126
20.02.1976 13:00:00;   127
11.03.1976 13:00:00;   127
11.04.1976 13:00:00;   132
13.05.1976 15:00:00;   130
27.06.1976 22:00:00;   129
05.07.1976 00:00:00;   128
29.08.1976 16:00:00;   127
01.09.1976 14:00:00;   127
08.10.1976 17:00:00;   123
06.11.1976 19:00:00;   124
31.12.1976 11:00:00;   129
22.01.1977 02:00:00;   129
05.02.1977 02:00:00;   132
31.03.1977 23:59:55;   135
01.04.1977 13:00:00;   134
31.05.1977 13:00:00;   129
22.06.1977 10:00:00;   127
31.07.1977 12:00:00;   126
31.08.1977 23:59:55;   129
30.09.1977 11:00:00;   127
01.10.1977 09:00:00;   128
11.11.1977 21:00:00;   128
07.12.1977 17:00:00;   123
31.01.1978 20:00:00;   126
21.02.1978 06:00:00;   127
20.03.1978 09:00:00;   132
17.04.1978 03:00:00;   132
29.05.1978 10:00:00;   130
22.06.1978 17:00:00;   127
18.07.1978 11:00:00;   125
15.08.1978 16:00:00;   125
01.09.1978 14:00:00;   125
15.10.1978 12:00:00;   126
21.11.1978 22:00:00;   126
05.12.1978 15:00:00;   124
19.01.1979 13:00:00;   127
02.02.1979 06:00:00;   128
01.03.1979 00:00:00;   128
01.04.1979 14:00:00;   134
30.05.1979 18:00:00;   127
11.06.1979 03:00:00;   128
31.07.1979 08:00:00;   129
20.08.1979 22:00:00;   129
09.09.1979 11:00:00;   127
17.10.1979 01:00:00;   127
01.11.1979 05:00:00;   129
31.12.1979 07:00:00;   130
24.01.1980 12:00:00;   128
27.02.1980 13:00:00;   131
25.03.1980 15:00:00;   129
07.04.1980 15:00:00;   135
23.05.1980 14:00:00;   136
27.06.1980 04:00:00;   134
19.07.1980 21:00:00;   131
14.08.1980 15:00:00;   128
21.09.1980 16:00:00;   128
05.10.1980 11:00:00;   124
21.11.1980 06:00:00;   125
09.12.1980 19:00:00;   129
17.01.1981 13:00:00;   128
25.02.1981 21:00:00;   132
02.03.1981 23:00:00;   131
19.04.1981 08:00:00;   130
27.05.1981 22:00:00;   128
05.06.1981 06:00:00;   130
15.07.1981 14:00:00;   126
14.08.1981 16:00:00;   125
12.09.1981 23:00:00;   129
17.10.1981 18:00:00;   130
08.11.1981 15:00:00;   134
28.12.1981 15:00:00;   127
25.01.1982 10:00:00;   134
28.02.1982 18:00:00;   130
01.03.1982 00:00:00;   131
22.04.1982 09:00:00;   129
25.05.1982 12:00:00;   130
18.06.1982 14:30:00;   126
06.07.1982 16:00:00;   128
02.08.1982 17:00:00;   127
30.09.1982 14:30:00;   125
24.10.1982 10:30:00;   123
06.11.1982 08:30:00;   128
06.12.1982 00:00:00;   127
01.01.1983 01:00:00;   129
17.02.1983 18:00:00;   129
06.03.1983 14:30:00;   133
02.04.1983 19:00:00;   131
01.05.1983 14:30:00;   130
24.06.1983 11:00:00;   130
22.07.1983 20:30:00;   127
20.08.1983 13:30:00;   124
22.09.1983 18:00:00;   126
15.10.1983 15:30:00;   123
01.11.1983 00:00:00;   125
14.12.1983 01:00:00;   125
31.01.1984 13:30:00;   129
04.02.1984 04:30:00;   128
13.03.1984 13:30:00;   128
03.04.1984 13:30:00;   132
19.05.1984 15:00:00;   130
25.06.1984 17:00:00;   129
26.07.1984 05:00:00;   128
05.08.1984 12:00:00;   127
20.09.1984 17:00:00;   129
15.10.1984 14:30:00;   127
26.11.1984 16:30:00;   127
08.12.1984 15:00:00;   125
12.01.1985 19:30:00;   125
23.02.1985 10:00:00;   130
01.03.1985 09:30:00;   130
30.04.1985 07:15:00;   138
30.05.1985 08:15:00;   127
01.06.1985 01:15:00;   134
13.07.1985 17:00:00;   129
03.08.1985 13:00:00;   125
01.09.1985 15:15:00;   127
08.10.1985 14:30:00;   128
06.11.1985 00:45:00;   128
04.12.1985 10:15:00;   130
04.01.1986 15:45:00;   128
28.02.1986 09:45:00;   125
04.03.1986 19:00:00;   129
21.04.1986 16:15:00;   137
11.05.1986 14:30:00;   130
27.06.1986 18:30:00;   128
06.07.1986 11:45:00;   129
31.08.1986 19:00:00;   127
14.09.1986 06:30:00;   124
09.10.1986 06:15:00;   126
19.11.1986 20:15:00;   128
17.12.1986 22:00:00;   127
30.01.1987 10:45:00;   130
01.02.1987 01:30:00;   130
07.03.1987 16:30:00;   132
03.04.1987 12:30:00;   139
31.05.1987 03:45:00;   142
30.06.1987 23:59:55;   137
13.07.1987 19:45:00;   131
20.08.1987 13:00:00;   131
12.09.1987 14:15:00;   127
10.10.1987 11:45:00;   128
14.11.1987 12:30:00;   128
14.12.1987 10:15:00;   129
21.01.1988 07:45:00;   130
12.02.1988 20:45:00;   130
03.03.1988 10:00:00;   130
26.04.1988 10:15:00;   147
28.05.1988 14:45:00;   135
19.06.1988 07:15:00;   133
25.07.1988 08:30:00;   130
17.08.1988 19:15:00;   130
24.09.1988 22:45:00;   128
19.10.1988 18:30:00;   128
06.11.1988 16:00:00;   130
09.12.1988 19:45:00;   138
31.01.1989 23:59:55;   135
01.02.1989 18:00:00;   134
