Messstelle:                ;Opponitz (Mirenau)
HZB-Nummer:                ;207654
HD-Nummer:                 ;no045
DBMS-Nummer:               ;3001005
Gewässer:                  ;Ybbs
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;506,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00391,28
   01.11.2008              ;00391,29
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1922              ;637740,00 - 306923,00
Exportzeitreihe:           ;(3001005,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
01.01.1976 01:00:00;   125
18.02.1976 19:00:00;   134
25.03.1976 14:00:00;   132
24.04.1976 07:00:00;   132
20.05.1976 22:00:00;   153
30.06.1976 18:00:00;   132
02.07.1976 21:00:00;   126
16.08.1976 07:00:00;   138
15.09.1976 14:00:00;   134
28.10.1976 12:00:00;   129
11.11.1976 07:00:00;   130
31.12.1976 11:00:00;   135
23.01.1977 17:00:00;   130
05.02.1977 03:00:00;   143
02.03.1977 21:00:00;   157
01.04.1977 13:00:00;   159
29.05.1977 20:00:00;   144
21.06.1977 17:00:00;   136
25.07.1977 05:00:00;   131
31.08.1977 23:59:55;   140
17.09.1977 05:00:00;   137
30.10.1977 23:00:00;   136
13.11.1977 06:00:00;   135
06.12.1977 13:00:00;   135
28.01.1978 17:00:00;   138
21.02.1978 11:00:00;   130
27.03.1978 04:00:00;   146
15.04.1978 04:00:00;   137
26.05.1978 11:00:00;   157
22.06.1978 18:00:00;   133
31.07.1978 23:59:55;   137
31.08.1978 02:00:00;   128
22.09.1978 09:00:00;   129
22.10.1978 16:00:00;   130
25.11.1978 18:00:00;   128
07.12.1978 14:00:00;   123
18.01.1979 12:00:00;   126
01.02.1979 21:00:00;   130
02.03.1979 04:00:00;   134
07.04.1979 01:00:00;   153
31.05.1979 23:59:55;   157
11.06.1979 14:00:00;   140
02.07.1979 07:00:00;   142
24.08.1979 06:00:00;   137
22.09.1979 08:00:00;   135
30.10.1979 03:00:00;   125
01.11.1979 14:00:00;   127
31.12.1979 23:59:55;   137
14.01.1980 10:00:00;   125
01.02.1980 00:00:00;   137
05.03.1980 09:00:00;   135
08.04.1980 17:00:00;   153
20.05.1980 03:00:00;   170
20.06.1980 00:00:00;   148
21.07.1980 00:00:00;   145
29.08.1980 04:00:00;   137
30.09.1980 23:59:55;   133
05.10.1980 14:00:00;   133
16.11.1980 06:00:00;   132
10.12.1980 13:00:00;   136
30.01.1981 11:00:00;   132
02.02.1981 00:00:00;   135
01.03.1981 00:00:00;   138
25.04.1981 04:00:00;   133
31.05.1981 21:00:00;   144
08.06.1981 07:00:00;   133
12.07.1981 14:00:00;   134
16.08.1981 22:00:00;   137
13.09.1981 17:00:00;   137
05.10.1981 10:00:00;   133
08.11.1981 17:00:00;   144
28.12.1981 15:00:00;   136
28.01.1982 22:00:00;   138
28.02.1982 12:00:00;   135
01.03.1982 00:00:00;   136
17.04.1982 03:00:00;   131
01.05.1982 14:00:00;   166
26.06.1982 16:00:00;   137
25.07.1982 23:00:00;   131
28.08.1982 06:00:00;   134
14.09.1982 14:00:00;   128
01.10.1982 14:00:00;   129
11.11.1982 07:00:00;   125
06.12.1982 21:00:00;   129
02.01.1983 17:00:00;   138
23.02.1983 10:00:00;   133
07.03.1983 08:00:00;   141
09.04.1983 02:00:00;   138
31.05.1983 16:00:00;   136
08.06.1983 20:00:00;   132
25.07.1983 00:00:00;   127
26.08.1983 21:00:00;   124
10.09.1983 15:00:00;   122
03.10.1983 21:00:00;   121
24.11.1983 14:00:00;   119
15.12.1983 12:00:00;   124
12.01.1984 10:00:00;   129
03.02.1984 17:00:00;   130
13.03.1984 15:00:00;   133
06.04.1984 23:00:00;   143
01.05.1984 18:00:00;   149
19.06.1984 11:00:00;   133
23.07.1984 01:00:00;   122
25.08.1984 00:00:00;   134
03.09.1984 13:00:00;   133
31.10.1984 23:59:55;   128
17.11.1984 16:00:00;   123
08.12.1984 00:00:00;   126
07.01.1985 04:15:00;   117
21.02.1985 07:00:00;   128
16.03.1985 12:00:00;   133
20.04.1985 00:30:00;   146
29.05.1985 17:45:00;   145
07.06.1985 11:45:00;   142
15.07.1985 06:00:00;   134
26.08.1985 02:30:00;   139
30.09.1985 22:45:00;   129
08.10.1985 12:45:00;   125
04.11.1985 13:30:00;   127
01.12.1985 00:00:00;   129
10.01.1986 21:00:00;   132
10.02.1986 11:45:00;   127
04.03.1986 04:30:00;   152
18.04.1986 23:30:00;   161
28.05.1986 10:00:00;   156
29.06.1986 06:15:00;   159
20.07.1986 21:15:00;   151
18.08.1986 07:00:00;   149
29.09.1986 16:30:00;   148
14.10.1986 09:15:00;   147
20.11.1986 13:00:00;   148
12.12.1986 05:30:00;   145
31.01.1987 08:30:00;   143
01.02.1987 08:00:00;   149
21.03.1987 23:45:00;   158
03.04.1987 21:30:00;   163
29.05.1987 21:30:00;   194
30.06.1987 23:59:55;   172
20.07.1987 00:30:00;   147
29.08.1987 20:30:00;   155
24.09.1987 02:15:00;   145
10.10.1987 15:00:00;   143
16.11.1987 08:15:00;   149
16.12.1987 04:45:00;   150
20.01.1988 19:30:00;   153
23.02.1988 16:30:00;   154
10.03.1988 15:30:00;   151
26.04.1988 22:00:00;   199
30.05.1988 21:00:00;   170
27.06.1988 12:30:00;   156
17.07.1988 20:30:00;   149
20.08.1988 09:30:00;   151
30.09.1988 14:45:00;   157
17.10.1988 06:45:00;   147
08.11.1988 06:30:00;   149
04.12.1988 20:00:00;   175
31.01.1989 21:15:00;   162
01.02.1989 00:00:00;   162
03.03.1989 07:15:00;   174
30.04.1989 20:30:00;   170
01.05.1989 00:00:00;   173
12.06.1989 01:30:00;   166
16.07.1989 19:00:00;   159
27.08.1989 15:45:00;   160
22.09.1989 16:45:00;   161
30.10.1989 07:30:00;   157
30.11.1989 14:45:00;   155
05.12.1989 11:30:00;   152
08.01.1990 09:15:00;   149
11.02.1990 16:00:00;   152
27.03.1990 13:00:00;   165
21.04.1990 02:30:00;   150
31.05.1990 23:59:55;   156
01.06.1990 05:00:00;   152
25.07.1990 09:00:00;   151
22.08.1990 04:15:00;   149
02.09.1990 19:45:00;   140
27.10.1990 02:15:00;   149
09.11.1990 22:00:00;   157
20.12.1990 04:30:00;   156
31.01.1991 23:59:55;   153
06.02.1991 09:30:00;   146
02.03.1991 03:00:00;   158
13.04.1991 01:30:00;   147
10.05.1991 00:00:00;   170
25.06.1991 13:15:00;   163
13.07.1991 18:15:00;   159
27.08.1991 20:00:00;   165
29.09.1991 19:15:00;   150
22.10.1991 13:45:00;   144
01.11.1991 00:00:00;   147
10.12.1991 08:15:00;   145
31.01.1992 23:59:55;   155
03.02.1992 06:45:00;   154
19.03.1992 11:15:00;   170
03.04.1992 22:00:00;   170
27.05.1992 10:45:00;   167
29.06.1992 07:30:00;   159
31.07.1992 14:00:00;   150
09.08.1992 23:45:00;   143
01.09.1992 02:45:00;   145
17.10.1992 18:45:00;   150
02.11.1992 06:00:00;   160
31.12.1992 13:15:00;   155
03.01.1993 11:45:00;   152
28.02.1993 23:59:55;   154
01.03.1993 07:45:00;   153
01.04.1993 00:15:00;   176
20.05.1993 05:30:00;   158
14.06.1993 07:00:00;   156
11.07.1993 11:00:00;   155
23.08.1993 20:15:00;   154
26.09.1993 06:45:00;   153
17.10.1993 02:15:00;   150
11.11.1993 12:45:00;   149
02.12.1993 13:15:00;   149
23.01.1994 20:30:00;   157
21.02.1994 00:45:00;   153
03.03.1994 17:45:00;   161
09.04.1994 15:15:00;   167
19.05.1994 08:30:00;   173
14.06.1994 08:15:00;   161
31.07.1994 23:59:55;   144
01.08.1994 00:00:00;   144
30.09.1994 23:59:55;   148
03.10.1994 22:15:00;   147
10.11.1994 22:30:00;   145
28.12.1994 07:15:00;   155
15.01.1995 00:00:00;   154
28.02.1995 20:45:00;   170
17.03.1995 08:00:00;   157
01.04.1995 00:00:00;   174
29.05.1995 21:00:00;   171
20.06.1995 09:45:00;   162
23.07.1995 02:45:00;   156
04.08.1995 00:00:00;   153
19.09.1995 12:15:00;   158
25.10.1995 04:00:00;   143
01.11.1995 02:00:00;   155
17.12.1995 03:00:00;   147
23.01.1996 14:30:00;   148
10.02.1996 06:00:00;   145
05.03.1996 11:30:00;   145
04.04.1996 07:00:00;   157
31.05.1996 23:59:55;   183
21.06.1996 15:00:00;   158
31.07.1996 23:59:55;   160
28.08.1996 13:45:00;   158
02.09.1996 00:00:00;   160
17.10.1996 06:15:00;   167
28.11.1996 06:00:00;   147
28.12.1996 06:15:00;   149
31.01.1997 23:59:55;   145
05.02.1997 19:42:05;   143
12.03.1997 12:12:20;   161
24.04.1997 16:08:15;   176
31.05.1997 23:59:55;   172
30.06.1997 23:59:55;   159
03.07.1997 19:08:05;   156
29.08.1997 06:04:50;   158
14.09.1997 21:50:30;   145
01.10.1997 00:00:00;   151
05.11.1997 08:19:20;   151
09.12.1997 08:12:35;   159
28.01.1998 08:02:10;   143
02.02.1998 09:06:10;   145
04.03.1998 14:24:35;   156
24.04.1998 22:38:20;   169
17.05.1998 09:00:20;   161
30.06.1998 20:47:30;   153
01.07.1998 00:00:00;   155
31.08.1998 23:59:55;   153
03.09.1998 08:33:35;   152
12.10.1998 21:15:45;   163
30.11.1998 23:59:55;   161
12.12.1998 08:54:55;   156
31.01.1999 23:59:55;   155
27.02.1999 03:04:10;   154
22.03.1999 14:39:30;   171
21.04.1999 19:30:45;   178
31.05.1999 23:59:55;   171
11.06.1999 16:02:20;   157
06.07.1999 17:51:00;   151
15.08.1999 18:43:20;   151
26.09.1999 18:16:45;   146
03.10.1999 22:00:40;   140
07.11.1999 00:38:55;   146
02.12.1999 02:37:55;   151
26.01.2000 10:30:00;   147
24.02.2000 20:45:00;   164
07.03.2000 17:45:00;   171
10.04.2000 18:30:00;   185
31.05.2000 16:30:00;   163
22.06.2000 18:00:00;   154
07.07.2000 17:00:00;   153
31.08.2000 00:30:00;   149
11.09.2000 00:00:00;   141
26.10.2000 19:30:00;   148
08.11.2000 11:30:00;   143
10.12.2000 23:00:00;   145
24.01.2001 20:45:00;   146
03.02.2001 21:00:00;   149
02.03.2001 18:45:00;   149
07.04.2001 12:45:00;   162
30.05.2001 23:45:00;   150
02.06.2001 17:15:00;   151
17.07.2001 09:00:00;   142
31.08.2001 07:15:00;   145
30.09.2001 22:45:00;   146
19.10.2001 16:30:00;   145
07.11.2001 02:45:00;   136
27.12.2001 23:45:00;   150
19.01.2002 08:45:00;   151
22.02.2002 21:00:00;   169
05.03.2002 15:15:00;   170
13.04.2002 02:45:00;   152
28.05.2002 11:30:00;   153
27.06.2002 20:45:00;   147
14.07.2002 01:15:00;   144
06.08.2002 16:15:00;   146
14.09.2002 23:00:00;   148
28.10.2002 06:00:00;   156
30.11.2002 23:30:00;   164
20.12.2002 20:00:00;   153
13.01.2003 09:00:00;   155
23.02.2003 19:00:00;   140
02.03.2003 01:45:00;   156
10.04.2003 09:15:00;   161
31.05.2003 15:35:00;   154
05.06.2003 01:20:00;   144
17.07.2003 17:40:00;   140
27.08.2003 08:35:00;   140
09.09.2003 21:55:00;   142
04.10.2003 04:25:00;   144
25.11.2003 01:40:00;   141
06.12.2003 08:45:00;   139
08.01.2004 10:10:00;   143
01.02.2004 20:55:00;   149
06.03.2004 06:40:00;   151
15.04.2004 12:10:00;   168
12.05.2004 00:20:00;   163
16.06.2004 03:10:00;   158
24.07.2004 12:05:00;   155
13.08.2004 02:00:00;   148
21.09.2004 22:50:00;   144
31.10.2004 01:50:00;   145
06.11.2004 09:25:00;   143
22.12.2004 07:10:00;   143
01.01.2005 02:40:00;   148
10.02.2005 12:55:00;   146
14.03.2005 10:40:00;   149
12.04.2005 16:50:00;   179
30.05.2005 17:55:00;   161
22.06.2005 07:00:00;   152
01.07.2005 11:15:00;   154
14.08.2005 15:40:00;   151
12.09.2005 03:35:00;   140
31.10.2005 23:25:00;   141
06.11.2005 10:35:00;   140
02.12.2005 19:00:00;   145
09.01.2006 12:45:00;   138
03.02.2006 10:25:00;   143
08.03.2006 21:45:00;   149
13.04.2006 17:30:00;   191
26.05.2006 02:35:00;   174
27.06.2006 16:50:00;   163
31.07.2006 18:15:00;   149
01.08.2006 02:25:00;   150
18.09.2006 00:30:00;   138
23.10.2006 11:20:00;   140
04.11.2006 22:35:00;   144
28.12.2006 12:45:00;   143
01.01.2007 18:20:00;   138
03.02.2007 05:25:00;   152
23.03.2007 11:50:00;   157
29.04.2007 17:50:00;   152
28.05.2007 19:55:00;   146
21.06.2007 11:50:00;   143
28.07.2007 10:15:00;   141
29.08.2007 19:40:00;   140
03.09.2007 20:15:00;   146
18.10.2007 06:00:00;   143
19.11.2007 17:25:00;   166
30.12.2007 09:25:00;   153
05.01.2008 23:25:00;   150
21.02.2008 19:30:00;   150
27.03.2008 04:40:00;   158
18.04.2008 02:50:00;   164
31.05.2008 18:10:00;   158
17.06.2008 23:45:00;   149
12.07.2008 15:10:00;   152
30.08.2008 10:30:00;   147
15.09.2008 01:05:00;   133
31.10.2008 21:40:00;   142
16.11.2008 15:50:00;   138
11.12.2008 15:50:00;   157
28.01.2009 07:40:00;   144
02.02.2009 05:50:00;   144
27.03.2009 09:55:00;   169
01.04.2009 00:15:00;   200
28.05.2009 21:00:00;   170
19.06.2009 16:45:00;   157
31.07.2009 23:15:00;   161
01.08.2009 18:25:00;   160
30.09.2009 18:20:00;   155
06.10.2009 19:50:00;   152
28.11.2009 22:50:00;   156
21.12.2009 02:25:00;   150
12.01.2010 23:40:00;   147
16.02.2010 09:15:00;   147
14.03.2010 21:30:00;   153
13.04.2010 17:45:00;   169
27.05.2010 00:15:00;   160
30.06.2010 14:10:00;   166
17.07.2010 13:50:00;   157
21.08.2010 02:10:00;   158
24.09.2010 23:20:00;   158
20.10.2010 09:10:00;   151
04.11.2010 03:10:00;   142
06.12.2010 08:35:00;   149
06.01.2011 05:40:00;   151
04.02.2011 09:00:00;   155
09.03.2011 14:40:00;   150
30.04.2011 21:10:00;   156
26.05.2011 16:05:00;   143
17.06.2011 08:10:00;   149
20.07.2011 06:55:00;   148
31.08.2011 07:00:00;   149
18.09.2011 12:20:00;   147
05.10.2011 20:45:00;   147
27.11.2011 22:10:00;   144
06.12.2011 12:15:00;   144
01.01.2012 04:55:00;   154
13.02.2012 10:20:00;   149
11.03.2012 07:50:00;   174
20.04.2012 20:00:00;   172
28.05.2012 17:05:00;   163
21.06.2012 16:30:00;   156
