Messstelle:                ;Kremsdorf
HZB-Nummer:                ;205658
HD-Nummer:                 ;6880
DBMS-Nummer:               ;4001109
Gewässer:                  ;Krems
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;365,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1956              ;00270,35
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1956              ;519420,00 - 340575,00
   17.11.2010              ;519419,00 - 340581,00
   01.01.2018              ;519413,46 - 340594,09
Exportzeitreihe:           ;(4001109,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1976 00:30:00;   181
02.01.1976 00:00:00;   208
03.01.1976 00:00:00;   203
04.01.1976 00:00:00;   196
05.01.1976 00:00:00;   190
06.01.1976 00:00:00;   218
07.01.1976 00:00:00;   217
08.01.1976 00:00:00;   204
09.01.1976 00:00:00;   195
10.01.1976 00:00:00;   192
11.01.1976 00:00:00;   208
12.01.1976 00:00:00;   236
13.01.1976 00:00:00;   211
14.01.1976 00:00:00;   200
15.01.1976 00:00:00;   204
16.01.1976 00:00:00;   216
17.01.1976 00:00:00;   224
18.01.1976 00:00:00;   212
19.01.1976 00:00:00;   201
20.01.1976 00:00:00;   198
21.01.1976 00:00:00;   213
22.01.1976 00:00:00;   213
23.01.1976 00:00:00;   229
24.01.1976 00:00:00;   219
25.01.1976 00:00:00;   207
26.01.1976 00:00:00;   200
27.01.1976 00:00:00;   197
28.01.1976 00:00:00;   193
29.01.1976 00:00:00;   191
30.01.1976 00:00:00;   189
31.01.1976 00:00:00;   189
01.02.1976 00:00:00;   189
02.02.1976 00:00:00;   188
03.02.1976 00:00:00;   187
04.02.1976 00:00:00;   187
