Messstelle:                ;Oberkappel
HZB-Nummer:                ;204875
HD-Nummer:                 ;3060
DBMS-Nummer:               ;4001036
Gewässer:                  ;Ranna
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;132,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1926              ;00492,76
   01.01.1978              ;00491,76
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1926              ;482300,00 - 379340,00
   27.03.2020              ;482290,90 - 379344,44
Exportzeitreihe:           ;(4001036,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1976 00:30:00;    29
02.01.1976 00:00:00;    87
03.01.1976 00:00:00;   101
04.01.1976 00:00:00;    56
05.01.1976 00:00:00;    47
06.01.1976 00:00:00;    66
07.01.1976 00:00:00;    72
08.01.1976 00:00:00;    59
09.01.1976 00:00:00;    52
10.01.1976 00:00:00;    47
11.01.1976 00:00:00;   125
12.01.1976 00:00:00;   159
13.01.1976 00:00:00;   107
14.01.1976 00:00:00;   108
15.01.1976 00:00:00;   105
16.01.1976 00:00:00;    79
17.01.1976 00:00:00;    72
18.01.1976 00:00:00;    65
19.01.1976 00:00:00;    61
20.01.1976 00:00:00;    59
21.01.1976 00:00:00;    72
22.01.1976 00:00:00;    65
23.01.1976 00:00:00;   128
24.01.1976 00:00:00;    92
25.01.1976 00:00:00;    72
26.01.1976 00:00:00;    66
27.01.1976 00:00:00;    62
28.01.1976 00:00:00;    57
29.01.1976 00:00:00;    54
30.01.1976 00:00:00;    53
31.01.1976 00:00:00;    51
01.02.1976 00:00:00;    50
02.02.1976 00:00:00;    49
03.02.1976 00:00:00;    48
04.02.1976 00:00:00;    47
05.02.1976 00:00:00;    46
06.02.1976 00:00:00;    45
07.02.1976 00:00:00;    44
08.02.1976 00:00:00;    43
09.02.1976 00:00:00;    42
10.02.1976 00:00:00;    41
11.02.1976 00:00:00;    41
12.02.1976 00:00:00;    41
13.02.1976 00:00:00;    40
14.02.1976 00:00:00;    40
15.02.1976 00:00:00;    39
16.02.1976 00:00:00;    39
17.02.1976 00:00:00;    39
18.02.1976 00:00:00;    39
19.02.1976 00:00:00;    40
20.02.1976 00:00:00;    39
21.02.1976 00:00:00;    38
22.02.1976 00:00:00;    38
23.02.1976 00:00:00;    37
24.02.1976 00:00:00;    37
25.02.1976 00:00:00;    36
26.02.1976 00:00:00;    41
27.02.1976 00:00:00;    46
28.02.1976 00:00:00;    46
29.02.1976 00:00:00;    45
01.03.1976 00:00:00;    46
02.03.1976 00:00:00;    47
03.03.1976 00:00:00;    43
04.03.1976 00:00:00;    40
05.03.1976 00:00:00;    37
06.03.1976 00:00:00;    35
07.03.1976 00:00:00;    34
08.03.1976 00:00:00;    34
09.03.1976 00:00:00;    33
10.03.1976 00:00:00;    32
11.03.1976 00:00:00;    32
12.03.1976 00:00:00;    32
13.03.1976 00:00:00;    32
14.03.1976 00:00:00;    32
15.03.1976 00:00:00;    33
16.03.1976 00:00:00;    34
17.03.1976 00:00:00;    36
18.03.1976 00:00:00;    40
19.03.1976 00:00:00;    44
20.03.1976 00:00:00;    39
21.03.1976 00:00:00;    35
22.03.1976 00:00:00;    33
23.03.1976 00:00:00;    34
24.03.1976 00:00:00;    34
25.03.1976 00:00:00;    34
26.03.1976 00:00:00;    45
27.03.1976 00:00:00;    49
28.03.1976 00:00:00;    42
29.03.1976 00:00:00;    39
30.03.1976 00:00:00;    42
31.03.1976 00:00:00;    42
01.04.1976 00:00:00;    41
02.04.1976 00:00:00;    40
03.04.1976 00:00:00;    40
04.04.1976 00:00:00;    39
05.04.1976 00:00:00;    38
06.04.1976 00:00:00;    37
07.04.1976 00:00:00;    37
08.04.1976 00:00:00;    38
09.04.1976 00:00:00;    36
10.04.1976 00:00:00;    35
11.04.1976 00:00:00;    34
12.04.1976 00:00:00;    33
13.04.1976 00:00:00;    32
14.04.1976 00:00:00;    32
15.04.1976 00:00:00;    32
16.04.1976 00:00:00;    31
17.04.1976 00:00:00;    31
18.04.1976 00:00:00;    30
19.04.1976 00:00:00;    30
20.04.1976 00:00:00;    30
21.04.1976 00:00:00;    30
22.04.1976 00:00:00;    31
23.04.1976 00:00:00;    31
24.04.1976 00:00:00;    30
25.04.1976 00:00:00;    30
26.04.1976 00:00:00;    30
27.04.1976 00:00:00;    30
28.04.1976 00:00:00;    29
29.04.1976 00:00:00;    29
30.04.1976 00:00:00;    29
01.05.1976 00:00:00;    29
02.05.1976 00:00:00;    28
03.05.1976 00:00:00;    27
04.05.1976 00:00:00;    28
05.05.1976 00:00:00;    27
06.05.1976 00:00:00;    25
07.05.1976 00:00:00;    25
08.05.1976 00:00:00;    25
09.05.1976 00:00:00;    24
10.05.1976 00:00:00;    24
11.05.1976 00:00:00;    25
12.05.1976 00:00:00;    27
13.05.1976 00:00:00;    26
14.05.1976 00:00:00;    29
15.05.1976 00:00:00;    26
16.05.1976 00:00:00;    25
17.05.1976 00:00:00;    24
18.05.1976 00:00:00;    23
19.05.1976 00:00:00;    23
20.05.1976 00:00:00;    23
21.05.1976 00:00:00;    31
22.05.1976 00:00:00;    28
23.05.1976 00:00:00;    34
24.05.1976 00:00:00;    27
25.05.1976 00:00:00;    25
26.05.1976 00:00:00;    25
27.05.1976 00:00:00;    27
28.05.1976 00:00:00;    28
29.05.1976 00:00:00;    26
30.05.1976 00:00:00;    26
31.05.1976 00:00:00;    38
01.06.1976 00:00:00;    42
02.06.1976 00:00:00;    46
03.06.1976 00:00:00;    41
04.06.1976 00:00:00;    39
05.06.1976 00:00:00;    40
06.06.1976 00:00:00;    35
07.06.1976 00:00:00;    28
08.06.1976 00:00:00;    24
09.06.1976 00:00:00;    23
10.06.1976 00:00:00;    23
11.06.1976 00:00:00;    23
12.06.1976 00:00:00;    23
13.06.1976 00:00:00;    25
14.06.1976 00:00:00;    23
15.06.1976 00:00:00;    23
16.06.1976 00:00:00;    24
