Messstelle:                ;Mitterbach (Brücke)
HZB-Nummer:                ;207704
HD-Nummer:                 ;no065
DBMS-Nummer:               ;3001010
Gewässer:                  ;Große Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Energieversorgung Niederösterreich-AG.
orogr.Einzugsgebiet [km²]: ;29,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00791,00
   01.01.1977              ;00785,90
   01.01.2014              ;00785,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;672483,40 - 298038,20
   01.01.1977              ;672413,70 - 297773,50
Exportzeitreihe:           ;(3001010,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1976 00:00:00;   112
02.01.1976 00:00:00;   119
03.01.1976 00:00:00;   129
04.01.1976 00:00:00;   127
05.01.1976 00:00:00;   125
06.01.1976 00:00:00;   135
07.01.1976 00:00:00;   136
08.01.1976 00:00:00;   129
09.01.1976 00:00:00;   128
10.01.1976 00:00:00;   126
11.01.1976 00:00:00;   136
12.01.1976 00:00:00;   152
13.01.1976 00:00:00;   151
14.01.1976 00:00:00;   145
15.01.1976 00:00:00;   143
16.01.1976 00:00:00;   139
17.01.1976 00:00:00;   135
18.01.1976 00:00:00;   133
19.01.1976 00:00:00;   130
20.01.1976 00:00:00;   128
21.01.1976 00:00:00;   129
22.01.1976 00:00:00;   127
23.01.1976 00:00:00;   131
24.01.1976 00:00:00;   129
25.01.1976 00:00:00;   126
26.01.1976 00:00:00;   124
27.01.1976 00:00:00;   124
28.01.1976 00:00:00;   124
29.01.1976 00:00:00;   123
30.01.1976 00:00:00;   122
31.01.1976 00:00:00;   122
01.02.1976 00:00:00;   121
02.02.1976 00:00:00;   120
03.02.1976 00:00:00;   120
04.02.1976 00:00:00;   120
05.02.1976 00:00:00;   119
06.02.1976 00:00:00;   118
07.02.1976 00:00:00;   118
08.02.1976 00:00:00;   116
09.02.1976 00:00:00;   118
10.02.1976 00:00:00;   118
11.02.1976 00:00:00;   117
12.02.1976 00:00:00;   118
13.02.1976 00:00:00;   118
14.02.1976 00:00:00;   118
15.02.1976 00:00:00;   117
16.02.1976 00:00:00;   117
17.02.1976 00:00:00;   116
18.02.1976 00:00:00;   116
19.02.1976 00:00:00;   115
20.02.1976 00:00:00;   115
21.02.1976 00:00:00;   114
22.02.1976 00:00:00;   112
23.02.1976 00:00:00;   112
24.02.1976 00:00:00;   112
25.02.1976 00:00:00;   112
26.02.1976 00:00:00;   113
27.02.1976 00:00:00;   114
28.02.1976 00:00:00;   115
29.02.1976 00:00:00;   118
01.03.1976 00:00:00;   121
02.03.1976 00:00:00;   122
03.03.1976 00:00:00;   122
04.03.1976 00:00:00;   120
05.03.1976 00:00:00;   119
06.03.1976 00:00:00;   117
07.03.1976 00:00:00;   114
08.03.1976 00:00:00;   113
09.03.1976 00:00:00;   112
10.03.1976 00:00:00;   112
11.03.1976 00:00:00;   111
12.03.1976 00:00:00;   110
13.03.1976 00:00:00;   111
14.03.1976 00:00:00;   111
15.03.1976 00:00:00;   112
16.03.1976 00:00:00;   115
17.03.1976 00:00:00;   116
18.03.1976 00:00:00;   115
19.03.1976 00:00:00;   115
20.03.1976 00:00:00;   116
21.03.1976 00:00:00;   115
22.03.1976 00:00:00;   115
23.03.1976 00:00:00;   113
24.03.1976 00:00:00;   113
25.03.1976 00:00:00;   113
26.03.1976 00:00:00;   114
27.03.1976 00:00:00;   115
28.03.1976 00:00:00;   113
29.03.1976 00:00:00;   114
30.03.1976 00:00:00;   118
31.03.1976 00:00:00;   123
01.04.1976 00:00:00;   129
02.04.1976 00:00:00;   135
03.04.1976 00:00:00;   141
04.04.1976 00:00:00;   144
05.04.1976 00:00:00;   146
06.04.1976 00:00:00;   141
07.04.1976 00:00:00;   142
08.04.1976 00:00:00;   137
09.04.1976 00:00:00;   132
10.04.1976 00:00:00;   128
11.04.1976 00:00:00;   125
12.04.1976 00:00:00;   124
13.04.1976 00:00:00;   123
14.04.1976 00:00:00;   123
15.04.1976 00:00:00;   125
16.04.1976 00:00:00;   129
17.04.1976 00:00:00;   132
18.04.1976 00:00:00;   134
19.04.1976 00:00:00;   137
20.04.1976 00:00:00;   140
21.04.1976 00:00:00;   138
22.04.1976 00:00:00;   135
23.04.1976 00:00:00;   131
24.04.1976 00:00:00;   129
25.04.1976 00:00:00;   134
26.04.1976 00:00:00;   140
27.04.1976 00:00:00;   138
28.04.1976 00:00:00;   136
29.04.1976 00:00:00;   131
30.04.1976 00:00:00;   128
01.05.1976 00:00:00;   127
02.05.1976 00:00:00;   128
03.05.1976 00:00:00;   130
04.05.1976 00:00:00;   134
05.05.1976 00:00:00;   139
06.05.1976 00:00:00;   142
07.05.1976 00:00:00;   145
08.05.1976 00:00:00;   145
09.05.1976 00:00:00;   145
10.05.1976 00:00:00;   144
11.05.1976 00:00:00;   139
12.05.1976 00:00:00;   135
13.05.1976 00:00:00;   134
14.05.1976 00:00:00;   137
15.05.1976 00:00:00;   132
16.05.1976 00:00:00;   131
17.05.1976 00:00:00;   131
18.05.1976 00:00:00;   130
19.05.1976 00:00:00;   130
20.05.1976 00:00:00;   129
21.05.1976 00:00:00;   134
22.05.1976 00:00:00;   134
23.05.1976 00:00:00;   138
24.05.1976 00:00:00;   139
25.05.1976 00:00:00;   133
26.05.1976 00:00:00;   132
27.05.1976 00:00:00;   138
28.05.1976 00:00:00;   134
29.05.1976 00:00:00;   130
30.05.1976 00:00:00;   127
31.05.1976 00:00:00;   126
01.06.1976 00:00:00;   146
02.06.1976 00:00:00;   147
03.06.1976 00:00:00;   154
04.06.1976 00:00:00;   151
05.06.1976 00:00:00;   134
06.06.1976 00:00:00;   131
07.06.1976 00:00:00;   130
08.06.1976 00:00:00;   127
09.06.1976 00:00:00;   126
10.06.1976 00:00:00;   124
11.06.1976 00:00:00;   123
12.06.1976 00:00:00;   122
13.06.1976 00:00:00;   121
14.06.1976 00:00:00;   121
15.06.1976 00:00:00;   120
16.06.1976 00:00:00;   122
17.06.1976 00:00:00;   124
18.06.1976 00:00:00;   123
19.06.1976 00:00:00;   120
20.06.1976 00:00:00;   118
21.06.1976 00:00:00;   117
22.06.1976 00:00:00;   114
23.06.1976 00:00:00;   116
24.06.1976 00:00:00;   115
25.06.1976 00:00:00;   114
26.06.1976 00:00:00;   113
27.06.1976 00:00:00;   113
28.06.1976 00:00:00;   115
29.06.1976 00:00:00;   115
30.06.1976 00:00:00;   114
01.07.1976 00:00:00;   113
02.07.1976 00:00:00;   114
03.07.1976 00:00:00;   113
04.07.1976 00:00:00;   113
05.07.1976 00:00:00;   113
06.07.1976 00:00:00;   112
07.07.1976 00:00:00;   112
08.07.1976 00:00:00;   112
09.07.1976 00:00:00;   113
10.07.1976 00:00:00;   113
11.07.1976 00:00:00;   113
12.07.1976 00:00:00;   112
13.07.1976 00:00:00;   112
14.07.1976 00:00:00;   111
15.07.1976 00:00:00;   111
16.07.1976 00:00:00;   110
17.07.1976 00:00:00;   109
18.07.1976 00:00:00;   109
19.07.1976 00:00:00;   114
20.07.1976 00:00:00;   116
21.07.1976 00:00:00;   115
22.07.1976 00:00:00;   115
23.07.1976 00:00:00;   120
24.07.1976 00:00:00;   127
25.07.1976 00:00:00;   130
26.07.1976 00:00:00;   136
