Messstelle:                ;Kleinstetteldorf
HZB-Nummer:                ;209635
HD-Nummer:                 ;no360
DBMS-Nummer:               ;3001179
Gewässer:                  ;Kleiner Göllersbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;86,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1989              ;00233,77
   17.11.1998              ;00233,77
   01.01.2017              ;00233,71
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1989              ;736411,00 - 383224,00
   17.11.1998              ;736415,00 - 383209,00
Exportzeitreihe:           ;(3001179,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1989 00:15,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1989 00:15:00;   120
02.01.1989 00:00:00;   120
03.01.1989 00:00:00;   121
04.01.1989 00:00:00;   121
05.01.1989 00:00:00;   121
06.01.1989 00:00:00;   121
07.01.1989 00:00:00;   121
08.01.1989 00:00:00;   121
09.01.1989 00:00:00;   122
10.01.1989 00:00:00;   122
11.01.1989 00:00:00;   122
12.01.1989 00:00:00;   122
13.01.1989 00:00:00;   122
14.01.1989 00:00:00;   122
15.01.1989 00:00:00;   121
16.01.1989 00:00:00;   121
17.01.1989 00:00:00;   121
18.01.1989 00:00:00;   120
19.01.1989 00:00:00;   121
20.01.1989 00:00:00;   121
21.01.1989 00:00:00;   122
22.01.1989 00:00:00;   123
23.01.1989 00:00:00;   122
24.01.1989 00:00:00;   122
25.01.1989 00:00:00;   122
26.01.1989 00:00:00;   122
27.01.1989 00:00:00;   121
28.01.1989 00:00:00;   121
29.01.1989 00:00:00;   121
30.01.1989 00:00:00;   121
31.01.1989 00:00:00;   121
01.02.1989 00:00:00;   121
02.02.1989 00:00:00;   120
03.02.1989 00:00:00;   120
04.02.1989 00:00:00;   120
05.02.1989 00:00:00;   121
06.02.1989 00:00:00;   121
07.02.1989 00:00:00;   121
08.02.1989 00:00:00;   121
09.02.1989 00:00:00;   120
10.02.1989 00:00:00;   121
11.02.1989 00:00:00;   119
12.02.1989 00:00:00;   118
13.02.1989 00:00:00;   118
14.02.1989 00:00:00;   118
15.02.1989 00:00:00;   118
16.02.1989 00:00:00;   118
17.02.1989 00:00:00;   118
18.02.1989 00:00:00;   118
19.02.1989 00:00:00;   119
20.02.1989 00:00:00;   119
21.02.1989 00:00:00;   119
22.02.1989 00:00:00;   118
23.02.1989 00:00:00;   118
24.02.1989 00:00:00;   118
25.02.1989 00:00:00;   118
26.02.1989 00:00:00;   118
27.02.1989 00:00:00;   119
28.02.1989 00:00:00;   118
01.03.1989 00:00:00;   118
02.03.1989 00:00:00;   118
03.03.1989 00:00:00;   118
04.03.1989 00:00:00;   118
05.03.1989 00:00:00;   119
06.03.1989 00:00:00;   117
07.03.1989 00:00:00;   117
08.03.1989 00:00:00;   119
09.03.1989 00:00:00;   120
10.03.1989 00:00:00;   118
11.03.1989 00:00:00;   117
12.03.1989 00:00:00;   118
13.03.1989 00:00:00;   118
14.03.1989 00:00:00;   120
15.03.1989 00:00:00;   119
16.03.1989 00:00:00;   119
17.03.1989 00:00:00;   119
18.03.1989 00:00:00;   119
19.03.1989 00:00:00;   118
20.03.1989 00:00:00;   118
21.03.1989 00:00:00;   118
22.03.1989 00:00:00;   118
23.03.1989 00:00:00;   118
24.03.1989 00:00:00;   118
25.03.1989 00:00:00;   118
26.03.1989 00:00:00;   118
27.03.1989 00:00:00;   118
28.03.1989 00:00:00;   118
29.03.1989 00:00:00;   119
30.03.1989 00:00:00;   119
31.03.1989 00:00:00;   117
01.04.1989 00:00:00;   120
02.04.1989 00:00:00;   120
03.04.1989 00:00:00;   118
04.04.1989 00:00:00;   118
05.04.1989 00:00:00;   117
06.04.1989 00:00:00;   117
07.04.1989 00:00:00;   117
08.04.1989 00:00:00;   116
09.04.1989 00:00:00;   116
10.04.1989 00:00:00;   116
11.04.1989 00:00:00;   115
12.04.1989 00:00:00;   115
13.04.1989 00:00:00;   115
14.04.1989 00:00:00;   115
15.04.1989 00:00:00;   115
16.04.1989 00:00:00;   115
17.04.1989 00:00:00;   115
18.04.1989 00:00:00;   116
19.04.1989 00:00:00;   115
20.04.1989 00:00:00;   116
21.04.1989 00:00:00;   116
22.04.1989 00:00:00;   116
23.04.1989 00:00:00;   116
24.04.1989 00:00:00;   116
25.04.1989 00:00:00;   115
26.04.1989 00:00:00;   115
27.04.1989 00:00:00;   115
28.04.1989 00:00:00;   117
29.04.1989 00:00:00;   123
30.04.1989 00:00:00;   120
01.05.1989 00:00:00;   127
02.05.1989 00:00:00;   124
03.05.1989 00:00:00;   121
04.05.1989 00:00:00;   119
05.05.1989 00:00:00;   119
06.05.1989 00:00:00;   121
07.05.1989 00:00:00;   119
08.05.1989 00:00:00;   117
09.05.1989 00:00:00;   117
10.05.1989 00:00:00;   118
11.05.1989 00:00:00;   131
12.05.1989 00:00:00;   128
13.05.1989 00:00:00;   121
14.05.1989 00:00:00;   122
15.05.1989 00:00:00;   133
16.05.1989 00:00:00;   124
17.05.1989 00:00:00;   122
18.05.1989 00:00:00;   120
19.05.1989 00:00:00;   119
20.05.1989 00:00:00;   119
21.05.1989 00:00:00;   118
22.05.1989 00:00:00;   118
23.05.1989 00:00:00;   117
24.05.1989 00:00:00;   117
25.05.1989 00:00:00;   116
26.05.1989 00:00:00;   115
27.05.1989 00:00:00;   115
28.05.1989 00:00:00;   117
29.05.1989 00:00:00;   115
30.05.1989 00:00:00;   116
31.05.1989 00:00:00;   116
01.06.1989 00:00:00;   117
02.06.1989 00:00:00;   120
03.06.1989 00:00:00;   117
04.06.1989 00:00:00;   118
05.06.1989 00:00:00;   118
06.06.1989 00:00:00;   116
07.06.1989 00:00:00;   116
08.06.1989 00:00:00;   115
09.06.1989 00:00:00;   114
10.06.1989 00:00:00;   114
11.06.1989 00:00:00;   114
12.06.1989 00:00:00;   114
13.06.1989 00:00:00;   114
14.06.1989 00:00:00;   115
15.06.1989 00:00:00;   115
16.06.1989 00:00:00;   115
17.06.1989 00:00:00;   117
18.06.1989 00:00:00;   121
19.06.1989 00:00:00;   122
20.06.1989 00:00:00;   118
21.06.1989 00:00:00;   117
22.06.1989 00:00:00;   119
23.06.1989 00:00:00;   118
24.06.1989 00:00:00;   120
25.06.1989 00:00:00;   119
26.06.1989 00:00:00;   117
27.06.1989 00:00:00;   117
28.06.1989 00:00:00;   116
29.06.1989 00:00:00;   116
30.06.1989 00:00:00;   115
01.07.1989 00:00:00;   116
02.07.1989 00:00:00;   115
03.07.1989 00:00:00;   115
04.07.1989 00:00:00;   115
05.07.1989 00:00:00;   116
06.07.1989 00:00:00;   116
07.07.1989 00:00:00;   115
08.07.1989 00:00:00;   116
09.07.1989 00:00:00;   116
10.07.1989 00:00:00;   117
11.07.1989 00:00:00;   125
12.07.1989 00:00:00;   122
13.07.1989 00:00:00;   118
14.07.1989 00:00:00;   118
15.07.1989 00:00:00;   118
16.07.1989 00:00:00;   118
17.07.1989 00:00:00;   118
18.07.1989 00:00:00;   119
19.07.1989 00:00:00;   118
20.07.1989 00:00:00;   117
21.07.1989 00:00:00;   117
22.07.1989 00:00:00;   117
23.07.1989 00:00:00;   117
24.07.1989 00:00:00;   118
25.07.1989 00:00:00;   119
26.07.1989 00:00:00;   120
27.07.1989 00:00:00;   120
28.07.1989 00:00:00;   120
29.07.1989 00:00:00;   120
30.07.1989 00:00:00;   120
31.07.1989 00:00:00;   120
01.08.1989 00:00:00;   121
02.08.1989 00:00:00;   121
03.08.1989 00:00:00;   121
04.08.1989 00:00:00;   121
05.08.1989 00:00:00;   120
06.08.1989 00:00:00;   121
07.08.1989 00:00:00;   120
08.08.1989 00:00:00;   119
09.08.1989 00:00:00;   135
10.08.1989 00:00:00;   122
11.08.1989 00:00:00;   120
12.08.1989 00:00:00;   119
13.08.1989 00:00:00;   119
14.08.1989 00:00:00;   118
15.08.1989 00:00:00;   117
16.08.1989 00:00:00;   117
17.08.1989 00:00:00;   116
18.08.1989 00:00:00;   118
19.08.1989 00:00:00;   120
20.08.1989 00:00:00;   119
21.08.1989 00:00:00;   118
22.08.1989 00:00:00;   117
23.08.1989 00:00:00;   117
