Messstelle:                ;Voitsberg
HZB-Nummer:                ;211334
HD-Nummer:                 ;ow3670
DBMS-Nummer:               ;6001083
Gewässer:                  ;Kainach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;210,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00391,19
   04.03.2020              ;00389,23
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1908              ;00000,00 - 00000,00
   01.01.1958              ;660005,10 - 212804,30
   01.08.2017              ;660107,90 - 212702,30
Exportzeitreihe:           ;(6001083,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[05.01.1966 12:00,01.01.2022 00:00]
Werte:
05.01.1966 12:00:00;  1,70
12.02.1966 12:00:00;  4,39
02.03.1966 12:00:00;  2,47
27.04.1966 12:00:00;  2,47
25.05.1966 12:00:00;  2,47
14.06.1966 12:00:00;  26,2
15.07.1966 12:00:00;  18,5
18.08.1966 12:00:00;  36,0
05.09.1966 12:00:00;  12,1
01.10.1966 12:00:00;  2,49
05.11.1966 12:00:00;  4,68
05.12.1966 12:00:00;  3,66
04.01.1967 12:00:00;  2,49
22.02.1967 12:00:00;  2,85
30.03.1967 12:00:00;  5,23
17.04.1967 12:00:00;  5,84
11.05.1967 12:00:00;  4,09
02.06.1967 12:00:00;  2,54
27.07.1967 12:00:00;  2,20
25.08.1967 12:00:00;  3,67
10.09.1967 12:00:00;  11,5
05.10.1967 12:00:00;  6,44
06.11.1967 12:00:00;  2,49
07.12.1967 12:00:00;  1,61
16.01.1968 12:00:00;  1,85
26.02.1968 12:00:00;  1,37
31.03.1968 12:00:00;  1,17
10.04.1968 12:00:00;  1,37
29.05.1968 12:00:00;  1,95
28.06.1968 12:00:00;  3,67
17.07.1968 12:00:00;  5,95
