Messstelle:                ;Rohrbach an der Lafnitz
HZB-Nummer:                ;210997
HD-Nummer:                 ;ow4540
DBMS-Nummer:               ;6001050
Gewässer:                  ;Lafnitz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;268,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00422,19
   01.01.1989              ;00419,48
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1933              ;00000,00 - 00000,00
   01.01.1989              ;725153,90 - 249505,10
   01.01.2018              ;725164,50 - 249529,10
Exportzeitreihe:           ;(6001050,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[27.01.1966 12:00,01.01.2022 00:00]
Werte:
27.01.1966 12:00:00;  3,42
12.02.1966 12:00:00;  5,43
12.03.1966 12:00:00;  2,30
05.04.1966 12:00:00;  5,00
24.05.1966 12:00:00;  3,61
13.06.1966 12:00:00;  97,0
20.07.1966 12:00:00;  13,1
19.08.1966 12:00:00;  89,0
05.09.1966 12:00:00;  39,0
18.10.1966 12:00:00;  7,91
05.11.1966 12:00:00;  7,91
03.12.1966 12:00:00;  6,82
17.01.1967 12:00:00;  2,54
22.02.1967 12:00:00;  4,40
28.03.1967 12:00:00;  7,64
14.04.1967 12:00:00;  6,27
31.05.1967 12:00:00;  42,0
01.06.1967 12:00:00;  21,2
09.07.1967 12:00:00;  16,4
05.08.1967 12:00:00;  12,1
28.09.1967 12:00:00;  11,3
05.10.1967 12:00:00;  6,52
06.11.1967 12:00:00;  10,5
04.12.1967 12:00:00;  2,83
15.01.1968 12:00:00;  12,1
23.02.1968 12:00:00;  4,20
22.03.1968 12:00:00;  3,61
08.04.1968 12:00:00;  3,22
21.05.1968 12:00:00;  5,65
21.06.1968 12:00:00;  8,17
16.07.1968 12:00:00;  4,78
02.08.1968 12:00:00;  99,0
05.09.1968 12:00:00;  6,66
09.10.1968 12:00:00;  2,86
07.11.1968 12:00:00;  3,05
21.12.1968 12:00:00;  2,01
17.01.1969 12:00:00;  6,90
21.02.1969 12:00:00;  3,24
15.03.1969 12:00:00;  16,1
01.04.1969 12:00:00;  4,78
07.05.1969 12:00:00;  5,21
07.06.1969 12:00:00;  26,0
31.07.1969 12:00:00;  10,2
01.08.1969 12:00:00;  10,2
15.09.1969 12:00:00;  63,0
01.10.1969 12:00:00;  3,31
26.11.1969 12:00:00;  12,0
03.12.1969 12:00:00;  2,95
11.01.1970 12:00:00;  3,13
18.02.1970 12:00:00;  3,49
26.03.1970 12:00:00;  10,5
24.04.1970 12:00:00;  9,25
16.05.1970 12:00:00;  6,73
17.06.1970 12:00:00;   100
15.07.1970 12:00:00;  32,1
08.08.1970 12:00:00;   100
04.09.1970 12:00:00;  7,79
21.10.1970 12:00:00;  8,42
22.11.1970 12:00:00;  5,45
04.12.1970 12:00:00;  2,46
22.01.1971 12:00:00;  5,19
03.02.1971 12:00:00;  2,64
23.03.1971 12:00:00;  5,73
17.04.1971 12:00:00;  4,67
21.05.1971 12:00:00;  4,15
26.06.1971 12:00:00;  7,16
29.07.1971 12:00:00;  7,48
06.08.1971 12:00:00;  8,80
29.09.1971 12:00:00;  3,02
16.10.1971 12:00:00;  1,27
18.11.1971 12:00:00; 0,980
18.12.1971 12:00:00;  2,46
04.01.1972 12:00:00; 0,810
29.02.1972 12:00:00;  4,93
07.03.1972 12:00:00;  3,47
22.04.1972 12:00:00;  11,0
27.05.1972 12:00:00;  77,0
03.06.1972 12:00:00;  15,6
24.07.1972 12:00:00;  19,6
01.08.1972 12:00:00;  45,3
10.09.1972 12:00:00;  12,0
09.10.1972 12:00:00;  4,08
18.11.1972 12:00:00;  3,22
02.12.1972 12:00:00;  2,21
19.01.1973 12:00:00;  1,37
22.02.1973 12:00:00;  3,22
23.03.1973 12:00:00;  5,26
19.04.1973 12:00:00;  2,21
04.05.1973 12:00:00;  2,68
23.06.1973 12:00:00;  24,0
07.07.1973 12:00:00;  14,2
04.08.1973 12:00:00;  7,94
25.09.1973 12:00:00;  9,71
18.10.1973 12:00:00;  6,01
06.11.1973 12:00:00;  2,86
08.12.1973 12:00:00;  1,58
20.01.1974 12:00:00;  6,79
06.02.1974 12:00:00;  2,86
18.03.1974 12:00:00;  4,77
29.04.1974 12:00:00;  4,62
14.05.1974 12:00:00;  6,15
06.06.1974 12:00:00;  9,05
04.07.1974 12:00:00;  4,15
03.08.1974 12:00:00;  15,0
24.09.1974 12:00:00;  9,71
20.10.1974 12:00:00;  6,53
19.11.1974 12:00:00;  3,04
08.12.1974 12:00:00;  4,30
02.01.1975 12:00:00;  2,50
10.02.1975 12:00:00;  2,68
21.03.1975 12:00:00;  5,63
10.04.1975 12:00:00;  3,07
17.05.1975 12:00:00;  32,6
28.06.1975 12:00:00;   160
12.07.1975 12:00:00;  41,9
25.08.1975 12:00:00;  13,4
05.09.1975 12:00:00;  18,4
