Messstelle:                ;Wiener Neustadt (Reitweg)
HZB-Nummer:                ;208918
HD-Nummer:                 ;no795
DBMS-Nummer:               ;3001113
Gewässer:                  ;Warme Fischa
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;92,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1954              ;00262,78
   01.09.1970              ;00262,68
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   12.03.1952              ;741653,00 - 297942,00
Exportzeitreihe:           ;(3001113,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.12.1977 23:59:55,01.01.2022 00:00]
Werte:
31.12.1977 23:59:55; 0,111
01.01.1978 00:00:00; 0,111
01.02.1978 00:00:00; 0,111
17.03.1978 08:00:00; 0,111
21.04.1978 16:00:00; 0,111
07.05.1978 18:00:00; 0,111
07.06.1978 10:00:00; 0,111
01.07.1978 00:00:00; 0,080
02.08.1978 08:00:00; 0,061
30.09.1978 23:59:55; 0,061
31.10.1978 23:59:55; 0,061
30.11.1978 23:59:55; 0,062
31.12.1978 23:59:55; 0,063
02.01.1979 00:00:00; 0,137
15.02.1979 00:00:00; 0,051
17.03.1979 00:00:00; 0,070
14.04.1979 16:00:00; 0,055
02.05.1979 12:00:00; 0,051
25.06.1979 10:00:00; 0,051
31.07.1979 16:00:00; 0,099
31.08.1979 14:00:00; 0,078
21.09.1979 04:00:00; 0,099
11.10.1979 00:00:00; 0,080
10.11.1979 06:34:15; 0,088
31.12.1979 23:59:55; 0,040
12.01.1980 12:00:00; 0,112
22.02.1980 00:00:00; 0,151
24.03.1980 08:00:00; 0,154
24.04.1980 16:00:00; 0,188
01.05.1980 00:00:00; 0,181
01.06.1980 08:00:00; 0,130
03.07.1980 08:00:00; 0,090
19.08.1980 18:00:00; 0,085
30.09.1980 23:59:55; 0,091
25.10.1980 14:00:00; 0,104
19.11.1980 08:00:00; 0,094
01.12.1980 04:00:00; 0,139
26.01.1981 22:00:00; 0,135
16.02.1981 00:00:00; 0,157
11.03.1981 00:00:00; 0,202
04.04.1981 00:00:00; 0,162
12.05.1981 23:00:00; 0,178
24.06.1981 08:00:00; 0,209
24.07.1981 00:00:00; 0,097
26.08.1981 22:00:00; 0,098
22.09.1981 00:00:00; 0,248
13.10.1981 22:00:00; 0,252
02.11.1981 01:00:00; 0,233
23.12.1981 17:00:00; 0,381
31.01.1982 12:00:00; 0,387
06.02.1982 20:00:00; 0,382
19.03.1982 07:00:00; 0,279
01.04.1982 15:00:00; 0,271
12.05.1982 22:00:00; 0,222
17.06.1982 23:00:00; 0,247
12.07.1982 16:00:00; 0,219
29.08.1982 09:00:00; 0,499
21.09.1982 08:00:00; 0,670
18.10.1982 22:00:00; 0,309
17.11.1982 22:00:00; 0,303
19.12.1982 10:00:00; 0,347
06.01.1983 00:00:00; 0,453
28.02.1983 18:00:00; 0,421
08.03.1983 21:00:00; 0,440
17.04.1983 20:00:00; 0,331
31.05.1983 15:00:00; 0,344
03.06.1983 00:00:00; 0,266
01.07.1983 00:00:00; 0,200
26.08.1983 00:00:00; 0,168
27.09.1983 11:00:00; 0,283
03.10.1983 11:00:00; 0,231
09.11.1983 08:00:00; 0,206
06.12.1983 10:00:00; 0,189
04.01.1984 11:15:00; 0,151
29.02.1984 09:15:00; 0,139
05.03.1984 13:45:00; 0,133
04.04.1984 08:15:00; 0,168
16.05.1984 07:00:00; 0,173
28.06.1984 08:00:00; 0,233
04.07.1984 07:15:00; 0,348
25.08.1984 09:00:00; 0,187
05.09.1984 08:00:00; 0,306
22.10.1984 13:00:00; 0,252
05.11.1984 11:15:00; 0,070
31.12.1984 15:00:00; 0,089
21.01.1985 15:45:00; 0,168
13.02.1985 12:15:00; 0,347
22.03.1985 21:15:00; 0,226
02.04.1985 18:30:00; 0,281
29.05.1985 19:15:00; 0,363
12.06.1985 07:30:00; 0,307
15.07.1985 18:30:00; 0,303
14.08.1985 07:45:00; 0,239
26.09.1985 10:00:00; 0,387
16.10.1985 12:30:00; 0,806
13.11.1985 12:00:00; 0,133
04.12.1985 11:15:00; 0,183
