Messstelle:                ;Maitratten-Gnesau
HZB-Nummer:                ;212860
HD-Nummer:                 ;00499
DBMS-Nummer:               ;2001048
Gewässer:                  ;Gurk
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;201,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   05.08.1925              ;00966,58
   01.01.1955              ;00975,64
   01.01.1963              ;00975,71
   01.01.1976              ;00975,71
   03.06.2004              ;00975,70
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1951              ;495809,54 - 183147,65
   04.08.2015              ;495775,10 - 183176,80
Exportzeitreihe:           ;(2001048,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[04.01.1951 12:00,01.01.2022 00:00]
Werte:
04.01.1951 12:00:00;  3,52
14.02.1951 12:00:00;  6,44
21.03.1951 12:00:00;  9,88
30.04.1951 12:00:00;  18,7
28.05.1951 12:00:00;  29,0
02.06.1951 12:00:00;  19,1
01.07.1951 12:00:00;  6,02
01.08.1951 12:00:00;  3,52
18.09.1951 12:00:00;  7,34
26.10.1951 12:00:00;  2,71
22.11.1951 12:00:00;  19,1
01.12.1951 12:00:00;  5,22
04.01.1952 12:00:00;  2,09
29.02.1952 12:00:00;  2,33
31.03.1952 12:00:00;  4,84
28.04.1952 12:00:00;  7,34
01.05.1952 12:00:00;  6,65
21.06.1952 12:00:00;  5,60
06.07.1952 12:00:00;  9,10
18.08.1952 12:00:00;  9,10
12.09.1952 12:00:00;  13,1
26.10.1952 12:00:00;  17,5
01.11.1952 12:00:00;  6,65
09.12.1952 12:00:00;  3,10
03.01.1953 12:00:00;  1,85
11.02.1953 12:00:00;  3,10
31.03.1953 12:00:00;  2,33
29.04.1953 12:00:00;  7,11
01.05.1953 12:00:00;  7,11
16.06.1953 12:00:00;  5,60
11.07.1953 12:00:00;  10,4
03.08.1953 12:00:00;  14,5
26.09.1953 12:00:00;  5,03
31.10.1953 12:00:00;  3,80
03.11.1953 12:00:00;  4,14
03.12.1953 12:00:00;  2,33
23.01.1954 12:00:00;  1,85
01.02.1954 12:00:00;  1,85
27.03.1954 12:00:00;  3,10
07.04.1954 12:00:00;  8,84
12.05.1954 12:00:00;  11,7
05.06.1954 12:00:00;  27,0
01.07.1954 12:00:00;  13,1
20.08.1954 12:00:00;  7,80
21.09.1954 12:00:00;  8,84
02.10.1954 12:00:00;  5,81
06.11.1954 12:00:00;  4,65
11.12.1954 12:00:00;  9,10
22.01.1955 12:00:00;  3,80
15.02.1955 12:00:00;  2,33
27.03.1955 12:00:00;  5,81
10.04.1955 12:00:00;  5,22
28.05.1955 12:00:00;  11,5
09.06.1955 12:00:00;  7,80
12.07.1955 12:00:00;  5,60
27.08.1955 12:00:00;  3,10
15.09.1955 12:00:00;  9,10
23.10.1955 12:00:00;  9,10
14.11.1955 12:00:00;  6,65
01.12.1955 12:00:00;  3,80
02.01.1956 12:00:00;  1,97
23.02.1956 12:00:00;  1,65
03.03.1956 12:00:00;  6,65
30.04.1956 12:00:00;  4,65
26.05.1956 12:00:00;  14,5
06.06.1956 12:00:00;  7,80
28.07.1956 12:00:00;  3,80
25.08.1956 12:00:00;  6,65
05.09.1956 12:00:00;  3,80
26.10.1956 12:00:00;  4,65
05.11.1956 12:00:00;  4,31
04.12.1956 12:00:00;  2,09
27.01.1957 12:00:00;  1,85
04.02.1957 12:00:00;  1,65
31.03.1957 12:00:00;  3,38
30.04.1957 12:00:00;  8,58
01.05.1957 12:00:00;  11,2
25.06.1957 12:00:00;  14,0
24.07.1957 12:00:00;  11,2
01.08.1957 12:00:00;  7,11
17.09.1957 12:00:00;  4,65
04.10.1957 12:00:00;  3,38
06.11.1957 12:00:00;  2,84
15.12.1957 12:00:00;  3,10
28.01.1958 12:00:00;  2,09
26.02.1958 12:00:00;  2,09
30.03.1958 12:00:00;  1,85
28.04.1958 12:00:00;  9,10
11.05.1958 12:00:00;  17,5
13.06.1958 12:00:00;  9,62
03.07.1958 12:00:00;  7,11
04.08.1958 12:00:00;  13,9
11.09.1958 12:00:00;  6,65
09.10.1958 12:00:00;  6,65
23.11.1958 12:00:00;  5,03
24.12.1958 12:00:00;  11,7
03.01.1959 12:00:00;  4,56
04.02.1959 12:00:00;  2,65
30.03.1959 12:00:00;  2,65
30.04.1959 12:00:00;  6,05
19.05.1959 12:00:00;  11,1
18.06.1959 12:00:00;  9,98
15.07.1959 12:00:00;  14,0
06.08.1959 12:00:00;  6,49
30.09.1959 12:00:00;  4,20
29.10.1959 12:00:00;  14,0
16.11.1959 12:00:00;  2,95
13.12.1959 12:00:00;  2,65
30.01.1960 12:00:00;  1,94
13.02.1960 12:00:00;  1,94
29.03.1960 12:00:00;  5,67
17.04.1960 12:00:00;  6,49
16.05.1960 12:00:00;  14,1
21.06.1960 12:00:00;  3,65
26.07.1960 12:00:00;  7,60
13.08.1960 12:00:00;  5,40
06.09.1960 12:00:00;  20,0
07.10.1960 12:00:00;  11,6
04.11.1960 12:00:00;  8,16
30.12.1960 12:00:00;  5,40
02.01.1961 12:00:00;  5,40
21.02.1961 12:00:00;  2,25
24.03.1961 12:00:00;  5,40
24.04.1961 12:00:00;  9,00
11.05.1961 12:00:00;  5,40
20.06.1961 12:00:00;  3,99
30.07.1961 12:00:00;  4,92
03.08.1961 12:00:00;  2,95
10.09.1961 12:00:00;  1,52
08.10.1961 12:00:00;  6,97
13.11.1961 12:00:00;  2,95
11.12.1961 12:00:00;  4,20
20.01.1962 12:00:00;  2,16
09.02.1962 12:00:00;  1,94
16.03.1962 12:00:00;  4,20
26.04.1962 12:00:00;  13,5
14.05.1962 12:00:00;  34,0
02.06.1962 12:00:00;  20,4
29.07.1962 12:00:00;  17,2
13.08.1962 12:00:00;  6,51
20.09.1962 12:00:00;  4,25
31.10.1962 12:00:00;  2,54
27.11.1962 12:00:00;  3,82
01.12.1962 12:00:00;  3,82
01.01.1963 12:00:00;  2,39
01.02.1963 12:00:00;  1,39
31.03.1963 12:00:00;  1,61
30.04.1963 12:00:00;  13,1
12.05.1963 12:00:00;  19,3
16.06.1963 12:00:00;  10,8
08.07.1963 12:00:00;  4,69
21.08.1963 12:00:00;  25,0
05.09.1963 12:00:00;  9,10
01.10.1963 12:00:00;  4,65
07.11.1963 12:00:00;  8,32
04.12.1963 12:00:00;  5,20
02.01.1964 12:00:00;  2,39
15.02.1964 12:00:00;  2,39
31.03.1964 12:00:00;  2,69
30.04.1964 12:00:00;  4,69
07.05.1964 12:00:00;  5,20
19.06.1964 12:00:00;  4,69
08.07.1964 12:00:00;  5,71
21.08.1964 12:00:00;  4,25
05.09.1964 12:00:00;  3,82
25.10.1964 12:00:00;  17,5
01.11.1964 12:00:00;  12,3
06.12.1964 12:00:00;  4,25
26.01.1965 12:00:00;  2,39
19.02.1965 12:00:00;  2,39
31.03.1965 12:00:00;  3,05
30.04.1965 12:00:00;  4,25
19.05.1965 12:00:00;  24,5
17.06.1965 12:00:00;  25,7
07.07.1965 12:00:00;  14,7
02.08.1965 12:00:00;  52,0
02.09.1965 12:00:00;  35,8
01.10.1965 12:00:00;  9,67
07.11.1965 12:00:00;  3,32
12.12.1965 12:00:00;  2,95
08.01.1966 12:00:00;  1,98
23.02.1966 12:00:00;  2,29
07.03.1966 12:00:00;  2,29
26.04.1966 12:00:00;  8,36
02.05.1966 12:00:00;  8,98
23.06.1966 12:00:00;  6,04
15.07.1966 12:00:00;  12,5
18.08.1966 12:00:00;  22,4
01.09.1966 12:00:00;  16,6
16.10.1966 12:00:00;  3,70
05.11.1966 12:00:00;  54,0
05.12.1966 12:00:00;  4,76
05.01.1967 12:00:00;  2,34
28.02.1967 12:00:00;  1,44
25.03.1967 12:00:00;  1,88
19.04.1967 12:00:00;  8,59
18.05.1967 12:00:00;  11,1
24.06.1967 12:00:00;  5,32
06.07.1967 12:00:00;  5,83
30.08.1967 12:00:00;  5,75
09.09.1967 12:00:00;  19,0
01.10.1967 12:00:00;  4,39
10.11.1967 12:00:00;  2,02
20.12.1967 12:00:00;  1,88
13.01.1968 12:00:00;  1,12
29.02.1968 12:00:00;  1,22
31.03.1968 12:00:00;  5,32
29.04.1968 12:00:00;  5,32
28.05.1968 12:00:00;  11,1
15.06.1968 12:00:00;  29,0
28.07.1968 12:00:00;  6,88
05.08.1968 12:00:00;  10,5
15.09.1968 12:00:00;  4,86
02.10.1968 12:00:00;  4,39
23.11.1968 12:00:00;  3,95
11.12.1968 12:00:00;  3,54
14.01.1969 12:00:00;  1,88
18.02.1969 12:00:00;  1,88
16.03.1969 12:00:00;  2,45
30.04.1969 12:00:00;  14,7
06.05.1969 12:00:00;  13,5
08.06.1969 12:00:00;  16,0
08.07.1969 12:00:00;  10,1
26.08.1969 12:00:00;  11,4
15.09.1969 12:00:00;  9,82
01.10.1969 12:00:00;  4,86
14.11.1969 12:00:00;  7,99
03.12.1969 12:00:00;  3,34
02.01.1970 12:00:00;  1,88
13.02.1970 12:00:00;  1,88
31.03.1970 12:00:00;  1,62
27.04.1970 12:00:00;  15,5
16.05.1970 12:00:00;  23,5
12.06.1970 12:00:00;  8,74
16.07.1970 12:00:00;  11,0
09.08.1970 12:00:00;  28,0
01.09.1970 12:00:00;  5,91
05.10.1970 12:00:00;  3,23
23.11.1970 12:00:00;  2,53
02.12.1970 12:00:00;  2,10
17.01.1971 12:00:00;  1,71
01.02.1971 12:00:00;  1,29
22.03.1971 12:00:00;  3,23
24.04.1971 12:00:00;  6,97
11.05.1971 12:00:00;  8,10
05.06.1971 12:00:00;  4,94
01.07.1971 12:00:00;  2,62
16.08.1971 12:00:00;  2,60
15.09.1971 12:00:00;  2,29
15.10.1971 12:00:00;  4,79
12.11.1971 12:00:00;  2,29
31.12.1971 12:00:00;  1,52
04.01.1972 12:00:00;  1,52
29.02.1972 12:00:00;  1,52
27.03.1972 12:00:00;  5,04
22.04.1972 12:00:00;  20,7
28.05.1972 12:00:00;  20,2
17.06.1972 12:00:00;  39,0
16.07.1972 12:00:00;  15,9
01.08.1972 12:00:00;  8,99
02.09.1972 12:00:00;  3,02
29.10.1972 12:00:00;  1,92
18.11.1972 12:00:00;  1,92
05.12.1972 12:00:00;  1,61
22.01.1973 12:00:00;  1,11
23.02.1973 12:00:00;  1,05
31.03.1973 12:00:00;  1,43
10.04.1973 12:00:00;  7,80
07.05.1973 12:00:00;  17,9
23.06.1973 12:00:00;  44,4
09.07.1973 12:00:00;  9,80
29.08.1973 12:00:00;  9,50
26.09.1973 12:00:00;  46,0
01.10.1973 12:00:00;  32,0
06.11.1973 12:00:00;  5,10
25.12.1973 12:00:00;  2,06
20.01.1974 12:00:00;  2,20
19.02.1974 12:00:00;  1,70
30.03.1974 12:00:00;  7,54
13.04.1974 12:00:00;  6,26
25.05.1974 12:00:00;  7,02
29.06.1974 12:00:00;  10,4
18.07.1974 12:00:00;  10,1
28.08.1974 12:00:00;  6,02
24.09.1974 12:00:00;  10,5
01.10.1974 12:00:00;  6,26
02.11.1974 12:00:00;  3,49
02.12.1974 12:00:00;  2,06
01.01.1975 12:00:00;  1,50
27.02.1975 12:00:00;  1,40
29.03.1975 12:00:00;  2,20
25.04.1975 12:00:00;  16,6
08.05.1975 12:00:00;  45,0
02.06.1975 12:00:00;  22,9
01.07.1975 12:00:00;  14,1
25.08.1975 12:00:00;  11,4
05.09.1975 12:00:00;  8,64
17.10.1975 12:00:00;  5,30
18.11.1975 12:00:00;  3,13
01.12.1975 12:00:00;  2,80
12.01.1976 19:00:00;  1,96
28.02.1976 18:00:00;  1,62
31.03.1976 23:00:00;  2,85
06.04.1976 20:00:00;  5,67
13.05.1976 23:00:00;  14,9
02.06.1976 15:00:00;  9,30
26.07.1976 15:00:00;  12,8
01.08.1976 17:00:00;  6,70
14.09.1976 13:00:00;  17,7
30.10.1976 21:00:00;  9,93
08.11.1976 00:00:00;  8,44
19.12.1976 07:00:00;  4,76
01.01.1977 00:00:05;  2,85
25.02.1977 16:00:00;  3,34
