Messstelle:                ;Atzenbrugg (Bundesstraßenbrücke)
HZB-Nummer:                ;208009
HD-Nummer:                 ;no305
DBMS-Nummer:               ;3001040
Gewässer:                  ;Perschling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;268,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00184,49
   01.01.2012              ;00184,73
   01.01.2016              ;00184,52
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1897              ;718666,00 - 350207,00
Exportzeitreihe:           ;(3001040,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[07.01.1951 12:00,01.01.2022 00:00]
Werte:
07.01.1951 12:00:00;  3,70
25.02.1951 12:00:00;  2,50
25.03.1951 12:00:00;  3,96
01.04.1951 12:00:00;  8,10
11.05.1951 12:00:00;   150
10.06.1951 12:00:00;  53,3
18.07.1951 12:00:00;  12,4
17.08.1951 12:00:00;  1,73
30.09.1951 12:00:00; 0,910
02.10.1951 12:00:00;  1,47
03.11.1951 12:00:00;  4,74
30.12.1951 12:00:00;  2,20
12.01.1952 12:00:00;  1,73
28.02.1952 12:00:00;  15,4
22.03.1952 12:00:00;  23,0
01.04.1952 12:00:00;  4,87
25.05.1952 12:00:00;  10,7
26.06.1952 12:00:00;  15,4
12.07.1952 12:00:00;  1,11
18.08.1952 12:00:00; 0,750
10.09.1952 12:00:00;  1,55
27.10.1952 12:00:00;  2,00
10.11.1952 12:00:00; 0,910
26.12.1952 12:00:00;  1,32
29.01.1953 12:00:00;  15,0
18.02.1953 12:00:00;  13,5
01.03.1953 12:00:00;  2,00
22.04.1953 12:00:00;  1,32
12.05.1953 12:00:00;  1,73
13.06.1953 12:00:00;   110
30.07.1953 12:00:00;  9,80
05.08.1953 12:00:00;  18,8
10.09.1953 12:00:00; 0,850
16.10.1953 12:00:00; 0,480
16.11.1953 12:00:00; 0,440
28.12.1953 12:00:00; 0,370
20.01.1954 12:00:00;  14,3
28.02.1954 12:00:00;  1,11
06.03.1954 12:00:00;  2,74
04.04.1954 12:00:00;  10,9
06.05.1954 12:00:00;  83,0
17.06.1954 12:00:00;  1,55
09.07.1954 12:00:00;  1,91
04.08.1954 12:00:00; 0,980
29.09.1954 12:00:00; 0,600
20.10.1954 12:00:00;  1,47
12.11.1954 12:00:00;  3,96
27.12.1954 12:00:00;  22,2
09.01.1955 12:00:00;  3,70
01.02.1955 12:00:00;  1,64
23.03.1955 12:00:00;  22,2
22.04.1955 12:00:00;  70,1
01.05.1955 12:00:00;  4,09
29.06.1955 12:00:00;  1,73
20.07.1955 12:00:00;  26,0
10.08.1955 12:00:00;  92,0
05.09.1955 12:00:00;  2,74
29.10.1955 12:00:00;  1,55
30.11.1955 12:00:00;  1,73
29.12.1955 12:00:00;  4,22
04.01.1956 12:00:00;  1,91
29.02.1956 12:00:00;  3,70
03.03.1956 12:00:00;  59,0
30.04.1956 12:00:00;  53,3
01.05.1956 12:00:00;  92,0
24.06.1956 12:00:00;  12,9
02.07.1956 12:00:00;  1,91
20.08.1956 12:00:00;  1,47
